club,player,total,start,sub,came_on,off,goals,source_url
"Aston Villa","Alan Wright","38","38","0","0","0","1","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Ugo Ehiogu","38","38","0","0","0","3","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Dwight Yorke","37","37","0","0","3","17","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Andy Townsend","34","34","0","0","2","2","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Fernando Nelson","34","33","2","1","4","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Ian Taylor","34","29","5","5","2","2","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Steve Staunton","30","30","0","0","5","2","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Savo Milosevic","30","29","1","1","8","9","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Mark Draper","29","28","3","1","10","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Gareth Southgate","28","28","0","0","1","1","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Sasa Curcic","22","17","11","5","10","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Mark Bosnich","20","20","3","0","2","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Michael Oakes","20","18","19","2","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Tommy Johnson","20","10","16","10","2","4","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Riccardo Scimeca","17","11","15","6","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Julian Joachim","15","3","33","12","2","3","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Carl Tiler","11","9","9","2","1","1","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","David Hughes","7","4","8","3","1","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Lee Hendrie","4","0","16","4","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Gareth Farrelly","3","1","17","2","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Scott Murray","1","1","8","0","1","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Neil Davis","0","0","1","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Paul McGrath","0","0","7","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Adam Rachel","0","0","14","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Aston Villa","Stuart Brock","0","0","2","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=24&comp_id=9"
"Blackburn Rovers","Tim Sherwood","37","37","0","0","3","3","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Jeff Kenna","37","37","0","0","3","0","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Henning Berg","36","36","0","0","0","2","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Tim Flowers","36","36","2","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Colin Hendry","35","35","0","0","3","1","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Kevin Gallacher","34","34","0","0","10","10","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Garry Flitcroft","28","27","3","1","8","3","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Jason Wilcox","28","26","4","2","5","2","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Graeme Le Saux","26","26","0","0","1","1","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Chris Sutton","25","24","1","1","3","11","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Billy McKinlay","25","23","6","2","3","1","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Lars Bohinen","23","17","13","6","0","2","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","George Donis","22","11","20","11","4","2","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Graham Fenton","13","5","14","8","0","1","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Stuart Ripley","13","5","12","8","3","0","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Ian Pearce","12","7","8","5","1","0","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Per Pedersen","11","6","6","5","8","1","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Paul Warhurst","11","5","16","6","3","2","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Chris Coleman","8","8","0","0","2","0","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Nicky Marker","7","5","24","2","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Gary Croft","5","4","11","1","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Shay Given","2","2","36","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Niklas Gudmundsson","2","0","7","2","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","James Beattie","1","1","0","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Damien Duff","1","1","4","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Blackburn Rovers","Marlon Broomes","0","0","3","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=34&comp_id=9"
"Derby County","Jacob Laursen","36","35","1","1","7","1","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Christian Dailly","36","31","5","5","6","3","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Gary Rowett","35","35","0","0","2","2","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Chris Powell","35","35","0","0","4","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Aljosa Asanovic","34","34","0","0","11","6","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Darryl Powell","33","27","6","6","5","1","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Russell Hoult","32","31","6","1","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Dean Sturridge","30","29","1","1","5","11","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Ashley Ward","30","25","6","5","7","8","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Paul McGrath","24","23","2","1","4","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Lee Carsley","24","15","13","9","3","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Igor Stimac","21","21","0","0","1","1","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Paul Simpson","19","0","31","19","0","2","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Sean Flynn","17","10","16","7","3","1","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Robin Van Der Laan","16","15","8","1","7","2","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Ron Willems","16","7","17","9","7","2","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Paul Trollope","14","13","3","1","1","1","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Marco Gabbiadini","14","5","10","9","4","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Dean Yates","10","8","5","2","2","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Matt Carbon","10","6","11","4","4","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Paulo Wanchope","5","2","3","3","2","1","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Paul Parker","4","4","2","0","1","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Mart Poom","4","4","0","0","1","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Martin Taylor","3","3","28","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Mauricio Solis","2","0","4","2","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Marino Rahmberg","1","0","4","1","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Andrew Quy","0","0","3","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Nick Wright","0","0","2","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Derby County","Kevin Cooper","0","0","3","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=9&comp_id=9"
"Liverpool","David James","38","38","0","0","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Stig Inge Bjornebye","38","38","0","0","3","2","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Steve McManaman","37","37","0","0","1","7","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Jason McAteer","37","36","1","1","2","1","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","John Barnes","35","34","3","1","2","4","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Mark Wright","33","33","0","0","3","0","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Robbie Fowler","32","32","0","0","4","18","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Michael Thomas","31","29","5","2","2","3","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Stan Collymore","30","25","10","5","9","12","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Dominic Matteo","26","22","11","4","1","0","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Jamie Redknapp","23","18","11","5","0","2","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Patrik Berger","23","13","19","10","5","6","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Phil Babb","22","21","3","1","4","1","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Neil Ruddock","17","15","19","2","3","1","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Bjorn Tore Kvarme","15","15","0","0","2","0","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Steve Harkness","7","5","7","2","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
"Liverpool","Mark Kennedy","5","0","25","5","0","0","https://statbunker.com/competitions/SeasonAppearances?club_id=4&comp_id=9"
