club_source_name,player,date_of_birth,transfermarkt_player_id,nationality_raw,nationality_primary,position_source,source_url
Arsenal,John Lukic,1960-11-12,28241,England,England,Goalkeeper,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,David Seaman,1963-09-19,3141,England,England,Goalkeeper,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Vince Bartram,1968-07-08,13778,England,England,Goalkeeper,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Lee Harper,1971-10-30,98144,England,England,Goalkeeper,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Tony Adams,1966-10-10,28238,England,England,Centre-Back,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Steve Bould,1962-11-16,106893,England,England,Centre-Back,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Andy Linighan,1962-06-18,176749,England,England,Centre-Back,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Martin Keown,1966-07-24,3184,England,England,Centre-Back,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Scott Marshall,1973-01-05,106912,Scotland,Scotland,Centre-Back,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Matthew Rose,1975-09-24,13733,England,England,Centre-Back,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Nigel Winterburn,1963-11-12,3648,England,England,Left-Back,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Gavin McGowan,1976-01-16,106913,England,England,Left-Back,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Lee Dixon,1964-03-17,28240,England,England,Right-Back,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Steve Morrow,1970-02-07,176752,Northern Ireland,Northern Ireland,Right-Back,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Patrick Vieira,1976-06-23,3183,France | Senegal,France,Defensive Midfield,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Rémi Garde,1966-03-04,101115,France,France,Defensive Midfield,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Ray Parlour,1973-07-03,3208,England,England,Central Midfield,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,David Hillier,1969-12-19,176745,England,England,Central Midfield,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Eddie McGoldrick,1965-04-30,102491,Ireland | England,Ireland,Central Midfield,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Ian Selley,1974-06-14,175991,England,England,Central Midfield,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Stephen Hughes,1976-09-18,10400,England,England,Central Midfield,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Adrian Clarke,1974-09-28,222104,England,England,Left Midfield,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,David Platt,1966-10-06,101318,England,England,Attacking Midfield,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Paul Merson,1968-03-20,3250,England,England,Attacking Midfield,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Glenn Helder,1968-10-28,152223,Netherlands,Netherlands,Left Winger,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Dennis Bergkamp,1969-10-05,3187,Netherlands,Netherlands,Second Striker,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Ian Wright,1963-03-11,104637,England,England,Centre-Forward,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
Arsenal,Nicolas Anelka,1979-03-14,3226,France | Martinique,France,Centre-Forward,https://raw.githubusercontent.com/Samoilov2004/premier_league_dataset/main/dataset/DATA_JSON/Season_1996/Arsenal_FC_11_1996.json
