index,player,club_2007_08,engzip_source_name,engzip_date_of_birth,engzip_position_support,engzip_clubs,statbunker_clubs_matched,statbunker_appearances,statbunker_starts,statbunker_goals,statbunker_yellow_cards,statbunker_red_cards,nationality
1,Aaron Brown,Reading,Aaron Brown,23-06-83,D,Reading,,0,0,0,0,0,England
2,Aaron Hughes,Fulham,Aaron Hughes,08-11-79,D,Fulham,Fulham,30,29,0,0,0,Northern Ireland
3,Aaron Lennon,Tottenham Hotspur,Aaron Lennon,16-04-87,M,Tottenham Hotspur,Tottenham Hotspur,29,25,2,1,0,England
4,Aaron Mokoena,Blackburn Rovers,Aaron Mokoena,25-11-80,D,Blackburn Rovers,Blackburn Rovers,18,8,0,2,0,South Africa
5,Abdoulaye Faye,Bolton Wanderers | Newcastle United,Abdoulaye Faye,26-02-78,D,Bolton Wanderers | Newcastle United,Bolton Wanderers | Newcastle United,22,21,1,3,0,Senegal
6,Abdoulaye Méïté,Bolton Wanderers,Abdoulaye Méïté,06-10-80,D,Bolton Wanderers,Bolton Wanderers,17,16,0,5,0,Ivory Coast
7,Abou Diaby,Arsenal,Abou Diaby,11-05-86,M,Arsenal,Arsenal,15,11,1,3,0,France
8,Adam Bolder,Derby County,Adam Bolder,25-10-80,M,Derby County,Derby County,23,13,2,3,0,England
9,Adam Drury,Norwich City,Adam Drury,29-08-78,D,Norwich City,,0,0,0,0,0,England
10,Adam Eckersley,Manchester United,Adam Eckersley,07-09-85,D,Manchester United,,0,0,0,0,0,England
11,Adam Federici,Reading,Adam Federici,31-01-85,G,Reading,Reading,1,0,0,0,0,Australia
12,Adam Johnson,Middlesbrough,Adam Johnson,14-07-87,M,Middlesbrough,Middlesbrough,19,8,1,2,0,England
13,Adam Lallana,Southampton,Adam Lallana,10-05-88,M,Southampton,,0,0,0,0,0,England
