Player,Club,Price,Mins,Starts,A,CS,GC,Y,R,Saves,Bonus,Pts,Mins/Save,Mins/Pts,Pts/Price,ffs_2008_09_category,source_url,outside_pl_2007_08_flag,carrier_player_name,carrier_status,G
Fabianski,ARS,5.0,248,3.0,0,1.0,2.0,0.0,0,8.0,0,15,31.0,16.53,3.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Fabianski,CLEAN_POSITIVE_MINUTES,
Almunia,ARS,6.0,2610,29.0,1,11.0,24.0,0.0,0,71.0,0,117,36.76,22.31,19.5,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Almunia,CLEAN_POSITIVE_MINUTES,
Friedel,AVL,5.5,3420,38.0,0,8.0,48.0,0.0,0,124.0,12,149,27.58,22.95,27.09,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Friedel,CLEAN_POSITIVE_MINUTES,
Taylor,AVL,4.5,294,3.0,0,0.0,6.0,0.0,0,11.0,0,12,26.73,24.5,2.67,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Taylor,CLEAN_POSITIVE_MINUTES,
Robinson,BLA,5.0,2250,25.0,0,5.0,47.0,0.0,0,64.0,0,63,35.16,35.71,12.6,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Robinson,CLEAN_POSITIVE_MINUTES,
Brown,BLA,4.5,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,90.0,0.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Brown,EXCLUDE_ZERO_OR_OUTSIDE_PL,
Al-Habsi,BOL,4.0,900,10.0,0,4.0,12.0,0.0,0,41.0,3,44,21.95,20.45,11.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Al-Habsi,CLEAN_POSITIVE_MINUTES,
Jaaskelainen,BOL,4.5,2520,28.0,1,8.0,42.0,1.0,0,80.0,0,90,31.5,28.0,20.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Jaaskelainen,CLEAN_POSITIVE_MINUTES,
Cudicini,CHE,5.0,900,10.0,0,6.0,7.0,0.0,0,23.0,0,46,39.13,19.57,9.2,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Cudicini,CLEAN_POSITIVE_MINUTES,
Cech,CHE,6.0,2313,26.0,0,14.0,17.0,0.0,0,60.0,2,120,38.55,19.28,20.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Cech,CLEAN_POSITIVE_MINUTES,
Hilario,CHE,4.5,207,2.0,0,0.0,2.0,0.0,0,3.0,0,5,69.0,41.4,1.11,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Hilario,CLEAN_POSITIVE_MINUTES,
Turner,EVE,4.5,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,90.0,90.0,0.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Turner,EXCLUDE_ZERO_OR_OUTSIDE_PL,
Ruddy,EVE,4.5,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,90.0,90.0,0.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Ruddy,EXCLUDE_ZERO_OR_OUTSIDE_PL,
Howard,EVE,5.5,3240,36.0,1,14.0,30.0,1.0,0,95.0,0,147,34.11,22.04,26.73,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Howard,CLEAN_POSITIVE_MINUTES,
