Player,Club,Price,Mins,Starts,A,CS,GC,Y,R,Saves,Bonus,Pts,Mins/Save,Mins/Pts,Pts/Price,ffs_2008_09_category,source_url,outside_pl_2007_08_flag,carrier_player_name,carrier_status,G,name_norm,launch_match_status,launch_match_method,launch_position,launch_player,launch_team,points_2006_07,start_price_m,launch_source_url,expected_later_addition
Turnbull,MID,4.0,270,3.0,0,0.0,3.0,0.0,0,11.0,0,9,24.55,30.0,2.25,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Turnbull,CLEAN_POSITIVE_MINUTES,,turnbull,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
O’Brien A,BOL,4.5,2821,32.0,0,11.0,37.0,5.0,0,,8,99,,28.49,22.0,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,O’Brien A,CLEAN_POSITIVE_MINUTES,0.0,obriena,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Steinsson,BOL,4.5,1391,15.0,2,7.0,18.0,2.0,0,,1,58,,23.98,12.89,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Steinsson,CLEAN_POSITIVE_MINUTES,0.0,steinsson,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Alex,CHE,6.0,2071,23.0,2,13.0,15.0,4.0,0,,4,116,,17.85,19.33,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Alex,CLEAN_POSITIVE_MINUTES,2.0,alex,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Belletti,CHE,6.0,1919,21.0,1,14.0,8.0,5.0,0,,3,112,,17.13,18.67,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Belletti,CLEAN_POSITIVE_MINUTES,2.0,belletti,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Hangeland,FUL,4.5,1350,15.0,0,5.0,18.0,1.0,0,,5,48,,28.13,10.67,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Hangeland,CLEAN_POSITIVE_MINUTES,0.0,hangeland,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Omozusi,FUL,4.0,689,8.0,0,0.0,11.0,1.0,1,,0,8,,86.13,2.0,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Omozusi,CLEAN_POSITIVE_MINUTES,0.0,omozusi,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Gardner,HUL,4.5,360,6.0,0,0.0,5.0,1.0,0,,0,16,,22.5,3.56,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Gardner,CLEAN_POSITIVE_MINUTES,1.0,gardner,AMBIGUOUS,EXACT_DISPLAY_NAME+MULTIPLE_REMAIN,,Gardner | Gardner | Gardner,Bolton | Tottenham | Aston Villa,,,,False
Skrtel,LIV,6.0,1191,13.0,0,7.0,10.0,1.0,0,,3,55,,21.65,9.17,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Skrtel,CLEAN_POSITIVE_MINUTES,0.0,skrtel,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Grounds,MID,4.0,423,5.0,0,1.0,6.0,1.0,0,,0,12,,35.25,3.0,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Grounds,CLEAN_POSITIVE_MINUTES,0.0,grounds,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
