Player,Club,Price,Mins,Starts,A,CS,GC,Y,R,Saves,Bonus,Pts,Mins/Save,Mins/Pts,Pts/Price,ffs_2008_09_category,source_url,outside_pl_2007_08_flag,carrier_player_name,carrier_status,G,name_norm,launch_match_status,launch_match_method,launch_position,launch_player,launch_team,points_2006_07,start_price_m,launch_source_url,expected_later_addition
Fabianski,ARS,5.0,248,3.0,0,1.0,2.0,0.0,0,8.0,0,15,31.0,16.53,3.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Fabianski,CLEAN_POSITIVE_MINUTES,,fabianski,MATCHED,EXACT_DISPLAY_NAME,GK,Fabianski,Arsenal,0.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Almunia,ARS,6.0,2610,29.0,1,11.0,24.0,0.0,0,71.0,0,117,36.76,22.31,19.5,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Almunia,CLEAN_POSITIVE_MINUTES,,almunia,MATCHED,EXACT_DISPLAY_NAME,GK,Almunia,Arsenal,6.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Friedel,AVL,5.5,3420,38.0,0,8.0,48.0,0.0,0,124.0,12,149,27.58,22.95,27.09,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Friedel,CLEAN_POSITIVE_MINUTES,,friedel,MATCHED,EXACT_DISPLAY_NAME,GK,Friedel,Blackburn,162.0,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Taylor,AVL,4.5,294,3.0,0,0.0,6.0,0.0,0,11.0,0,12,26.73,24.5,2.67,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Taylor,CLEAN_POSITIVE_MINUTES,,taylor,MATCHED,EXACT_DISPLAY_NAME+TEAM_TIEBREAK,GK,Taylor,Aston Villa,12.0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Robinson,BLA,5.0,2250,25.0,0,5.0,47.0,0.0,0,64.0,0,63,35.16,35.71,12.6,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Robinson,CLEAN_POSITIVE_MINUTES,,robinson,MATCHED,EXACT_DISPLAY_NAME,GK,Robinson,Tottenham,117.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Al-Habsi,BOL,4.0,900,10.0,0,4.0,12.0,0.0,0,41.0,3,44,21.95,20.45,11.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Al-Habsi,CLEAN_POSITIVE_MINUTES,,alhabsi,MATCHED,EXACT_DISPLAY_NAME,GK,Al-Habsi,Bolton,0.0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Jaaskelainen,BOL,4.5,2520,28.0,1,8.0,42.0,1.0,0,80.0,0,90,31.5,28.0,20.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Jaaskelainen,CLEAN_POSITIVE_MINUTES,,jaaskelainen,MATCHED,EXACT_DISPLAY_NAME,GK,Jaaskelainen,Bolton,146.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Cudicini,CHE,5.0,900,10.0,0,6.0,7.0,0.0,0,23.0,0,46,39.13,19.57,9.2,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Cudicini,CLEAN_POSITIVE_MINUTES,,cudicini,MATCHED,EXACT_DISPLAY_NAME,GK,Cudicini,Chelsea,40.0,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Cech,CHE,6.0,2313,26.0,0,14.0,17.0,0.0,0,60.0,2,120,38.55,19.28,20.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Cech,CLEAN_POSITIVE_MINUTES,,cech,MATCHED,EXACT_DISPLAY_NAME,GK,Cech,Chelsea,98.0,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Hilario,CHE,4.5,207,2.0,0,0.0,2.0,0.0,0,3.0,0,5,69.0,41.4,1.11,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Hilario,CLEAN_POSITIVE_MINUTES,,hilario,MATCHED,EXACT_DISPLAY_NAME,GK,Hilario,Chelsea,40.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Howard,EVE,5.5,3240,36.0,1,14.0,30.0,1.0,0,95.0,0,147,34.11,22.04,26.73,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Howard,CLEAN_POSITIVE_MINUTES,,howard,MATCHED,EXACT_DISPLAY_NAME+TEAM_TIEBREAK,GK,Howard,Everton,164.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Schwarzer,FUL,4.0,3060,34.0,0,8.0,47.0,2.0,0,97.0,3,106,31.55,28.87,26.5,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Schwarzer,CLEAN_POSITIVE_MINUTES,,schwarzer,MATCHED,EXACT_DISPLAY_NAME,GK,Schwarzer,Middlesbrough,115.0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Niemi,FUL,4.0,1980,22.0,0,2.0,39.0,0.0,0,89.0,2,64,22.25,30.94,16.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Niemi,CLEAN_POSITIVE_MINUTES,,niemi,MATCHED,EXACT_DISPLAY_NAME,GK,Niemi,Fulham,102.0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Warner,HUL,4.0,270,3.0,0,0.0,5.0,0.0,0,15.0,0,7,18.0,38.57,1.75,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Warner,CLEAN_POSITIVE_MINUTES,,warner,MATCHED,EXACT_DISPLAY_NAME,GK,Warner,Fulham,0.0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Reina,LIV,6.0,3420,38.0,1,18.0,28.0,2.0,0,66.0,3,159,51.82,21.51,26.5,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Reina,CLEAN_POSITIVE_MINUTES,,reina,MATCHED,EXACT_DISPLAY_NAME,GK,Reina,Liverpool,150.0,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Hart,MCY,5.0,2340,26.0,0,7.0,34.0,0.0,0,104.0,3,103,22.5,22.72,20.6,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Hart,CLEAN_POSITIVE_MINUTES,,hart,MATCHED,EXACT_DISPLAY_NAME,GK,Hart,Man. City,7.0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Schmeichel,MCY,4.0,630,7.0,0,4.0,5.0,0.0,0,24.0,2,41,26.25,15.37,10.25,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Schmeichel,CLEAN_POSITIVE_MINUTES,,schmeichel,MATCHED,EXACT_DISPLAY_NAME,GK,Schmeichel,Man. City,0.0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Jones,MID,4.0,90,1.0,0,0.0,3.0,0.0,0,1.0,0,1,90.0,90.0,0.25,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Jones,CLEAN_POSITIVE_MINUTES,,jones,MATCHED,EXACT_DISPLAY_NAME+TEAM_TIEBREAK,GK,Jones,Middlesbrough,10.0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Turnbull,MID,4.0,270,3.0,0,0.0,3.0,0.0,0,11.0,0,9,24.55,30.0,2.25,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Turnbull,CLEAN_POSITIVE_MINUTES,,turnbull,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Van der Sar,MUN,6.0,2565,29.0,1,14.0,18.0,2.0,0,77.0,0,126,33.31,20.36,21.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Van der Sar,CLEAN_POSITIVE_MINUTES,,vandersar,MATCHED,EXACT_DISPLAY_NAME,GK,Van der Sar,Man. United,130.0,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Kuszczak,MUN,5.0,765,9.0,0,5.0,4.0,0.0,0,23.0,0,40,33.26,19.13,8.0,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Kuszczak,CLEAN_POSITIVE_MINUTES,,kuszczak,MATCHED,EXACT_DISPLAY_NAME,GK,Kuszczak,Man. United,35.0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Foster,MUN,5.0,90,1.0,0,1.0,0.0,0.0,0,5.0,0,7,18.0,12.86,1.4,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Foster,CLEAN_POSITIVE_MINUTES,,foster,MATCHED,EXACT_DISPLAY_NAME,GK,Foster,Man. United,109.0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
