launch_position,launch_player,launch_team,points_2006_07,start_price_m,launch_source_url
GK,Cech,Chelsea,98,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Reina,Liverpool,150,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Van der Sar,Man. United,130,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Lehmann,Arsenal,117,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Carson,Aston Villa,139,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Friedel,Blackburn,162,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Cudicini,Chelsea,40,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Almunia,Arsenal,6,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Fabianski,Arsenal,0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Jaaskelainen,Bolton,146,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Hilario,Chelsea,40,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Howard,Everton,164,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Foster,Man. United,109,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Given,Newcastle,64,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,James,Portsmouth,173,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Robinson,Tottenham,117,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Sorensen,Aston Villa,119,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Brown,Blackburn,7,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Walker,Bolton,0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Isaksson,Man. City,47,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Kuszczak,Man. United,35,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Schwarzer,Middlesbrough,115,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Harper,Newcastle,56,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Hahnemann,Reading,151,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Alnwick,Tottenham,0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Green,West Ham,99,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Taylor,Aston Villa,12,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Taylor,Birmingham,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Doyle,Birmingham,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Kingson,Birmingham,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Enckelman,Blackburn,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Al-Habsi,Bolton,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Bywater,Derby,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Price,Derby,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Turner,Everton,2,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Batista,Fulham,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Niemi,Fulham,102,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Warner,Fulham,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Hart,Man. City,7,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Schmeichel,Man. City,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Jones,Middlesbrough,10,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Ashdown,Portsmouth,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Jordan,Portsmouth,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Federici,Reading,2,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Gordon,Sunderland,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Ward,Sunderland,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Fulop,Sunderland,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Cerny,Tottenham,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Wright,West Ham,1,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Nash,Wigan,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Pollitt,Wigan,6,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
GK,Kirkland,Wigan,95,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Terry,Chelsea,139,7.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Carvalho,Chelsea,145,7.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Agger,Liverpool,131,7.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Carragher,Liverpool,163,7.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Riise,Liverpool,89,7.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Vidic,Man. United,106,7.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Eboue,Arsenal,84,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Toure,Arsenal,131,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Gallas,Arsenal,83,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Cole A,Chelsea,79,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
