Player,Team,06/07,Cost
Samuel,Bolton,4,4.5
Cid,Bolton,0,4.5
Todd,Derby,10,4.5
Hibbert,Everton,26,4.5
Valente,Everton,30,4.5
Baines,Everton,95,4.5
Konchesky,Fulham,41,4.5
Knight,Fulham,63,4.5
Rosenior,Fulham,103,4.5
Volz,Fulham,76,4.5
Baird,Fulham,0,4.5
Ball,Man. City,38,4.5
Onuoha,Man. City,54,4.5
Garrido,Man. City,0,4.5
Evans,Man. United,0,4.5
Bardsley,Man. United,46,4.5
Cathcart,Man. United,0,4.5
Davies,Middlesbrough,57,4.5
Riggott,Middlesbrough,5,4.5
Taylor,Middlesbrough,83,4.5
Ramage,Newcastle,48,4.5
Huntington,Newcastle,19,4.5
Pamarot,Portsmouth,56,4.5
Stefanovic,Portsmouth,65,4.5
Traore,Portsmouth,38,4.5
De La Cruz,Reading,40,4.5
Murty,Reading,66,4.5
Sonko,Reading,60,4.5
Ingimarsson,Reading,123,4.5
Halford,Sunderland,4,4.5
Gardner,Tottenham,10,4.5
Stalteri,Tottenham,13,4.5
Assou-Ekotto,Tottenham,43,4.5
Upson,West Ham,2,4.5
Davenport,West Ham,33,4.5
Collins,West Ham,44,4.5
Ferdinand,West Ham,83,4.5
Gabbidon,West Ham,34,4.5
Spector,West Ham,50,4.5
McCartney,West Ham,46,4.5
Scharner,Wigan,75,4.5
Melchiot,Wigan,0,4.5
Kelly,Birmingham,0,4.0
Sadler,Birmingham,0,4.0
Taylor,Birmingham,0,4.0
Tebily,Birmingham,0,4.0
Parnaby,Birmingham,21,4.0
Schmitz,Birmingham,0,4.0
Henchoz,Blackburn,31,4.0
Johnson M,Derby,0,4.0
Camara,Derby,0,4.0
Edworthy,Derby,0,4.0
Leacock,Derby,0,4.0
Moore,Derby,0,4.0
McEveley,Derby,7,4.0
Mears,Derby,6,4.0
Davis,Derby,45,4.0
Nyatanga,Derby,0,4.0
Griffin,Derby,0,4.0
Christanval,Fulham,49,4.0
Pearce,Fulham,52,4.0
Hughes,Fulham,43,4.0
Leijer,Fulham,0,4.0
Sun,Man. City,35,4.0
Mills D,Man. City,1,4.0
Bates,Middlesbrough,2,4.0
Wheater,Middlesbrough,9,4.0
Edgar,Newcastle,14,4.0
Carroll,Newcastle,4,4.0
O'Brien,Portsmouth,3,4.0
Bikey,Reading,38,4.0
Duberry,Reading,19,4.0
Nosworthy,Sunderland,0,4.0
Varga,Sunderland,0,4.0
Collins,Sunderland,0,4.0
Wright,Sunderland,0,4.0
Anderson,Sunderland,0,4.0
McShane,Sunderland,0,4.0
Ifil,Tottenham,1,4.0
Dailly,West Ham,17,4.0
Paintsil,West Ham,5,4.0
Granqvist,Wigan,0,4.0
Hall,Wigan,32,4.0
Taylor,Wigan,49,4.0
Boyce,Wigan,91,4.0
Bramble,Wigan,41,4.0
