Player,Team,06/07,Cost
Ronaldo,Man. United,244,12.0
Lampard,Chelsea,202,11.0
Gerrard,Liverpool,180,10.5
Fabregas,Arsenal,182,9.5
Cole J,Chelsea,16,9.0
Robben,Chelsea,81,9.0
Malouda,Chelsea,0,9.0
Rosicky,Arsenal,83,8.5
Ballack,Chelsea,77,8.5
Arteta,Everton,178,8.5
Giggs,Man. United,125,8.5
Gamst Pedersen,Blackburn,155,8.0
Essien,Chelsea,144,8.0
Sidwell,Chelsea,134,8.0
Babel,Liverpool,0,8.0
Elano,Man. City,0,8.0
Scholes,Man. United,132,8.0
Nani,Man. United,0,8.0
Anderson,Man. United,0,8.0
Gilberto,Arsenal,141,7.5
Barry,Aston Villa,147,7.5
Wright-Phillips,Chelsea,71,7.5
Cahill,Everton,70,7.5
Park,Man. United,61,7.5
Carrick,Man. United,106,7.5
Barton,Newcastle,131,7.5
Lennon,Tottenham,98,7.5
Hleb,Arsenal,94,7.0
Petrov,Aston Villa,94,7.0
Bentley,Blackburn,145,7.0
Nolan,Bolton,81,7.0
Mikel,Chelsea,42,7.0
Benayoun,Liverpool,88,7.0
Alonso,Liverpool,112,7.0
Pennant,Liverpool,90,7.0
Geovanni,Man. City,0,7.0
Downing,Middlesbrough,120,7.0
Dyer,Newcastle,77,7.0
Duff,Newcastle,51,7.0
Taylor,Portsmouth,164,7.0
Jenas,Tottenham,95,7.0
Ljungberg,West Ham,36,7.0
Boa Morte,West Ham,70,7.0
Faubert,West Ham,0,7.0
Denilson,Arsenal,17,6.5
McSheffrey,Birmingham,0,6.5
Speed,Bolton,151,6.5
Makelele,Chelsea,81,6.5
Bullard,Fulham,23,6.5
Kewell,Liverpool,7,6.5
Gonzalez,Liverpool,55,6.5
Petrov,Man. City,0,6.5
Fletcher,Man. United,64,6.5
Hargreaves,Man. United,0,6.5
Milner,Newcastle,114,6.5
Muntari,Portsmouth,0,6.5
Malbranque,Tottenham,60,6.5
Flamini,Arsenal,48,6.0
Berger,Aston Villa,44,6.0
Maloney,Aston Villa,18,6.0
Reid,Blackburn,6,6.0
Dunn,Blackburn,14,6.0
Campo,Bolton,123,6.0
Wilhelmsson,Bolton,0,6.0
Braaten,Bolton,0,6.0
Diarra,Chelsea,20,6.0
Osman,Everton,104,6.0
Mascherano,Liverpool,25,6.0
Leto,Liverpool,0,6.0
O'Shea,Man. United,76,6.0
Arca,Middlesbrough,68,6.0
Emre,Newcastle,70,6.0
Solano,Newcastle,74,6.0
Kranjcar,Portsmouth,58,6.0
O'Neil,Portsmouth,99,6.0
Hunt,Reading,116,6.0
Zokora,Tottenham,60,6.0
Boateng,Tottenham,0,6.0
Etherington,West Ham,63,6.0
Parker,West Ham,92,6.0
Koumas,Wigan,0,6.0
Diaby,Arsenal,28,5.5
Reo-Coker,Aston Villa,83,5.5
Savage,Blackburn,44,5.5
Tugay,Blackburn,82,5.5
Stelios,Bolton,33,5.5
Barnes,Derby,0,5.5
Carsley,Everton,104,5.5
