archive_id,first_name,second_name,web_name,current_team,current_type,element_type_id,history_status,season,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,ea_ppi,end_cost_tenths,end_price_m,total_points,source_path
1,Lukasz,Fabianski,Fabianski,Arsenal,Goalkeeper,1,POSITIVE_MINUTES,2010/11,1260,0,1,5,14,0,0,0,0,0,33,2,0,45,4.5,55,20_5_2013/1
2,Wojciech,Szczesny,Szczesny,Arsenal,Goalkeeper,1,POSITIVE_MINUTES,2010/11,1350,0,0,6,19,0,1,0,1,0,45,0,0,43,4.3,62,20_5_2013/2
3,Sebastien,Squillaci,Squillaci,Arsenal,Defender,2,POSITIVE_MINUTES,2010/11,1820,1,0,5,28,1,0,0,1,0,0,0,0,60,6.0,55,20_5_2013/3
4,Laurent,Koscielny,Koscielny,Arsenal,Defender,2,POSITIVE_MINUTES,2010/11,2617,2,0,9,36,0,0,0,5,2,0,0,0,59,5.9,85,20_5_2013/4
5,Thomas,Vermaelen,Vermaelen,Arsenal,Defender,2,POSITIVE_MINUTES,2010/11,450,0,1,1,6,0,0,0,0,0,0,0,0,71,7.1,15,20_5_2013/5
6,Johan,Djourou,Djourou,Arsenal,Defender,2,POSITIVE_MINUTES,2010/11,1794,1,0,10,15,0,0,0,3,0,0,6,0,40,4.0,86,20_5_2013/6
7,Bacary,Sagna,Sagna,Arsenal,Defender,2,POSITIVE_MINUTES,2010/11,2969,1,3,12,39,0,0,0,3,1,0,1,0,63,6.3,111,20_5_2013/7
8,Kieran,Gibbs,Gibbs,Arsenal,Defender,2,POSITIVE_MINUTES,2010/11,348,0,0,0,8,0,0,0,1,0,0,0,0,52,5.2,7,20_5_2013/8
9,Carl,Jenkinson,Jenkinson,Arsenal,Defender,2,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/9
10,Ignasi,Miquel,Miquel,Arsenal,Defender,2,ZERO_MINUTES,2010/11,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4.0,0,20_5_2013/10
11,Per,Mertesacker,Mertesacker,Arsenal,Defender,2,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/11
12,Clarindo,Andre Santos,Santos,Arsenal,Defender,2,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/12
