archive_id,code,first_name,second_name,web_name,current_team,current_type,element_type_id,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,ea_ppi,end_cost_tenths,end_price_m,total_points,source_path
1,315730,Lukasz,Fabianski,Fabianski,Arsenal,Goalkeeper,1,1260,0,1,5,14,0,0,0,0,0,33,2,0,45,4.5,55,20_5_2013/1
2,361545,Wojciech,Szczesny,Szczesny,Arsenal,Goalkeeper,1,1350,0,0,6,19,0,1,0,1,0,45,0,0,43,4.3,62,20_5_2013/2
3,214650,Sebastien,Squillaci,Squillaci,Arsenal,Defender,2,1820,1,0,5,28,1,0,0,1,0,0,0,0,60,6.0,55,20_5_2013/3
4,322957,Laurent,Koscielny,Koscielny,Arsenal,Defender,2,2617,2,0,9,36,0,0,0,5,2,0,0,0,59,5.9,85,20_5_2013/4
5,285782,Thomas,Vermaelen,Vermaelen,Arsenal,Defender,2,450,0,1,1,6,0,0,0,0,0,0,0,0,71,7.1,15,20_5_2013/5
6,303158,Johan,Djourou,Djourou,Arsenal,Defender,2,1794,1,0,10,15,0,0,0,3,0,0,6,0,40,4.0,86,20_5_2013/6
7,282300,Bacary,Sagna,Sagna,Arsenal,Defender,2,2969,1,3,12,39,0,0,0,3,1,0,1,0,63,6.3,111,20_5_2013/7
8,365051,Kieran,Gibbs,Gibbs,Arsenal,Defender,2,348,0,0,0,8,0,0,0,1,0,0,0,0,52,5.2,7,20_5_2013/8
13,398216,Jack,Wilshere,Wilshere,Arsenal,Midfielder,3,2640,1,3,12,30,0,0,0,7,1,0,14,0,49,4.9,93,20_5_2013/13
14,202962,Andrey,Arshavin,Arshavin,Arsenal,Midfielder,3,2188,6,11,8,27,0,0,0,1,0,0,8,0,87,8.7,138,20_5_2013/14
15,304763,Theo,Walcott,Walcott,Arsenal,Midfielder,3,1691,9,8,10,16,0,0,0,0,0,0,7,0,70,7.0,133,20_5_2013/15
16,299259,Alex,Song,Song,Arsenal,Midfielder,3,2592,4,2,12,29,0,0,0,7,1,0,15,0,53,5.3,102,20_5_2013/16
17,300448,Vassiriki,Diaby,Diaby,Arsenal,Midfielder,3,953,2,3,3,16,0,0,0,1,1,0,3,0,72,7.2,46,20_5_2013/17
18,377145,Aaron,Ramsey,Ramsey,Arsenal,Midfielder,3,355,1,0,1,8,0,0,0,1,0,0,3,0,60,6.0,18,20_5_2013/18
19,195916,Tomas,Rosicky,Rosicky,Arsenal,Midfielder,3,939,0,1,2,17,0,0,1,3,0,0,0,0,60,6.0,30,20_5_2013/19
20,206849,Mikel,Arteta,Arteta,Arsenal,Midfielder,3,2405,3,4,6,36,0,0,1,1,1,0,18,0,78,7.8,101,20_5_2013/20
26,241625,Robin,van Persie,Van Persie,Man Utd,Forward,4,1770,18,7,7,24,0,0,1,4,0,0,27,0,110,11.0,157,20_5_2013/26
27,261728,Marouane,Chamakh,Chamakh,West Ham,Forward,4,1846,7,7,4,24,0,0,0,5,0,0,11,0,79,7.9,101,20_5_2013/27
28,342903,Carlos Alberto,Vela,Vela,Arsenal,Forward,4,386,3,1,0,6,0,0,0,0,0,0,0,0,42,4.2,29,20_5_2013/28
31,303162,Nicklas,Bendtner,Bendtner,Arsenal,Forward,4,509,2,2,2,5,0,0,0,2,0,0,0,0,63,6.3,32,20_5_2013/31
35,397035,Nathan,Baker,Baker,Aston Villa,Defender,2,247,0,0,0,4,0,0,0,0,0,0,0,0,40,4.0,5,20_5_2013/35
36,214102,Richard,Dunne,Dunne,Aston Villa,Defender,2,2717,0,1,6,45,1,0,0,4,0,0,6,0,65,6.5,73,20_5_2013/36
37,341264,Ciaran,Clark,Clark,Aston Villa,Defender,2,1569,3,0,4,33,0,0,0,9,0,0,3,0,41,4.1,51,20_5_2013/37
38,203533,James,Collins,Collins,West Ham,Defender,2,2854,3,0,7,45,0,0,0,5,0,0,14,0,58,5.8,104,20_5_2013/38
39,249195,Stephen,Warnock,Warnock,Aston Villa,Defender,2,1710,0,2,4,34,0,0,0,8,0,0,0,0,54,5.4,38,20_5_2013/39
40,258309,Alan,Hutton,Hutton,Aston Villa,Defender,2,1705,2,2,2,25,0,0,0,2,0,0,2,0,43,4.3,58,20_5_2013/40
42,393547,Eric,Lichaj,Lichaj,Aston Villa,Defender,2,274,0,0,0,7,0,0,0,1,0,0,0,0,40,4.0,4,20_5_2013/42
45,369746,Barry,Bannan,Bannan,Aston Villa,Midfielder,3,640,0,1,1,14,0,0,0,1,0,0,0,0,44,4.4,21,20_5_2013/45
46,343557,Chris,Herd,Herd,Aston Villa,Midfielder,3,110,0,0,0,2,0,0,0,0,0,0,0,0,45,4.5,7,20_5_2013/46
47,256045,Jean,Makoun,Makoun,Aston Villa,Midfielder,3,551,0,0,1,9,0,0,0,3,1,0,0,0,55,5.5,8,20_5_2013/47
48,377777,Fabian,Delph,Delph,Aston Villa,Midfielder,3,414,0,0,0,7,0,0,0,1,0,0,0,0,50,5.0,9,20_5_2013/48
49,366890,Marc,Albrighton,Albrighton,Aston Villa,Midfielder,3,1800,5,7,4,33,0,0,0,3,0,0,4,0,44,4.4,99,20_5_2013/49
50,299570,Stephen,Ireland,Ireland,Aston Villa,Midfielder,3,555,0,0,1,16,0,0,0,1,0,0,0,0,58,5.8,17,20_5_2013/50
51,303069,Charles,N'Zogbia,N'Zogbia,Aston Villa,Midfielder,3,2785,9,7,8,49,0,0,0,2,1,0,33,0,59,5.9,167,20_5_2013/51
58,221712,Darren,Bent,Bent,Aston Villa,Forward,4,3142,17,2,12,41,0,0,0,1,0,0,14,0,92,9.2,158,20_5_2013/58
59,374474,Nathan,Delfouneso,Delfouneso,Aston Villa,Forward,4,398,1,0,1,8,0,0,0,0,0,0,0,0,46,4.6,17,20_5_2013/59
60,291915,Gabriel,Agbonlahor,Agbonlahor,Aston Villa,Forward,4,1603,3,1,4,26,0,0,0,3,0,0,0,0,81,8.1,55,20_5_2013/60
61,388225,Andreas,Weimann,Weimann,Aston Villa,Forward,4,5,0,0,0,0,0,0,0,0,0,0,0,0,50,5.0,1,20_5_2013/61
63,221744,Petr,Cech,Cech,Chelsea,Goalkeeper,1,3420,0,1,15,33,0,1,0,0,0,98,2,0,67,6.7,158,20_5_2013/63
66,285679,Gary,Cahill,Cahill,Chelsea,Defender,2,3213,3,0,5,53,0,0,0,7,1,0,23,0,56,5.6,105,20_5_2013/66
67,370569,David,Luiz,Luiz,Chelsea,Defender,2,953,2,0,4,8,0,0,0,3,0,0,10,0,65,6.5,56,20_5_2013/67
68,341721,Ryan,Bertrand,Bertrand,Chelsea,Defender,2,35,0,1,0,1,0,0,0,0,0,0,0,0,40,4.0,4,20_5_2013/68
69,38930,John,Terry,Terry,Chelsea,Defender,2,2961,3,2,14,27,0,0,0,6,0,0,0,0,74,7.4,134,20_5_2013/69
70,304752,Branislav,Ivanovic,Ivanovic,Chelsea,Defender,2,2827,4,5,13,27,0,0,0,12,0,0,5,0,71,7.1,144,20_5_2013/70
71,197542,Paulo,Ferreira,Ferreira,Chelsea,Defender,2,1039,0,2,4,14,0,0,0,2,0,0,0,0,48,4.8,48,20_5_2013/71
72,41948,Ashley,Cole,Cole A,Chelsea,Defender,2,3385,0,5,15,32,0,0,0,4,0,0,11,0,81,8.1,150,20_5_2013/72
75,428056,Josh,McEachran,McEachran,Chelsea,Midfielder,3,180,0,0,0,3,0,0,0,1,0,0,0,0,45,4.5,9,20_5_2013/75
76,378933,Nascimento,Ramires,Ramires,Chelsea,Midfielder,3,1933,2,0,10,18,0,0,0,7,0,0,4,0,67,6.7,68,20_5_2013/76
77,23277,Frank,Lampard,Lampard,Chelsea,Midfielder,3,2024,10,4,9,21,0,0,1,2,0,0,16,0,130,13.0,130,20_5_2013/77
78,211367,Michael,Essien,Essien,Chelsea,Midfielder,3,2797,3,2,13,25,0,0,0,4,1,0,15,0,69,6.9,105,20_5_2013/78
79,203978,Florent,Malouda,Malouda,Chelsea,Midfielder,3,2799,13,5,16,27,0,0,0,1,0,0,22,0,97,9.7,186,20_5_2013/79
80,317560,,Mikel,Mikel,Chelsea,Midfielder,3,2204,0,2,11,21,0,0,0,3,0,0,1,0,44,4.4,67,20_5_2013/80
86,185995,Yossi,Benayoun,Benayoun,Chelsea,Midfielder,3,209,1,0,0,1,0,0,0,0,0,0,0,0,68,6.8,13,20_5_2013/86
89,250968,Fernando,Torres,Torres,Chelsea,Forward,4,2655,10,7,10,36,0,0,0,7,0,0,8,0,112,11.2,128,20_5_2013/89
90,317578,Daniel,Sturridge,Sturridge,Liverpool,Forward,4,1131,8,0,2,17,0,0,0,0,1,0,14,0,53,5.3,78,20_5_2013/90
93,207096,Tim,Howard,Howard,Everton,Goalkeeper,1,3420,0,0,9,45,0,0,0,3,0,108,3,0,53,5.3,124,20_5_2013/93
94,221992,Johnny,Heitinga,Heitinga,Everton,Defender,2,1888,1,0,4,30,0,0,0,9,0,0,0,0,55,5.5,50,20_5_2013/94
95,195992,Phil,Jagielka,Jagielka,Everton,Defender,2,2796,1,1,9,32,2,0,0,3,0,0,10,0,56,5.6,104,20_5_2013/95
96,203605,Tony,Hibbert,Hibbert,Everton,Defender,2,1452,0,0,3,20,1,0,0,3,0,0,0,0,48,4.8,38,20_5_2013/96
97,244134,Leighton,Baines,Baines,Everton,Defender,2,3420,5,11,9,45,0,0,0,4,0,0,20,0,81,8.1,178,20_5_2013/97
98,200195,Sylvain,Distin,Distin,Everton,Defender,2,3409,2,0,9,45,1,0,0,1,0,0,16,0,53,5.3,124,20_5_2013/98
