element_code,name,minutes,points,source,canonical_playerId,canonical_name,method
17349,Aaron Lennon,2361,99,data/2016-17/players/Aaron_Lennon/history.csv,17349,Aaron Lennon,SHARED_ELEMENT_CODE
19151,Chris Brunt,3012,130,data/2016-17/players/Chris_Brunt/history.csv,19151,Chris Brunt,SHARED_ELEMENT_CODE
9047,Glen Johnson,2437,100,data/2016-17/players/Glen_Johnson/history.csv,9047,Glen Johnson,SHARED_ELEMENT_CODE
49438,Jordon Mutch,243,9,data/2016-17/players/Jordon_Mutch/history.csv,49438,Jordon Mutch,SHARED_ELEMENT_CODE
1718,John Terry,2961,134,data/2016-17/players/John_Terry/history.csv,1718,John Terry,SHARED_ELEMENT_CODE
19057,Sebastian Larsson,2833,116,data/2016-17/players/Sebastian_Larsson/history.csv,19057,Sebastian Larsson,SHARED_ELEMENT_CODE
49013,Victor Moses,815,42,data/2016-17/players/Victor_Moses/history.csv,49013,Victor Moses,SHARED_ELEMENT_CODE
28554,Samir Nasri,2383,134,data/2016-17/players/Samir_Nasri/history.csv,28554,Samir Nasri,SHARED_ELEMENT_CODE
40399,Sam Vokes,31,2,data/2016-17/players/Sam_Vokes/history.csv,40399,Sam Vokes,SHARED_ELEMENT_CODE
54102,Jack Wilshere,2640,93,data/2016-17/players/Jack_Wilshere/history.csv,54102,Jack Wilshere,SHARED_ELEMENT_CODE
28468,Craig Gardner,2216,92,data/2016-17/players/Craig_Gardner/history.csv,28468,Craig Gardner,SHARED_ELEMENT_CODE
12679,Michael Dawson,2160,77,data/2016-17/players/Michael_Dawson/history.csv,12679,Michael Dawson,SHARED_ELEMENT_CODE
40725,Danny Simpson,2685,70,data/2016-17/players/Danny_Simpson/history.csv,40725,Danny Simpson,SHARED_ELEMENT_CODE
50472,James McCarthy,1976,75,data/2016-17/players/James_McCarthy/history.csv,50472,James McCarthy,SHARED_ELEMENT_CODE
66797,Simon Mignolet,2070,83,data/2016-17/players/Simon_Mignolet/history.csv,66797,Simon Mignolet,SHARED_ELEMENT_CODE
11334,Petr Cech,3420,158,data/2016-17/players/Petr_Cech/history.csv,11334,Petr Cech,SHARED_ELEMENT_CODE
19556,David Jones,951,30,data/2016-17/players/David_Jones/history.csv,19556,David Jones,SHARED_ELEMENT_CODE
15157,James Milner,2134,97,data/2016-17/players/James_Milner/history.csv,15157,James Milner,SHARED_ELEMENT_CODE
49384,Jack Rodwell,1420,41,data/2016-17/players/Jack_Rodwell/history.csv,49384,Jack Rodwell,SHARED_ELEMENT_CODE
75773,Chung-yong Lee,2186,99,data/2016-17/players/Chung-yong_Lee/history.csv,75773,Lee Chung-yong,SHARED_ELEMENT_CODE
37869,Ryan Shawcross,3196,92,data/2016-17/players/Ryan_Shawcross/history.csv,37869,Ryan Shawcross,SHARED_ELEMENT_CODE
