archive_id,official_name,fpl_minutes,fpl_points,canonical_playerId,canonical_name,raw_minutes,method,score
1,Lukasz Fabianski,1260,55,37096,Lukasz Fabianski,1260.0,EXACT_NORMALIZED,1.0
2,Wojciech Szczesny,1350,62,59936,Wojciech Szczesny,1350.0,EXACT_NORMALIZED,1.0
3,Sebastien Squillaci,1820,55,13439,Sébastien Squillaci,1817.0,EXACT_NORMALIZED,1.0
4,Laurent Koscielny,2617,85,51507,Laurent Koscielny,2617.0,EXACT_NORMALIZED,1.0
5,Thomas Vermaelen,450,15,15943,Thomas Vermaelen,450.0,EXACT_NORMALIZED,1.0
6,Johan Djourou,1794,86,19160,Johan Djourou,1796.0,EXACT_NORMALIZED,1.0
7,Bacary Sagna,2969,111,37748,Bacary Sagna,2969.0,EXACT_NORMALIZED,1.0
8,Kieran Gibbs,348,7,42427,Kieran Gibbs,345.0,EXACT_NORMALIZED,1.0
13,Jack Wilshere,2640,93,54102,Jack Wilshere,2650.0,EXACT_NORMALIZED,1.0
14,Andrey Arshavin,2188,138,13227,Andrey Arshavin,2194.0,EXACT_NORMALIZED,1.0
15,Theo Walcott,1691,133,20467,Theo Walcott,1696.0,EXACT_NORMALIZED,1.0
17,Vassiriki Diaby,953,46,28566,Abou Diaby,962.0,MANUAL_ALIAS,0.98
18,Aaron Ramsey,355,18,41792,Aaron Ramsey,355.0,EXACT_NORMALIZED,1.0
19,Tomas Rosicky,939,30,8597,Tomas Rosicky,927.0,EXACT_NORMALIZED,1.0
20,Mikel Arteta,2405,101,8758,Mikel Arteta,2410.0,EXACT_NORMALIZED,1.0
26,Robin van Persie,1770,157,12297,Robin van Persie,1768.0,EXACT_NORMALIZED,1.0
27,Marouane Chamakh,1846,101,15675,Marouane Chamakh,1843.0,EXACT_NORMALIZED,1.0
31,Nicklas Bendtner,509,32,27697,Nicklas Bendtner,495.0,EXACT_NORMALIZED,1.0
35,Nathan Baker,247,5,52477,Nathan Baker,249.0,EXACT_NORMALIZED,1.0
36,Richard Dunne,2717,73,1764,Richard Dunne,2719.0,EXACT_NORMALIZED,1.0
37,Ciaran Clark,1569,51,58845,Ciaran Clark,1566.0,EXACT_NORMALIZED,1.0
38,James Collins,2854,104,8380,James Collins,2853.0,EXACT_NORMALIZED,1.0
39,Stephen Warnock,1710,38,13310,Stephen Warnock,1710.0,EXACT_NORMALIZED,1.0
40,Alan Hutton,1705,58,15405,Alan Hutton,1704.0,EXACT_NORMALIZED,1.0
42,Eric Lichaj,274,4,45139,Eric Lichaj,273.0,EXACT_NORMALIZED,1.0
45,Barry Bannan,640,21,59013,Barry Bannan,636.0,EXACT_NORMALIZED,1.0
46,Chris Herd,110,7,49493,Chris Herd,107.0,EXACT_NORMALIZED,1.0
47,Jean Makoun,551,8,15154,Jean Makoun,554.0,EXACT_NORMALIZED,1.0
48,Fabian Delph,414,9,41823,Fabian Delph,414.0,EXACT_NORMALIZED,1.0
49,Marc Albrighton,1800,99,51938,Marc Albrighton,1804.0,EXACT_NORMALIZED,1.0
51,Charles N'Zogbia,2785,167,18737,Charles N'Zogbia,2796.0,EXACT_NORMALIZED,1.0
58,Darren Bent,3142,158,10738,Darren Bent,3149.0,EXACT_NORMALIZED,1.0
59,Nathan Delfouneso,398,17,51484,Nathan Delfouneso,392.0,EXACT_NORMALIZED,1.0
60,Gabriel Agbonlahor,1603,55,27450,Gabriel Agbonlahor,1603.0,EXACT_NORMALIZED,1.0
61,Andreas Weimann,5,1,80979,Andreas Weimann,3.0,EXACT_NORMALIZED,1.0
63,Petr Cech,3420,158,11334,Petr Cech,3420.0,EXACT_NORMALIZED,1.0
66,Gary Cahill,3213,105,19419,Gary Cahill,3214.0,EXACT_NORMALIZED,1.0
67,David Luiz,953,56,41270,David Luiz,953.0,EXACT_NORMALIZED,1.0
68,Ryan Bertrand,35,4,40146,Ryan Bertrand,33.0,EXACT_NORMALIZED,1.0
69,John Terry,2961,134,1718,John Terry,2962.0,EXACT_NORMALIZED,1.0
70,Branislav Ivanovic,2827,144,41135,Branislav Ivanovic,2829.0,EXACT_NORMALIZED,1.0
71,Paulo Ferreira,1039,48,16734,Paulo Ferreira,1038.0,EXACT_NORMALIZED,1.0
72,Ashley Cole,3385,150,3785,Ashley Cole,3387.0,EXACT_NORMALIZED,1.0
75,Josh McEachran,180,9,88821,Josh McEachran,171.0,EXACT_NORMALIZED,1.0
76,Nascimento Ramires,1933,68,53392,Ramires,1943.0,MANUAL_ALIAS,0.98
77,Frank Lampard,2024,130,2051,Frank Lampard,2026.0,EXACT_NORMALIZED,1.0
78,Michael Essien,2797,105,8442,Michael Essien,2801.0,EXACT_NORMALIZED,1.0
79,Florent Malouda,2799,186,10425,Florent Malouda,2810.0,EXACT_NORMALIZED,1.0
80,Mikel,2204,67,28495,John Obi Mikel,2215.0,MANUAL_ALIAS,0.98
86,Yossi Benayoun,209,13,13594,Yossi Benayoun,203.0,EXACT_NORMALIZED,1.0
89,Fernando Torres,2655,128,14402,Fernando Torres,2658.0,EXACT_NORMALIZED,1.0
93,Tim Howard,3420,124,15337,Tim Howard,3420.0,EXACT_NORMALIZED,1.0
94,Johnny Heitinga,1888,50,10466,John Heitinga,1896.0,MANUAL_ALIAS,0.98
95,Phil Jagielka,2796,104,7645,Phil Jagielka,2796.0,EXACT_NORMALIZED,1.0
96,Tony Hibbert,1452,38,9007,Tony Hibbert,1450.0,EXACT_NORMALIZED,1.0
97,Leighton Baines,3420,178,12745,Leighton Baines,3420.0,EXACT_NORMALIZED,1.0
98,Sylvain Distin,3409,124,6219,Sylvain Distin,3411.0,EXACT_NORMALIZED,1.0
101,Adam Forshaw,9,1,80179,Adam Forshaw,7.0,EXACT_NORMALIZED,1.0
102,Jack Rodwell,1420,41,49384,Jack Rodwell,1412.0,EXACT_NORMALIZED,1.0
103,Leon Osman,1811,91,8378,Leon Osman,1808.0,EXACT_NORMALIZED,1.0
104,Tim Cahill,2016,117,3273,Tim Cahill,2016.0,EXACT_NORMALIZED,1.0
105,Marouane Fellaini,1652,56,41184,Marouane Fellaini,1654.0,EXACT_NORMALIZED,1.0
106,Phil Neville,2657,77,1821,Phil Neville,2665.0,EXACT_NORMALIZED,1.0
107,Seamus Coleman,2256,116,59949,Séamus Coleman,2259.0,EXACT_NORMALIZED,1.0
108,Darron Gibson,657,21,27707,Darron Gibson,648.0,EXACT_NORMALIZED,1.0
110,Apostolos Vellios,35,3,60865,Apostolos Vellios,30.0,EXACT_NORMALIZED,1.0
111,Magaye Gueye,191,11,57835,Magaye Gueye,192.0,EXACT_NORMALIZED,1.0
112,Jose Baxter,13,1,55586,Jose Baxter,12.0,EXACT_NORMALIZED,1.0
113,Victor Anichebe,769,19,28593,Victor Anichebe,771.0,EXACT_NORMALIZED,1.0
117,David Stockdale,630,38,15903,David Stockdale,630.0,EXACT_NORMALIZED,1.0
118,Mark Schwarzer,2790,113,1827,Mark Schwarzer,2790.0,EXACT_NORMALIZED,1.0
120,Matthew Briggs,195,4,42425,Matthew Briggs,198.0,EXACT_NORMALIZED,1.0
121,Philippe Senderos,270,13,16854,Philippe Senderos,270.0,EXACT_NORMALIZED,1.0
122,Stephen Kelly,729,23,9493,Stephen Kelly,729.0,EXACT_NORMALIZED,1.0
123,Aaron Hughes,3404,129,1869,Aaron Hughes,3405.0,EXACT_NORMALIZED,1.0
124,Brede Hangeland,3330,154,15284,Brede Hangeland,3330.0,EXACT_NORMALIZED,1.0
125,Chris Baird,2383,99,15968,Chris Baird,2386.0,EXACT_NORMALIZED,1.0
129,Steve Sidwell,1063,45,11735,Steve Sidwell,1058.0,EXACT_NORMALIZED,1.0
130,Damien Duff,1876,91,1256,Damien Duff,1882.0,EXACT_NORMALIZED,1.0
131,Dickson Etuhu,1971,76,10454,Dickson Etuhu,1970.0,EXACT_NORMALIZED,1.0
132,Clint Dempsey,3091,168,20226,Clint Dempsey,3098.0,EXACT_NORMALIZED,1.0
133,Simon Davies,2213,101,2559,Simon Davies,2209.0,EXACT_NORMALIZED,1.0
139,Mousa Dembele,1916,81,39104,Mousa Dembélé,1922.0,EXACT_NORMALIZED,1.0
143,Hugo Rodallega,3025,123,37334,Hugo Rodallega,3030.0,EXACT_NORMALIZED,1.0
144,Jose Reina,3420,135,8432,Pepe Reina,3420.0,MANUAL_ALIAS,0.98
147,Danny Wilson,157,1,60490,Danny Wilson,155.0,EXACT_NORMALIZED,1.0
