archive_id,name,minutes,points,method,best_score
16,Alex Song,2592,102,UNRESOLVED,0.8153
28,Carlos Alberto Vela,386,29,UNRESOLVED,0.7138
50,Stephen Ireland,555,17,UNRESOLVED,0.9904
90,Daniel Sturridge,1131,78,UNRESOLVED,0.9693
207,Luis Nani,2660,198,UNRESOLVED,0.6689
212,Tom Cleverley,1637,72,UNRESOLVED,0.9919
220,Javier Hernandez,1491,110,UNRESOLVED,0.5154
222,Danny Welbeck,1756,79,UNRESOLVED,0.9833
281,Nedum Onuoha,2662,97,UNRESOLVED,0.989
439,Kyle Walker,1341,51,UNRESOLVED,1.0
444,Raniere Sandro,1079,37,UNRESOLVED,0.6541
508,Ali Al Habsi,3060,125,UNRESOLVED,1.0
509,Michael Pollitt,29,1,UNRESOLVED,0.8364
516,Adrian Lopez,68,2,UNRESOLVED,0.6022
647,Tal Ben Haim,712,16,UNRESOLVED,0.4725
