priority_rank,canonical_playerId,playerName,raw_minutes,gamesPlayed,starts,goals,raw_goalAssists,nationality,raw_position_DO_NOT_IMPORT,raw_team_label_DO_NOT_IMPORT,research_tier,recovery_status,next_route
1,3630,Kevin Davies,3385.0,38.0,38.0,8.0,5.0,England,Forward,Preston North End,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
2,8358,Roger Johnson,3375.0,38.0,38.0,2.0,1.0,England,Defender,Bromley,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
3,1879,Stephen Carr,3375.0,38.0,38.0,,,Ireland,Defender,Birmingham City,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
4,5544,Ian Evatt,3215.0,38.0,36.0,1.0,3.0,England,Defender,Chesterfield,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
5,2324,Barry Ferguson,3150.0,35.0,35.0,,,Scotland,Midfielder,Birmingham City,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
6,2004,Paul Robinson,3150.0,35.0,35.0,,,England,Defender,Birmingham City,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
7,1812,Danny Murphy,3130.0,37.0,37.0,,4.0,England,Midfielder,Fulham,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
8,4739,Johan Elmander,3112.0,37.0,37.0,10.0,6.0,Sweden,Forward,Norwich City,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
9,28491,Ali Al Habsi,3060.0,34.0,34.0,,1.0,Oman,Goalkeeper,West Bromwich Albion U23,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
10,28491,Ali Al Habsi,3060.0,34.0,34.0,,1.0,Oman,Goalkeeper,West Bromwich Albion U23,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
11,4142,Míchel Salgado,3032.0,36.0,36.0,,2.0,Spain,Defender,Blackburn Rovers,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
12,1587,Zat Knight,2998.0,34.0,34.0,1.0,,England,Defender,Reading,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
13,4058,Edwin van der Sar,2970.0,33.0,33.0,,1.0,Netherlands,Goalkeeper,Manchester United,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
14,17601,Scott Carson,2880.0,32.0,32.0,,,England,Goalkeeper,Manchester City,A — HIGH EXPOSURE,UNRESOLVED FPL-NATIVE HISTORY,Older contemporaneous FPL archive / FPLA / preserved official JSON; do not repeat May-2013 or later-carrier sweeps
