morph_name,morph_minutes,morph_assists,rows
Clint Dempsey,62,1,1
Mousa Dembele,87,0,1
Jose Reina,90,0,1
Alexander Doni,0,0,1
Brad Jones,0,0,1
Danny Wilson,0,0,1
Jack Robinson,0,0,1
Jon Flanagan,0,0,1
Martin Kelly,0,0,1
Glen Johnson,90,0,1
Jamie Carragher,0,0,1
Martin Skrtel,90,0,1
Daniel Agger,90,0,1
Sanchez Jose Enrique,90,0,1
Sebastian Coates,0,0,1
Stewart Downing,77,0,1
Jonjo Shelvey,28,0,1
Jay Spearing,0,0,1
Steven Gerrard,90,1,1
Leiva Lucas,0,0,1
Jordan Henderson,62,0,1
Alberto Aquilani,0,0,1
Raheem Sterling,90,0,1
Luis Suarez,90,0,1
Craig Bellamy,0,0,1
Nathan Eccleston,0,0,1
Emmanuel Adebayor,0,0,1
Joe Allen,90,0,1
Heurelho Gomes,0,0,1
Carlo Cudicini,0,0,1
Brad Friedel,0,0,1
Ledley King,0,0,1
Michael Dawson,90,0,1
Benoit Assou-Ekotto,0,0,1
Younes Kaboul,0,0,1
William Gallas,90,0,1
Kyle Walker,90,0,1
Adam Smith,0,0,1
Kyle Naughton,0,0,1
Steven Caulker,0,0,1
Jan Vertonghen,90,0,1
Raniere Sandro,90,0,1
Rafael Van der Vaart,0,0,1
Luka Modric,0,0,1
Aaron Lennon,90,0,1
Gareth Bale,90,1,1
Tom Huddlestone,3,0,1
Jake Livermore,0,0,1
Scott Parker,0,0,1
Yago Falque,0,0,1
Tom Carroll,0,0,1
Gylfi Sigurdsson,28,0,1
Jermain Defoe,90,0,1
Dos Santos Giovani,0,0,1
Cameron Lancaster,0,0,1
Fabio Borini,0,0,1
Oussama Assaidi,13,0,1
Nuri Sahin,0,0,1
Hugo Lloris,90,0,1
Fernandez Saez,0,0,1
Ryan Mason,0,0,1
Andre Wisdom,0,0,1
Peter Gulacsi,0,0,1
