yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-2642,Bogdan,0,0,LIV(A) 1-3,Bolton,703,Adam,0,0,0,3,0,0,0,27 Aug. 17:30,0,0,40,0,Goalkeeper,0,0
0,1732,Bogdan,0,0,BLA(A) 2-1,Bolton,7017,Adam,0,0,0,17,0,0,0,20 Dec. 20:00,0,0,39,0,Goalkeeper,0,0
0,-1125,Cole A,2,0,MCI(A) 1-2,Chelsea,9729,Ashley,0,90,7,29,0,0,0,21 March 19:45,0,0,71,1,Defender,0,0
0,-185,Alex,0,0,MCI(A) 1-2,Chelsea,9829,,0,0,0,29,0,0,0,21 March 19:45,0,0,54,0,Defender,0,0
0,-1,Forshaw,0,0,ARS(H) 0-1,Everton,12029,Adam,0,0,0,29,0,0,0,21 March 20:00,0,0,44,0,Midfielder,0,0
0,-146,Vellios,0,0,ARS(H) 0-1,Everton,12929,Apostolos,0,0,0,29,0,0,0,21 March 20:00,0,0,44,0,Forward,0,0
0,-452,Hughes,0,0,SWA(H) 0-3,Fulham,14129,Aaron,0,0,0,29,0,0,0,17 March 15:00,0,0,45,0,Defender,0,0
0,964,Johnson A,0,0,WOL(H) 5-0,Fulham,15427,Andrew,0,90,32,27,1,1,2,04 March 14:05,0,0,47,9,Forward,0,0
0,-543,Carroll,2,0,QPR(A) 2-3,Liverpool,18029,Andy,0,9,1,29,0,0,0,21 March 20:00,0,0,91,1,Forward,0,0
0,-2481,Kolarov,0,0,CHE(H) 2-1,Man City,18529,Aleksandar,0,0,0,29,0,0,0,21 March 19:45,0,0,61,0,Defender,0,0
0,-1516,Johnson,0,0,CHE(H) 2-1,Man City,20029,Adam,0,0,0,29,0,0,0,21 March 19:45,0,0,70,0,Midfielder,0,0
0,-3004,Lindegaard,0,0,WOL(A) 5-0,Man Utd,20729,Anders,0,0,0,29,0,0,0,18 March 13:30,0,0,42,0,Goalkeeper,0,0
0,486,Valencia,0,0,WOL(A) 5-0,Man Utd,21729,Antonio,0,90,47,29,2,1,2,18 March 13:30,0,0,75,16,Midfielder,0,1
0,0,Begovic,1,3,NOR(A) 1-1,Stoke City,3092,Asmir,0,90,10,2,0,0,0,21 Aug. 13:30,0,0,50,3,Goalkeeper,0,0
0,-2276,Begovic,0,4,WBA(A) 1-0,Stoke City,3093,Asmir,0,90,20,3,0,1,0,28 Aug. 15:00,0,0,50,7,Goalkeeper,0,0
0,0,Wilkinson,0,0,NOR(A) 1-1,Stoke City,3142,Andy,0,0,0,2,0,0,0,21 Aug. 13:30,0,0,40,0,Defender,0,0
0,-2520,Wilkinson,0,0,WBA(A) 1-0,Stoke City,3143,Andy,0,54,12,3,0,0,0,28 Aug. 15:00,0,0,40,1,Defender,0,0
0,-12814,Ferdinand,0,0,SUN(H) 2-3,QPR,33917,Anton,0,0,0,17,0,0,0,21 Dec. 20:00,0,0,46,0,Defender,0,0
0,-1279,Elmohamady,0,0,QPR(A) 3-2,Sunderland,34917,Ahmed,0,0,0,17,0,0,0,21 Dec. 20:00,0,0,49,0,Midfielder,0,0
0,0,Lennon,3,0,MUN(A) 0-3,Tottenham,3972,Aaron,0,90,3,2,0,0,0,22 Aug. 20:00,0,0,75,2,Midfielder,0,0
0,-38,Meite,0,0,CHE(H) 1-0,West Brom,41627,Abdoulaye,0,0,0,27,0,0,0,03 March 15:00,0,0,40,0,Defender,0,0
0,-7,Meite,0,0,MCI(A) 0-4,West Brom,41633,Abdoulaye,0,0,0,33,0,0,0,11 April 19:45,0,0,40,0,Defender,0,0
0,-596,Al-Habsi,0,1,MUN(H) 1-0,Wigan,43533,Ali,0,90,18,33,0,1,0,11 April 19:45,0,0,45,6,Goalkeeper,0,0
0,0,Alcaraz,0,0,MUN(H) 1-0,Wigan,43633,Antolin,0,90,17,33,0,1,0,11 April 19:45,0,0,43,6,Defender,0,0
0,-84,Lopez,0,0,MUN(H) 1-0,Wigan,44233,Adrian,0,0,0,33,0,0,0,11 April 19:45,0,0,39,0,Defender,0,0
0,0,Hammil,0,0,ARS(H) 0-3,Wolves,46633,Adam,0,0,0,33,0,0,0,11 April 19:45,0,0,47,0,Midfielder,0,0
0,-1,Guedioura,0,0,ARS(H) 0-3,Wolves,46933,Adlene,0,0,0,33,0,0,0,11 April 19:45,0,0,49,0,Midfielder,0,0
0,-6,Keogh,0,0,ARS(H) 0-3,Wolves,47833,Andrew,0,0,0,33,0,0,0,11 April 19:45,0,0,44,0,Forward,0,0
0,20,Doni,2,0,BLA(A) 3-2,Liverpool,48433,Alexander,0,24,0,33,0,0,0,10 April 20:00,0,0,48,-3,Goalkeeper,1,0
0,-18,Aquilani,0,0,NEW(H) 3-1,Liverpool,50319,Alberto,0,0,0,19,0,0,0,30 Dec. 19:45,0,0,69,0,Midfielder,0,0
0,-7,Aquilani,0,0,QPR(A) 2-3,Liverpool,50329,Alberto,0,0,0,29,0,0,0,21 March 20:00,0,0,69,0,Midfielder,0,0
0,-3280,Chamberlain,0,0,EVE(A) 1-0,Arsenal,50929,Alex,0,0,0,29,0,0,0,21 March 20:00,0,0,60,0,Midfielder,0,0
0,-2,Henley,0,0,SUN(H) 2-0,Blackburn,51829,Adam,0,0,0,29,0,0,0,20 March 20:00,0,0,40,0,Defender,0,0
0,-3,Blakeman,0,0,BLA(A) 2-1,Bolton,53217,Adam,0,0,0,17,0,0,0,20 Dec. 20:00,0,0,45,0,Forward,0,0
0,-11,Townsend,0,0,MUN(H) 1-3,Tottenham,53727,Andros,0,0,0,27,0,0,0,04 March 16:10,0,0,50,0,Midfielder,0,0
0,-1,Townsend,0,0,NOR(H) 1-2,Tottenham,53733,Andros,0,0,0,33,0,0,0,09 April 15:00,0,0,50,0,Midfielder,0,0
0,-10,Crusat,0,0,LIV(H) 0-0,Wigan,55917,Albert,0,0,0,17,0,0,0,21 Dec. 20:00,0,0,48,0,Midfielder,0,0
0,-2,Razak,0,0,SUN(A) 0-1,Man City,57619,Abdul,0,0,0,19,0,0,0,01 Jan. 15:00,0,0,50,0,Midfielder,0,0
0,11,Razak,0,0,CHE(H) 2-1,Man City,57629,Abdul,0,0,0,29,0,0,0,21 March 19:45,0,0,50,0,Midfielder,0,0
0,2,Weimann,0,0,ARS(H) 1-2,Aston Villa,58817,Andreas,0,0,0,17,0,0,0,21 Dec. 19:45,0,0,50,0,Forward,0,0
0,5,Kacaniklic,0,0,SWA(H) 0-3,Fulham,59829,Alex,0,0,0,29,0,0,0,17 March 15:00,0,0,45,0,Midfielder,0,0
0,0,Linganzi,0,0,MUN(A) 3-2,Blackburn,61819,Amine,0,0,0,19,0,0,0,31 Dec. 12:45,0,0,45,0,Midfielder,0,0
0,-4,Linganzi,0,0,SUN(H) 2-0,Blackburn,61829,Amine,0,0,0,29,0,0,0,20 March 20:00,0,0,45,0,Midfielder,0,0
0,-26,Modeste,0,0,AVL(H) 1-1,Blackburn,63227,Anthony,0,0,0,27,0,0,0,03 March 15:00,0,0,50,0,Forward,0,0
0,-4,Modeste,0,0,LIV(H) 2-3,Blackburn,63233,Anthony,0,0,0,33,0,0,0,10 April 20:00,0,0,49,0,Forward,0,0
