yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,318,Ivanovic,0,0,MCI(A) 1-2,Chelsea,9529,Branislav,0,20,3,29,0,0,0,21 March 19:45,0,0,66,1,Defender,0,0
0,494,Hangeland,3,0,SWA(H) 0-3,Fulham,14229,Brede,0,90,7,29,0,0,0,17 March 15:00,0,0,60,1,Defender,0,0
0,-19514,Zamora,1,0,EVE(H) 1-1,QPR,15327,Bobby,0,90,31,27,3,0,0,03 March 15:00,0,0,68,9,Forward,0,1
0,0,Assou-Ekotto,3,0,MUN(A) 0-3,Tottenham,3882,Benoit,0,90,11,2,0,0,0,22 Aug. 20:00,0,0,50,1,Defender,0,0
0,-1,Myhill,0,0,CHE(H) 1-0,West Brom,40827,Boaz,0,0,0,27,0,0,0,03 March 15:00,0,0,45,0,Goalkeeper,0,0
0,0,Myhill,0,0,MCI(A) 0-4,West Brom,40833,Boaz,0,0,0,33,0,0,0,11 April 19:45,0,0,45,0,Goalkeeper,0,0
0,-26,Jones,1,0,WIG(A) 1-1,West Brom,41829,Billy,0,90,7,29,0,0,0,17 March 15:00,0,0,44,2,Defender,0,0
0,-79,Watson,0,0,MUN(H) 1-0,Wigan,44633,Ben,0,0,0,33,0,0,0,11 April 19:45,0,0,48,0,Midfielder,0,0
0,1702,Foster,1,2,EVE(H) 0-1,West Brom,49819,Ben,0,90,6,19,0,0,0,01 Jan. 12:30,0,0,48,2,Goalkeeper,0,0
0,452,Foster,1,7,WIG(A) 1-1,West Brom,49829,Ben,0,90,11,29,0,0,0,17 March 15:00,0,0,48,4,Goalkeeper,0,0
0,5,Ribeiro,0,0,SUN(H) 2-0,Blackburn,51629,Bruno,0,0,0,29,0,0,0,20 March 20:00,0,0,45,0,Defender,0,0
0,-12,Murphy,0,0,LIV(H) 3-2,QPR,52529,Brian,0,0,0,29,0,0,0,21 March 20:00,0,0,40,0,Goalkeeper,0,0
0,-323,Ruiz,1,0,SWA(H) 0-3,Fulham,56429,Bryan,0,53,9,29,0,0,0,17 March 15:00,0,0,60,1,Forward,0,0
0,4,Riise B,0,0,WOL(H) 5-0,Fulham,60627,Bjorn Helge,0,0,0,27,0,0,0,04 March 14:05,0,0,45,0,Midfielder,0,0
0,18,Marshall,0,0,TOT(A) 1-1,Stoke City,63729,Ben,0,0,0,29,0,0,0,21 March 19:45,0,0,45,0,Midfielder,0,0
0,-20,Amos,0,0,WOL(A) 5-0,Man Utd,63829,Ben,0,0,0,29,0,0,0,18 March 13:30,0,0,42,0,Goalkeeper,0,0
0,0,Sagna,0,0,SUN(H) 0-0,Arsenal,71,Bacary,0,0,0,1,0,0,0,18 Aug 15:00,0,0,55,0,Defender,0,0
0,-443,Sagna,0,0,STK(A) 0-0,Arsenal,72,Bacary,0,0,0,2,0,0,0,26 Aug 13:30,0,0,55,0,Defender,0,0
0,-404,Sagna,0,0,LIV(A) 2-0,Arsenal,73,Bacary,0,0,0,3,0,0,0,02 Sep 13:30,0,0,55,0,Defender,0,0
0,-301,Sagna,0,0,SOU(H) 6-1,Arsenal,74,Bacary,0,0,0,4,0,0,0,15 Sep 15:00,0,0,54,0,Defender,0,0
0,-167,Sagna,0,0,MCI(A) 1-1,Arsenal,75,Bacary,0,0,0,5,0,0,0,23 Sep 16:00,0,0,54,0,Defender,0,0
0,-100,Sagna,0,0,CHE(H) 1-2,Arsenal,76,Bacary,0,0,0,6,0,0,0,29 Sep 12:45,0,0,54,0,Defender,0,0
0,-70,Sagna,0,0,WHU(A) 3-1,Arsenal,77,Bacary,0,0,0,7,0,0,0,06 Oct 17:30,0,0,54,0,Defender,0,0
0,123,Sagna,0,0,NOR(A) 0-1,Arsenal,78,Bacary,0,0,0,8,0,0,0,20 Oct 17:30,0,0,54,0,Defender,0,0
0,321,Sagna,0,0,QPR(H) 1-0,Arsenal,79,Bacary,0,90,19,9,0,1,0,27 Oct 15:00,0,0,54,6,Defender,0,0
0,8293,Sagna,2,0,MUN(A) 1-2,Arsenal,710,Bacary,0,90,5,10,0,0,0,03 Nov 12:45,0,0,54,1,Defender,0,0
0,1959,Sagna,0,0,AVL(A) 0-0,Arsenal,713,Bacary,0,0,0,13,0,0,0,24 Nov 17:30,0,0,54,0,Defender,0,0
0,5614,Sagna,3,0,NEW(H) 7-3,Arsenal,720,Bacary,0,90,16,20,0,0,0,29 Dec 17:30,0,0,51,1,Defender,0,0
0,20990,Sagna,1,0,WHU(H) 5-1,Arsenal,723,Bacary,0,90,23,23,0,0,0,23 Jan 19:45,0,0,51,2,Defender,0,0
0,-2818,Sagna,0,0,SWA(A) 2-0,Arsenal,730,Bacary,0,0,0,30,0,0,0,16 Mar 15:00,0,0,47,0,Defender,0,0
0,54551,Sagna,0,0,EVE(H) 0-0,Arsenal,733,Bacary,0,90,14,33,1,1,0,16 Apr 19:45,0,0,47,7,Defender,0,0
0,0,Bannan,0,0,WHU(A) 0-1,Aston Villa,451,Barry,0,14,1,1,0,0,0,18 Aug 15:00,0,0,50,1,Midfielder,0,0
0,-1256,Bannan,3,0,EVE(H) 1-3,Aston Villa,452,Barry,0,69,9,2,0,0,0,25 Aug 15:00,0,0,50,2,Midfielder,0,0
0,-1282,Bannan,1,0,NEW(A) 1-1,Aston Villa,453,Barry,0,90,19,3,2,0,1,02 Sep 16:00,0,0,49,7,Midfielder,0,0
0,1106,Bannan,0,0,SWA(H) 2-0,Aston Villa,454,Barry,0,90,23,4,2,1,1,15 Sep 15:00,0,0,49,8,Midfielder,0,0
0,7344,Bannan,2,0,SOU(A) 1-4,Aston Villa,455,Barry,0,67,-1,5,0,0,0,22 Sep 15:00,0,0,49,2,Midfielder,0,0
0,5547,Bannan,0,0,WBA(H) 1-1,Aston Villa,456,Barry,0,20,2,6,0,0,0,30 Sep 16:00,0,0,49,1,Midfielder,0,0
0,-336,Bannan,0,0,TOT(A) 0-2,Aston Villa,457,Barry,0,18,1,7,0,0,0,07 Oct 15:00,0,0,49,1,Midfielder,0,0
0,-2019,Bannan,0,0,FUL(A) 0-1,Aston Villa,458,Barry,0,0,0,8,0,0,0,20 Oct 15:00,0,0,49,0,Midfielder,0,0
0,-1708,Bannan,0,0,NOR(H) 1-1,Aston Villa,459,Barry,0,0,0,9,0,0,0,27 Oct 12:45,0,0,49,0,Midfielder,0,0
0,-2205,Bannan,0,0,SUN(A) 1-0,Aston Villa,4510,Barry,0,90,18,10,0,1,0,03 Nov 15:00,0,0,49,3,Midfielder,0,0
1,-545,Bannan,3,0,WIG(H) 0-3,Aston Villa,4520,Barry,0,90,4,20,0,0,0,29 Dec 15:00,0,0,49,1,Midfielder,0,0
1,549,Bannan,2,0,QPR(H) 3-2,Aston Villa,4530,Barry,0,90,19,30,0,0,0,16 Mar 15:00,0,0,47,1,Midfielder,0,0
