yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-284,Lee,0,0,LIV(A) 1-3,Bolton,793,Chung-Yong,0,0,0,3,0,0,0,27 Aug. 17:30,0,0,60,0,Midfielder,0,0
0,-5,Lee,0,0,BLA(A) 2-1,Bolton,7917,Chung-Yong,0,0,0,17,0,0,0,20 Dec. 20:00,0,0,59,0,Midfielder,0,0
0,-1,Salcido,0,0,SWA(H) 0-3,Fulham,13829,Carlos,0,0,0,29,0,0,0,17 March 15:00,0,0,50,0,Defender,0,0
0,-100,Baird,0,0,SWA(H) 0-3,Fulham,14329,Chris,0,0,0,29,0,0,0,17 March 15:00,0,0,48,0,Defender,0,0
0,24627,Dempsey,0,0,WOL(H) 5-0,Fulham,15127,Clint,0,90,46,27,2,1,0,04 March 14:05,0,0,92,15,Midfielder,0,2
0,-8,Poulsen,0,0,ARS(H) 1-2,Liverpool,17027,Christian,0,0,0,27,0,0,0,03 March 12:45,0,0,45,0,Midfielder,0,0
0,-25274,Adam,0,0,QPR(A) 2-3,Liverpool,17729,Charlie,0,45,4,29,0,0,0,21 March 20:00,0,0,86,1,Midfielder,0,0
0,412,Tevez,0,0,CHE(H) 2-1,Man City,20129,Carlos,0,25,16,29,0,0,1,21 March 19:45,0,0,117,4,Forward,0,0
0,-1640,Smalling,0,0,WOL(A) 5-0,Man Utd,20829,Chris,0,17,4,29,0,0,0,18 March 13:30,0,0,53,1,Defender,0,0
0,-75,Gordon,0,0,QPR(A) 3-2,Sunderland,33417,Craig,0,0,0,17,0,0,0,21 Dec. 20:00,0,0,44,0,Goalkeeper,0,0
0,-63,Gardner,0,0,QPR(A) 3-2,Sunderland,35117,Craig,0,16,7,17,0,0,0,21 Dec. 20:00,0,0,56,1,Midfielder,0,0
0,-17,Lynch,0,0,QPR(A) 3-2,Sunderland,35317,Craig,0,0,0,17,0,0,0,21 Dec. 20:00,0,0,44,0,Forward,0,0
0,-5,Kirkland,0,0,MUN(H) 1-0,Wigan,43433,Chris,0,0,0,33,0,0,0,11 April 19:45,0,0,43,0,Goalkeeper,0,0
0,-401,N'Zogbia,0,0,STO(H) 1-1,Aston Villa,44733,Charles,0,17,2,33,0,0,0,09 April 17:30,0,0,66,1,Midfielder,0,0
0,1,Sammon,0,0,MUN(H) 1-0,Wigan,45333,Conor,0,14,2,33,0,0,0,11 April 19:45,0,0,47,1,Forward,0,0
0,-38,Berra,2,0,ARS(H) 0-3,Wolves,46333,Christophe,0,81,1,33,0,0,0,11 April 19:45,0,0,43,1,Defender,0,0
0,-16359,Eagles,0,0,WOL(H) 1-1,Bolton,49019,Chris,0,0,0,19,0,0,0,31 Dec. 15:00,0,0,55,0,Midfielder,0,0
0,-9,Somogyi,0,0,NOR(A) 1-1,Fulham,49419,Csaba,0,0,0,19,0,0,0,31 Dec. 15:00,0,0,44,0,Goalkeeper,0,0
0,1,Somogyi,0,0,SWA(H) 0-3,Fulham,49429,Csaba,0,0,0,29,0,0,0,17 March 15:00,0,0,43,0,Goalkeeper,0,0
0,-29,Dawson,1,0,EVE(H) 0-1,West Brom,49919,Craig,0,90,6,19,0,0,0,01 Jan. 12:30,0,0,43,2,Defender,0,0
0,2,Dawson,0,0,WIG(A) 1-1,West Brom,49929,Craig,0,0,0,29,0,0,0,17 March 15:00,0,0,43,0,Defender,0,0
0,-3,Jenkinson,0,0,EVE(A) 1-0,Arsenal,52329,Carl,0,0,0,29,0,0,0,21 March 20:00,0,0,54,0,Defender,0,0
0,-1,Pantilimon,0,0,SUN(A) 0-1,Man City,53119,Costel,0,0,0,19,0,0,0,01 Jan. 15:00,0,0,50,0,Goalkeeper,0,0
0,4,Pantilimon,0,0,CHE(H) 2-1,Man City,53129,Costel,0,0,0,29,0,0,0,21 March 19:45,0,0,50,0,Goalkeeper,0,0
0,-424,Santos,0,0,QPR(H) 1-0,Arsenal,56119,Clarindo,0,0,0,19,0,0,0,31 Dec. 15:00,0,0,59,0,Defender,0,0
0,38,Santos,0,0,EVE(A) 1-0,Arsenal,56129,Clarindo,0,0,0,29,0,0,0,21 March 20:00,0,0,58,0,Defender,0,0
0,4,Sa,0,0,WOL(H) 5-0,Fulham,56527,Carlos,0,0,0,27,0,0,0,04 March 14:05,0,0,50,0,Forward,0,0
0,-1,Park,0,0,AVL(A) 2-1,Arsenal,57417,Chu-Young,0,0,0,17,0,0,0,21 Dec. 19:45,0,0,64,0,Forward,0,0
0,-2,Park,0,0,EVE(A) 1-0,Arsenal,57429,Chu-Young,0,0,0,29,0,0,0,21 March 20:00,0,0,63,0,Forward,0,0
0,1,McAleny,0,0,SUN(H) 4-0,Everton,59933,Conor,0,0,0,33,0,0,0,09 April 15:00,0,0,45,0,Forward,0,0
1,8,McManaman,0,0,WBA(H) 1-1,Wigan,62729,Callum,0,11,-4,29,0,0,0,17 March 15:00,0,0,45,0,Forward,0,0
0,0,Jenkinson,0,0,SUN(H) 0-0,Arsenal,91,Carl,0,90,12,1,2,1,0,18 Aug 15:00,0,0,45,8,Defender,0,0
0,54712,Jenkinson,0,0,STK(A) 0-0,Arsenal,92,Carl,0,90,13,2,2,1,0,26 Aug 13:30,0,0,45,8,Defender,0,0
0,103226,Jenkinson,0,0,LIV(A) 2-0,Arsenal,93,Carl,0,90,21,3,0,1,0,02 Sep 13:30,0,0,46,6,Defender,0,0
0,151139,Jenkinson,1,0,SOU(H) 6-1,Arsenal,94,Carl,0,90,17,4,0,0,0,15 Sep 15:00,0,0,49,2,Defender,0,0
0,21717,Jenkinson,1,0,MCI(A) 1-1,Arsenal,95,Carl,0,90,9,5,0,0,0,23 Sep 16:00,0,0,49,2,Defender,0,0
0,26847,Jenkinson,2,0,CHE(H) 1-2,Arsenal,96,Carl,0,90,2,6,0,0,0,29 Sep 12:45,0,0,50,1,Defender,0,0
0,36643,Jenkinson,1,0,WHU(A) 3-1,Arsenal,97,Carl,0,90,15,7,0,0,0,06 Oct 17:30,0,0,50,2,Defender,0,0
0,43887,Jenkinson,1,0,NOR(A) 0-1,Arsenal,98,Carl,0,90,6,8,0,0,0,20 Oct 17:30,0,0,51,2,Defender,0,0
0,15854,Jenkinson,0,0,QPR(H) 1-0,Arsenal,99,Carl,0,0,0,9,0,0,0,27 Oct 15:00,0,0,52,0,Defender,0,0
0,-83378,Jenkinson,0,0,MUN(A) 1-2,Arsenal,910,Carl,0,0,0,10,0,0,0,03 Nov 12:45,0,0,51,0,Defender,0,0
0,-11066,Jenkinson,0,0,NEW(H) 7-3,Arsenal,920,Carl,0,0,0,20,0,0,0,29 Dec 17:30,0,0,43,0,Defender,0,0
0,4598,Jenkinson,0,0,SWA(A) 2-0,Arsenal,930,Carl,0,90,28,30,2,1,0,16 Mar 15:00,0,0,40,8,Defender,0,0
0,0,Santos,0,0,SUN(H) 0-0,Arsenal,121,Clarindo,0,0,0,1,0,0,0,18 Aug 15:00,0,0,55,0,Defender,0,0
0,-3230,Santos,0,0,STK(A) 0-0,Arsenal,122,Clarindo,0,0,0,2,0,0,0,26 Aug 13:30,0,0,54,0,Defender,0,0
0,-3053,Santos,0,0,LIV(A) 2-0,Arsenal,123,Clarindo,0,9,2,3,0,0,0,02 Sep 13:30,0,0,53,1,Defender,0,0
0,-1589,Santos,0,0,SOU(H) 6-1,Arsenal,124,Clarindo,0,0,0,4,0,0,0,15 Sep 15:00,0,0,52,0,Defender,0,0
0,-942,Santos,0,0,MCI(A) 1-1,Arsenal,125,Clarindo,0,0,0,5,0,0,0,23 Sep 16:00,0,0,51,0,Defender,0,0
0,-667,Santos,0,0,CHE(H) 1-2,Arsenal,126,Clarindo,0,0,0,6,0,0,0,29 Sep 12:45,0,0,51,0,Defender,0,0
0,-489,Santos,0,0,WHU(A) 3-1,Arsenal,127,Clarindo,0,35,5,7,0,0,0,06 Oct 17:30,0,0,50,1,Defender,0,0
0,413,Santos,1,0,NOR(A) 0-1,Arsenal,128,Clarindo,0,90,8,8,0,0,0,20 Oct 17:30,0,0,50,2,Defender,0,0
0,300,Santos,0,0,QPR(H) 1-0,Arsenal,129,Clarindo,0,90,22,9,2,1,0,27 Oct 15:00,0,0,50,8,Defender,0,0
0,310,Santos,2,0,MUN(A) 1-2,Arsenal,1210,Clarindo,0,90,2,10,0,0,0,03 Nov 12:45,0,0,50,1,Defender,0,0
0,-85,Santos,0,0,NEW(H) 7-3,Arsenal,1220,Clarindo,0,0,0,20,0,0,0,29 Dec 17:30,0,0,49,0,Defender,0,0
0,-37,Santos,0,0,SWA(A) 2-0,Arsenal,1230,Clarindo,0,0,0,30,0,0,0,16 Mar 15:00,0,0,49,0,Defender,0,0
0,0,Vela,0,0,SUN(H) 0-0,Arsenal,281,Carlos Alberto,0,0,0,1,0,0,0,18 Aug 15:00,0,0,55,0,Forward,0,0
