yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-355,Dunn,0,0,EVE(H) 0-1,Blackburn,643,David,0,33,2,3,0,0,0,27 Aug. 15:00,0,0,65,1,Midfielder,0,0
1,8,Dunn,2,0,BOL(H) 1-2,Blackburn,6417,David,0,90,-2,17,0,0,0,20 Dec. 20:00,0,0,62,1,Midfielder,0,0
0,6,Dunn,0,0,SUN(H) 2-0,Blackburn,6429,David,0,0,0,29,0,0,0,20 March 20:00,0,0,62,0,Midfielder,0,0
1,399,Hoilett,1,0,EVE(H) 0-1,Blackburn,653,David,0,90,-4,3,0,0,0,27 Aug. 15:00,0,1,60,-1,Forward,0,0
0,-1804,Hoilett,2,0,BOL(H) 1-2,Blackburn,6517,David,0,90,-1,17,0,0,1,20 Dec. 20:00,0,0,56,5,Forward,0,0
0,8273,Hoilett,0,0,SUN(H) 2-0,Blackburn,6529,David,0,90,22,29,1,1,0,20 March 20:00,0,0,55,7,Forward,0,1
0,-147,Wheater,0,0,BLA(A) 2-1,Bolton,7217,David,0,0,0,17,0,0,0,20 Dec. 20:00,0,0,44,0,Defender,0,0
0,-276,Pratley,0,0,LIV(A) 1-3,Bolton,853,Darren,0,20,1,3,0,0,0,27 Aug. 17:30,0,0,55,1,Midfielder,0,0
0,-1,Pratley,0,0,BLA(A) 2-1,Bolton,8517,Darren,0,10,-3,17,0,0,0,20 Dec. 20:00,0,0,52,1,Midfielder,0,0
0,-3304,Luiz,2,0,MCI(A) 1-2,Chelsea,9229,David,0,90,3,29,0,0,0,21 March 19:45,0,0,63,1,Defender,0,0
0,3071,Drogba,2,0,MCI(A) 1-2,Chelsea,11029,Didier,0,18,3,29,0,0,0,21 March 19:45,0,0,101,1,Forward,0,0
0,-24337,Sturridge,0,0,MCI(A) 1-2,Chelsea,11229,Daniel,0,0,0,29,0,0,0,21 March 19:45,0,0,68,0,Forward,0,0
0,-22,Bilyaletdinov,0,0,ARS(H) 0-1,Everton,12629,Diniyar,0,0,0,29,0,0,0,21 March 20:00,0,0,58,0,Midfielder,0,0
0,-94,Stockdale,0,0,SWA(H) 0-3,Fulham,13529,David,0,0,0,29,0,0,0,17 March 15:00,0,0,41,0,Goalkeeper,0,0
0,4403,Murphy,0,0,WOL(H) 5-0,Fulham,14827,Danny,0,68,20,27,0,1,1,04 March 14:05,0,0,61,6,Midfielder,0,0
0,-39,Duff,0,0,WOL(H) 5-0,Fulham,14927,Damien,0,79,11,27,0,1,1,04 March 14:05,0,0,61,6,Midfielder,0,0
0,2,Etuhu,0,0,WOL(H) 5-0,Fulham,15027,Dickson,0,0,0,27,0,0,0,04 March 14:05,0,0,46,0,Midfielder,0,0
0,-12,Wilson,0,0,ARS(H) 1-2,Liverpool,15827,Danny,0,0,0,27,0,0,0,03 March 12:45,0,0,43,0,Defender,0,0
0,-4828,Agger,0,0,ARS(H) 1-2,Liverpool,16627,Daniel,0,0,0,27,0,0,0,03 March 12:45,0,0,59,0,Defender,0,0
0,-4525,Kuyt,3,0,QPR(A) 2-3,Liverpool,17629,Dirk,0,90,16,29,0,0,0,21 March 20:00,0,0,94,7,Midfielder,0,1
0,-43959,Silva,0,0,WBA(H) 4-0,Man City,19433,David,0,80,34,33,2,1,0,11 April 19:45,0,0,95,10,Midfielder,0,1
0,1475,de Gea,0,3,WOL(A) 5-0,Man Utd,20629,David,0,90,18,29,0,1,0,18 March 13:30,0,0,62,7,Goalkeeper,0,0
0,-1192,Gibson,0,0,ARS(H) 0-1,Everton,21629,Darron,0,0,0,29,0,0,0,21 March 20:00,0,0,53,0,Midfielder,0,0
0,-13,Fletcher,0,0,WOL(A) 5-0,Man Utd,22429,Darren,0,0,0,29,0,0,0,18 March 13:30,0,0,74,0,Midfielder,0,0
0,0,Whitehead,1,0,NOR(A) 1-1,Stoke City,3182,Dean,0,90,7,2,0,0,0,21 Aug. 13:30,0,0,50,2,Midfielder,0,0
0,-2118,Whitehead,0,0,WBA(A) 1-0,Stoke City,3183,Dean,0,90,14,3,0,1,0,28 Aug. 15:00,0,0,50,3,Midfielder,0,0
0,0,Pugh,1,0,NOR(A) 1-1,Stoke City,3262,Danny,0,60,-8,2,0,0,0,21 Aug. 13:30,0,0,50,2,Midfielder,0,0
0,-26,Pugh,0,0,WBA(A) 1-0,Stoke City,3263,Danny,0,24,4,3,0,0,0,28 Aug. 15:00,0,0,50,1,Midfielder,0,0
0,3,Meyler,0,0,QPR(A) 3-2,Sunderland,34517,David,0,0,0,17,0,0,0,21 Dec. 20:00,0,0,44,0,Midfielder,0,0
