yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-14649,Dzeko,0,0,CHE(H) 2-1,Man City,20329,Edin,0,15,-5,29,0,0,0,21 March 19:45,0,0,79,1,Forward,0,0
0,-19,Boyce,0,0,MUN(H) 1-0,Wigan,43933,Emmerson,0,90,16,33,0,1,0,11 April 19:45,0,0,43,6,Defender,0,0
0,-34,Bennett,0,0,FUL(H) 1-1,Norwich,49719,Elliott,0,11,12,19,0,0,1,31 Dec. 15:00,0,0,48,4,Midfielder,0,0
1,-12,Bennett,1,0,NEW(A) 0-1,Norwich,49729,Elliott,0,90,13,29,0,0,0,18 March 16:00,0,0,48,1,Midfielder,0,0
0,-46,Frimpong,0,0,MUN(H) 0-5,Wolves,52429,Emmanuel,0,0,0,29,0,0,0,18 March 13:30,0,0,51,0,Midfielder,0,0
0,-4,Putnins,0,0,LIV(H) 3-2,QPR,60229,Elvijs,0,0,0,29,0,0,0,21 March 20:00,0,0,40,0,Goalkeeper,0,0
0,-3,Fryers,0,0,TOT(A) 3-1,Man Utd,60527,Ezekiel,0,0,0,27,0,0,0,04 March 16:10,0,0,45,0,Defender,0,0
0,-1,Fryers,0,0,WIG(A) 0-1,Man Utd,60533,Ezekiel,0,0,0,33,0,0,0,11 April 19:45,0,0,45,0,Defender,0,0
0,-9,Jonsson,4,0,MUN(H) 0-5,Wolves,64129,Eggert,0,48,4,29,0,0,0,18 March 13:30,0,0,45,1,Midfielder,0,0
0,0,Lichaj,0,0,WHU(A) 0-1,Aston Villa,421,Eric,0,0,0,1,0,0,0,18 Aug 15:00,0,0,45,0,Defender,0,0
0,-391,Lichaj,0,0,EVE(H) 1-3,Aston Villa,422,Eric,0,32,3,2,0,0,1,25 Aug 15:00,0,0,45,4,Defender,0,0
1,-76,Lichaj,1,0,NEW(A) 1-1,Aston Villa,423,Eric,0,90,6,3,0,0,0,02 Sep 16:00,0,0,45,1,Defender,0,0
1,-84,Lichaj,0,0,SWA(H) 2-0,Aston Villa,424,Eric,0,90,22,4,0,1,0,15 Sep 15:00,0,0,45,5,Defender,0,0
1,167,Lichaj,2,0,SOU(A) 1-4,Aston Villa,425,Eric,0,67,2,5,0,0,0,22 Sep 15:00,0,0,45,0,Defender,0,0
0,-70,Lichaj,0,0,WBA(H) 1-1,Aston Villa,426,Eric,0,0,0,6,0,0,0,30 Sep 16:00,0,0,45,0,Defender,0,0
0,-150,Lichaj,0,0,TOT(A) 0-2,Aston Villa,427,Eric,0,0,0,7,0,0,0,07 Oct 15:00,0,0,45,0,Defender,0,0
1,-161,Lichaj,1,0,FUL(A) 0-1,Aston Villa,428,Eric,0,29,9,8,0,0,0,20 Oct 15:00,0,0,44,0,Defender,0,0
0,-56,Lichaj,1,0,NOR(H) 1-1,Aston Villa,429,Eric,0,37,2,9,0,0,0,27 Oct 12:45,0,0,44,1,Defender,0,0
1,-104,Lichaj,0,0,SUN(A) 1-0,Aston Villa,4210,Eric,0,60,13,10,0,1,0,03 Nov 15:00,0,0,44,5,Defender,0,0
0,-28,Lichaj,3,0,WIG(H) 0-3,Aston Villa,4220,Eric,0,63,5,20,0,0,0,29 Dec 15:00,0,0,44,1,Defender,0,0
0,-12,Lichaj,0,0,QPR(H) 3-2,Aston Villa,4230,Eric,0,0,0,30,0,0,0,16 Mar 15:00,0,0,43,0,Defender,0,0
0,0,Stevens,0,0,WHU(A) 0-1,Aston Villa,431,Enda,0,0,0,1,0,0,0,18 Aug 15:00,0,0,40,0,Defender,0,0
0,-505,Stevens,0,0,EVE(H) 1-3,Aston Villa,432,Enda,0,0,0,2,0,0,0,25 Aug 15:00,0,0,40,0,Defender,0,0
0,-921,Stevens,0,0,NEW(A) 1-1,Aston Villa,433,Enda,0,0,0,3,0,0,0,02 Sep 16:00,0,0,40,0,Defender,0,0
0,726,Stevens,0,0,SWA(H) 2-0,Aston Villa,434,Enda,0,0,0,4,0,0,0,15 Sep 15:00,0,0,39,0,Defender,0,0
0,-16,Stevens,0,0,SOU(A) 1-4,Aston Villa,435,Enda,0,0,0,5,0,0,0,22 Sep 15:00,0,0,39,0,Defender,0,0
0,-95,Stevens,0,0,WBA(H) 1-1,Aston Villa,436,Enda,0,0,0,6,0,0,0,30 Sep 16:00,0,0,39,0,Defender,0,0
0,-380,Stevens,0,0,TOT(A) 0-2,Aston Villa,437,Enda,0,0,0,7,0,0,0,07 Oct 15:00,0,0,39,0,Defender,0,0
0,-273,Stevens,0,0,FUL(A) 0-1,Aston Villa,438,Enda,0,0,0,8,0,0,0,20 Oct 15:00,0,0,39,0,Defender,0,0
