yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-1114,Muamba,1,0,BLA(A) 2-1,Bolton,8217,Fabrice,0,90,13,17,0,0,0,20 Dec. 20:00,0,0,44,2,Midfielder,0,0
1,199,Lampard,2,0,MCI(A) 1-2,Chelsea,10229,Frank,0,90,10,29,0,0,0,21 March 19:45,0,0,110,1,Midfielder,0,0
0,-71,Malouda,0,0,MCI(A) 1-2,Chelsea,10629,Florent,0,0,0,29,0,0,0,21 March 19:45,0,0,96,0,Midfielder,0,0
0,-950,Torres,0,0,MCI(A) 1-2,Chelsea,10929,Fernando,0,72,3,29,0,1,0,21 March 19:45,0,0,99,2,Forward,0,0
0,-15,Aurelio,0,0,ARS(H) 1-2,Liverpool,15927,Fabio,0,0,0,27,0,0,0,03 March 12:45,0,0,52,0,Defender,0,0
0,-59,Fabio,0,0,WOL(A) 5-0,Man Utd,21529,Fabio,0,28,2,29,0,0,0,18 March 13:30,0,0,42,1,Defender,0,0
1,-124,Di Santo,0,0,MUN(H) 1-0,Wigan,45233,Franco,0,69,4,33,0,1,0,11 April 19:45,0,0,48,1,Forward,0,0
0,-7,Forster,0,0,NOR(H) 1-0,Newcastle,52229,Fraser,0,0,0,29,0,0,0,18 March 16:00,0,0,42,0,Goalkeeper,0,0
0,-28,Coquelin,0,0,EVE(A) 1-0,Arsenal,54529,Francis,0,0,0,29,0,0,0,21 March 20:00,0,0,55,0,Midfielder,0,0
0,-3,Bessone,0,0,TOT(H) 1-1,Swansea,55019,Federico,0,0,0,19,0,0,0,31 Dec. 15:00,0,0,40,0,Defender,0,0
0,7,Bessone,0,0,FUL(A) 3-0,Swansea,55029,Federico,0,0,0,29,0,0,0,17 March 15:00,0,0,40,0,Defender,0,0
0,0,Coquelin,0,0,SUN(H) 0-0,Arsenal,231,Francis,0,0,0,1,0,0,0,18 Aug 15:00,0,0,50,0,Midfielder,0,0
0,-183,Coquelin,0,0,STK(A) 0-0,Arsenal,232,Francis,0,0,0,2,0,0,0,26 Aug 13:30,0,0,50,0,Midfielder,0,0
0,-180,Coquelin,0,0,LIV(A) 2-0,Arsenal,233,Francis,0,0,0,3,0,0,0,02 Sep 13:30,0,0,49,0,Midfielder,0,0
0,-100,Coquelin,1,0,SOU(H) 6-1,Arsenal,234,Francis,0,66,14,4,0,0,1,15 Sep 15:00,0,0,48,5,Midfielder,0,0
0,33,Coquelin,0,0,MCI(A) 1-1,Arsenal,235,Francis,0,1,0,5,0,0,0,23 Sep 16:00,0,0,48,1,Midfielder,0,0
0,-25,Coquelin,0,0,CHE(H) 1-2,Arsenal,236,Francis,0,0,0,6,0,0,0,29 Sep 12:45,0,0,48,0,Midfielder,0,0
0,-30,Coquelin,0,0,WHU(A) 3-1,Arsenal,237,Francis,0,0,0,7,0,0,0,06 Oct 17:30,0,0,48,0,Midfielder,0,0
0,-52,Coquelin,0,0,NOR(A) 0-1,Arsenal,238,Francis,0,0,0,8,0,0,0,20 Oct 17:30,0,0,48,0,Midfielder,0,0
0,-22,Coquelin,0,0,QPR(H) 1-0,Arsenal,239,Francis,0,0,0,9,0,0,0,27 Oct 15:00,0,0,48,0,Midfielder,0,0
0,-34,Coquelin,0,0,MUN(A) 1-2,Arsenal,2310,Francis,0,0,0,10,0,0,0,03 Nov 12:45,0,0,48,0,Midfielder,0,0
0,-11,Coquelin,0,0,NEW(H) 7-3,Arsenal,2320,Francis,0,5,1,20,0,0,0,29 Dec 17:30,0,0,47,1,Midfielder,0,0
0,5,Coquelin,0,0,SWA(A) 2-0,Arsenal,2330,Francis,0,0,0,30,0,0,0,16 Mar 15:00,0,0,47,0,Midfielder,0,0
0,0,Delph,1,0,WHU(A) 0-1,Aston Villa,481,Fabian,0,76,0,1,0,0,0,18 Aug 15:00,0,0,50,2,Midfielder,0,0
0,-39,Delph,0,0,EVE(H) 1-3,Aston Villa,482,Fabian,0,0,0,2,0,0,0,25 Aug 15:00,0,0,50,0,Midfielder,0,0
0,-247,Delph,0,0,NEW(A) 1-1,Aston Villa,483,Fabian,0,0,0,3,0,0,0,02 Sep 16:00,0,0,50,0,Midfielder,0,0
0,-159,Delph,0,0,SWA(H) 2-0,Aston Villa,484,Fabian,0,0,0,4,0,0,0,15 Sep 15:00,0,0,49,0,Midfielder,0,0
0,-84,Delph,0,0,SOU(A) 1-4,Aston Villa,485,Fabian,0,0,0,5,0,0,0,22 Sep 15:00,0,0,49,0,Midfielder,0,0
1,-60,Delph,1,0,WBA(H) 1-1,Aston Villa,486,Fabian,0,70,5,6,0,0,0,30 Sep 16:00,0,0,48,1,Midfielder,0,0
1,-34,Delph,1,0,TOT(A) 0-2,Aston Villa,487,Fabian,0,65,2,7,0,0,0,07 Oct 15:00,0,0,48,1,Midfielder,0,0
0,-59,Delph,1,0,FUL(A) 0-1,Aston Villa,488,Fabian,0,90,0,8,0,0,0,20 Oct 15:00,0,0,48,2,Midfielder,0,0
0,-20,Delph,1,0,NOR(H) 1-1,Aston Villa,489,Fabian,0,90,7,9,0,0,0,27 Oct 12:45,0,0,47,2,Midfielder,0,0
0,23,Delph,0,0,SUN(A) 1-0,Aston Villa,4810,Fabian,0,0,0,10,0,0,0,03 Nov 15:00,0,0,47,0,Midfielder,0,0
0,-6,Delph,0,0,WIG(H) 0-3,Aston Villa,4820,Fabian,0,0,0,20,0,0,0,29 Dec 15:00,0,0,46,0,Midfielder,0,0
0,-12,Delph,0,0,QPR(H) 3-2,Aston Villa,4830,Fabian,0,0,0,30,0,0,0,16 Mar 15:00,0,0,46,0,Midfielder,0,0
0,0,Lampard,2,0,RDG(H) 4-2,Chelsea,771,Frank,0,90,22,1,0,0,0,22 Aug 19:45,0,0,90,7,Midfielder,0,1
0,17484,Lampard,0,0,NEW(H) 2-0,Chelsea,772,Frank,0,4,1,2,0,0,0,25 Aug 17:30,0,0,90,1,Midfielder,0,0
0,-1303,Lampard,0,0,QPR(A) 0-0,Chelsea,774,Frank,0,90,9,4,0,1,0,15 Sep 15:00,0,0,89,3,Midfielder,0,0
0,5543,Lampard,0,0,STK(H) 1-0,Chelsea,775,Frank,0,10,2,5,0,0,0,22 Sep 15:00,0,0,89,1,Midfielder,0,0
0,-15238,Lampard,0,0,ARS(A) 2-1,Chelsea,776,Frank,0,0,0,6,0,0,0,29 Sep 12:45,0,0,89,0,Midfielder,0,0
0,-20174,Lampard,1,0,NOR(H) 4-1,Chelsea,777,Frank,0,66,26,7,0,0,0,06 Oct 15:00,0,0,87,7,Midfielder,0,1
0,-5343,Lampard,0,0,TOT(A) 4-2,Chelsea,778,Frank,0,1,0,8,0,0,0,20 Oct 12:45,0,0,87,1,Midfielder,0,0
0,-16113,Lampard,0,0,MUN(H) 2-3,Chelsea,779,Frank,0,0,0,9,0,0,0,28 Oct 16:00,0,0,86,0,Midfielder,0,0
0,-9906,Lampard,0,0,SWA(A) 1-1,Chelsea,7710,Frank,0,0,0,10,0,0,0,03 Nov 15:00,0,0,85,0,Midfielder,0,0
0,-4120,Lampard,0,0,LIV(H) 1-1,Chelsea,7711,Frank,0,0,0,11,0,0,0,11 Nov 16:00,0,0,85,0,Midfielder,0,0
0,-3131,Lampard,0,0,WBA(A) 1-2,Chelsea,7712,Frank,0,0,0,12,0,0,0,17 Nov 15:00,0,0,85,0,Midfielder,0,0
