yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
1,-1613,Steinsson,3,0,LIV(A) 1-3,Bolton,753,Gretar Rafn,0,90,14,3,0,0,0,27 Aug. 17:30,0,0,45,0,Defender,0,0
0,-159,Steinsson,1,0,BLA(A) 2-1,Bolton,7517,Gretar Rafn,0,90,15,17,0,0,0,20 Dec. 20:00,0,0,42,2,Defender,0,0
0,6482,Cahill,3,0,LIV(A) 1-3,Chelsea,763,Gary,0,90,4,3,0,0,0,27 Aug. 17:30,0,0,55,1,Defender,0,0
0,-9490,Cahill,1,0,BLA(A) 2-1,Chelsea,7617,Gary,0,90,22,17,0,0,0,20 Dec. 20:00,0,0,52,2,Defender,0,0
0,667,Cahill,2,0,MCI(A) 1-2,Chelsea,7629,Gary,0,90,20,29,0,0,0,21 March 19:45,0,0,53,7,Defender,0,1
0,345,Clichy,1,0,CHE(H) 2-1,Man City,19229,Gael,0,90,20,29,0,0,0,21 March 19:45,0,0,56,2,Defender,0,0
0,341,Yaya Toure,1,0,CHE(H) 2-1,Man City,19529,Gnegneri,0,90,16,29,0,0,0,21 March 19:45,0,0,77,2,Midfielder,0,0
0,-756,Barry,1,0,CHE(H) 2-1,Man City,19829,Gareth,0,45,8,29,0,0,0,21 March 19:45,0,0,66,1,Midfielder,0,0
0,759,Obertan,0,0,NOR(H) 1-0,Newcastle,21829,Gabriel,0,0,0,29,0,0,0,18 March 16:00,0,0,47,0,Midfielder,0,0
0,0,Whelan,1,0,NOR(A) 1-1,Stoke City,3252,Glenn,0,90,11,2,0,0,1,21 Aug. 13:30,0,0,50,5,Midfielder,0,0
0,4471,Whelan,0,0,WBA(A) 1-0,Stoke City,3253,Glenn,0,90,14,3,0,1,0,28 Aug. 15:00,0,0,50,3,Midfielder,0,0
0,0,Bale,3,0,MUN(A) 0-3,Tottenham,3982,Gareth,0,90,5,2,0,0,0,22 Aug. 20:00,0,0,80,2,Midfielder,0,0
0,-1,Tamas,0,0,CHE(H) 1-0,West Brom,40927,Gabriel,0,34,6,27,0,0,0,03 March 15:00,0,0,44,1,Defender,0,0
0,-3,Tamas,0,0,MCI(A) 0-4,West Brom,40933,Gabriel,0,0,0,33,0,0,0,11 April 19:45,0,0,44,0,Defender,0,0
0,-8,Jara,0,0,CHE(H) 1-0,West Brom,41227,Gonzalo,0,0,0,27,0,0,0,03 March 15:00,0,0,43,0,Defender,0,0
0,-4,Jara,0,0,MCI(A) 0-4,West Brom,41233,Gonzalo,0,0,0,33,0,0,0,11 April 19:45,0,0,43,0,Defender,0,0
0,0,Zuiverloon,0,0,CHE(H) 1-0,West Brom,41527,Gianni,0,0,0,27,0,0,0,03 March 15:00,0,0,40,0,Defender,0,0
0,0,Zuiverloon,0,0,MCI(A) 0-4,West Brom,41533,Gianni,0,0,0,33,0,0,0,11 April 19:45,0,0,40,0,Defender,0,0
0,3206,McAuley,0,0,CHE(H) 1-0,West Brom,41927,Gareth,0,90,40,27,3,1,0,03 March 15:00,0,0,41,15,Defender,0,1
0,4,Thorne,0,0,CHE(H) 1-0,West Brom,42227,George,0,0,0,27,0,0,0,03 March 15:00,0,0,45,0,Midfielder,0,0
0,0,Thorne,0,0,MCI(A) 0-4,West Brom,42233,George,0,0,0,33,0,0,0,11 April 19:45,0,0,45,0,Midfielder,0,0
0,0,Barnes,0,0,CHE(H) 1-0,West Brom,42327,Giles,0,0,0,27,0,0,0,03 March 15:00,0,0,50,0,Midfielder,0,0
0,0,Barnes,0,0,MCI(A) 0-4,West Brom,42333,Giles,0,0,0,33,0,0,0,11 April 19:45,0,0,50,0,Midfielder,0,0
0,-2,Dorrans,0,0,CHE(H) 1-0,West Brom,42427,Graham,0,0,0,27,0,0,0,03 March 15:00,0,0,54,0,Midfielder,0,0
0,26,Dorrans,4,0,MCI(A) 0-4,West Brom,42433,Graham,0,77,4,33,0,0,0,11 April 19:45,0,0,54,2,Midfielder,0,0
0,111,Caldwell,0,0,MUN(H) 1-0,Wigan,44133,Gary,0,90,24,33,2,1,0,11 April 19:45,0,0,45,8,Defender,0,0
0,-13,Elokobi,0,0,ARS(H) 0-3,Wolves,46033,George,0,0,0,33,0,0,0,11 April 19:45,0,0,42,0,Defender,0,0
0,-1,Mujangi Bia,0,0,ARS(H) 0-3,Wolves,46533,Geoffrey,0,0,0,33,0,0,0,11 April 19:45,0,0,45,0,Midfielder,0,0
0,0,Sunu,0,0,WOL(A) 3-0,Arsenal,54733,Gilles,0,0,0,33,0,0,0,11 April 19:45,0,0,55,0,Forward,0,0
0,-5,Kakuta,0,0,MCI(A) 0-2,Bolton,55727,Gael,0,0,0,27,0,0,0,03 March 15:00,0,0,51,0,Midfielder,0,0
0,-2,Kakuta,0,0,NEW(A) 0-2,Bolton,55733,Gael,0,0,0,33,0,0,0,09 April 15:00,0,0,50,0,Midfielder,0,0
0,371,Tremmel,0,0,WIG(A) 2-0,Swansea,57527,Gerhard,0,0,0,27,0,0,0,03 March 15:00,0,0,40,0,Goalkeeper,0,0
0,-6,Tremmel,0,0,QPR(A) 0-3,Swansea,57533,Gerhard,0,0,0,33,0,0,0,11 April 20:00,0,0,40,0,Goalkeeper,0,0
0,1,Burke,0,0,BLA(A) 1-1,Aston Villa,61027,Graham,0,0,0,27,0,0,0,03 March 15:00,0,0,50,0,Forward,0,0
0,0,Gardner,0,0,WHU(A) 0-1,Aston Villa,521,Gary,0,17,1,1,0,0,0,18 Aug 15:00,0,0,45,1,Midfielder,0,0
0,-687,Gardner,0,0,EVE(H) 1-3,Aston Villa,522,Gary,0,0,0,2,0,0,0,25 Aug 15:00,0,0,45,0,Midfielder,0,0
0,-1946,Gardner,0,0,NEW(A) 1-1,Aston Villa,523,Gary,0,0,0,3,0,0,0,02 Sep 16:00,0,0,44,0,Midfielder,0,0
0,-808,Gardner,0,0,SWA(H) 2-0,Aston Villa,524,Gary,0,0,0,4,0,0,0,15 Sep 15:00,0,0,44,0,Midfielder,0,0
0,-359,Gardner,0,0,SOU(A) 1-4,Aston Villa,525,Gary,0,0,0,5,0,0,0,22 Sep 15:00,0,0,44,0,Midfielder,0,0
0,-243,Gardner,0,0,WBA(H) 1-1,Aston Villa,526,Gary,0,0,0,6,0,0,0,30 Sep 16:00,0,0,43,0,Midfielder,0,0
0,-145,Gardner,0,0,TOT(A) 0-2,Aston Villa,527,Gary,0,0,0,7,0,0,0,07 Oct 15:00,0,0,43,0,Midfielder,0,0
0,-158,Gardner,0,0,FUL(A) 0-1,Aston Villa,528,Gary,0,0,0,8,0,0,0,20 Oct 15:00,0,0,43,0,Midfielder,0,0
0,-98,Gardner,0,0,NOR(H) 1-1,Aston Villa,529,Gary,0,0,0,9,0,0,0,27 Oct 12:45,0,0,43,0,Midfielder,0,0
0,-77,Gardner,0,0,SUN(A) 1-0,Aston Villa,5210,Gary,0,0,0,10,0,0,0,03 Nov 15:00,0,0,43,0,Midfielder,0,0
0,-56,Gardner,0,0,ARS(H) 0-0,Aston Villa,5213,Gary,0,0,0,13,0,0,0,24 Nov 17:30,0,0,43,0,Midfielder,0,0
0,-23,Gardner,0,0,WIG(H) 0-3,Aston Villa,5220,Gary,0,0,0,20,0,0,0,29 Dec 15:00,0,0,42,0,Midfielder,0,0
0,0,Gardner,0,0,QPR(H) 3-2,Aston Villa,5230,Gary,0,0,0,30,0,0,0,16 Mar 15:00,0,0,42,0,Midfielder,0,0
0,0,Agbonlahor,0,0,WHU(A) 0-1,Aston Villa,601,Gabriel,0,0,0,1,0,0,0,18 Aug 15:00,0,0,70,0,Forward,0,0
0,-1128,Agbonlahor,0,0,EVE(H) 1-3,Aston Villa,602,Gabriel,0,0,0,2,0,0,0,25 Aug 15:00,0,0,70,0,Forward,0,0
0,-754,Agbonlahor,0,0,NEW(A) 1-1,Aston Villa,603,Gabriel,0,27,2,3,0,0,0,02 Sep 16:00,0,0,69,1,Forward,0,0
0,-108,Agbonlahor,0,0,SWA(H) 2-0,Aston Villa,604,Gabriel,0,0,0,4,0,0,0,15 Sep 15:00,0,0,69,0,Forward,0,0
0,-180,Agbonlahor,2,0,SOU(A) 1-4,Aston Villa,605,Gabriel,0,23,1,5,0,0,0,22 Sep 15:00,0,0,69,1,Forward,0,0
0,1019,Agbonlahor,1,0,WBA(H) 1-1,Aston Villa,606,Gabriel,0,90,11,6,0,0,0,30 Sep 16:00,0,0,69,2,Forward,0,0
0,-454,Agbonlahor,2,0,TOT(A) 0-2,Aston Villa,607,Gabriel,0,90,-5,7,0,0,0,07 Oct 15:00,0,0,69,2,Forward,0,0
0,-275,Agbonlahor,1,0,FUL(A) 0-1,Aston Villa,608,Gabriel,0,90,0,8,0,0,0,20 Oct 15:00,0,0,69,2,Forward,0,0
0,44,Agbonlahor,0,0,NOR(H) 1-1,Aston Villa,609,Gabriel,0,53,4,9,0,0,0,27 Oct 12:45,0,0,69,1,Forward,0,0
0,-302,Agbonlahor,0,0,SUN(A) 1-0,Aston Villa,6010,Gabriel,0,90,30,10,3,1,0,03 Nov 15:00,0,0,69,9,Forward,0,1
0,267,Agbonlahor,3,0,MUN(H) 2-3,Aston Villa,6011,Gabriel,0,90,11,11,0,0,1,10 Nov 17:30,0,0,69,5,Forward,0,0
0,-10,Agbonlahor,5,0,MCI(A) 0-5,Aston Villa,6012,Gabriel,0,90,-6,12,0,0,0,17 Nov 15:00,0,0,69,2,Forward,0,0
0,-166,Agbonlahor,0,0,ARS(H) 0-0,Aston Villa,6013,Gabriel,0,90,3,13,0,1,0,24 Nov 17:30,0,0,69,2,Forward,0,0
0,-87,Agbonlahor,0,0,WIG(H) 0-3,Aston Villa,6020,Gabriel,0,0,0,20,0,0,0,29 Dec 15:00,0,0,68,0,Forward,0,0
0,-75,Agbonlahor,0,0,SWA(A) 2-2,Aston Villa,6021,Gabriel,0,0,0,21,0,0,0,01 Jan 15:00,0,0,68,0,Forward,0,0
0,-108,Agbonlahor,0,0,SOU(H) 0-1,Aston Villa,6022,Gabriel,0,29,1,22,0,0,0,12 Jan 15:00,0,0,68,1,Forward,0,0
1,-26,Agbonlahor,2,0,WBA(A) 2-2,Aston Villa,6023,Gabriel,0,90,26,23,2,0,0,19 Jan 17:30,0,0,68,7,Forward,0,1
0,345,Agbonlahor,2,0,QPR(H) 3-2,Aston Villa,6030,Gabriel,0,90,32,30,2,0,0,16 Mar 15:00,0,0,68,8,Forward,0,1
0,462,Agbonlahor,2,0,LIV(H) 1-2,Aston Villa,6031,Gabriel,0,90,6,31,0,0,1,31 Mar 13:30,0,0,68,5,Forward,0,0
1,249,Agbonlahor,0,0,STK(A) 3-1,Aston Villa,6032,Gabriel,0,73,21,32,1,1,0,06 Apr 15:00,0,0,68,6,Forward,0,1
0,-191,Agbonlahor,0,0,FUL(H) 1-1,Aston Villa,6033,Gabriel,0,0,0,33,0,0,0,13 Apr 15:00,0,0,68,0,Forward,0,0
0,0,Burke,0,0,WHU(A) 0-1,Aston Villa,621,Graham,0,0,0,1,0,0,0,18 Aug 15:00,0,0,45,0,Forward,0,0
0,150,Burke,0,0,EVE(H) 1-3,Aston Villa,622,Graham,0,0,0,2,0,0,0,25 Aug 15:00,0,0,45,0,Forward,0,0
0,-55,Burke,0,0,NEW(A) 1-1,Aston Villa,623,Graham,0,0,0,3,0,0,0,02 Sep 16:00,0,0,45,0,Forward,0,0
