yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,9916,Hilario,1,5,NOR(H) 3-1,Chelsea,903,Henrique,0,90,17,3,0,0,0,27 Aug. 15:00,0,0,45,3,Goalkeeper,0,0
0,1344,Hilario,0,0,TOT(A) 1-1,Chelsea,9017,Henrique,0,0,0,17,0,0,0,22 Dec. 20:00,0,0,39,0,Goalkeeper,0,0
0,410,Hilario,0,0,WBA(A) 0-1,Chelsea,9027,Henrique,0,0,0,27,0,0,0,03 March 15:00,0,0,39,0,Goalkeeper,0,0
0,0,Gomes,0,0,MUN(A) 0-3,Tottenham,3802,Heurelho,0,0,0,2,0,0,0,22 Aug. 20:00,0,0,55,0,Goalkeeper,0,0
0,32,Thomas,0,0,MUN(H) 1-0,Wigan,44833,Hendry,0,0,0,33,0,0,0,11 April 19:45,0,0,43,0,Midfielder,0,0
0,-101,Rodallega,0,0,MUN(H) 1-0,Wigan,45133,Hugo,0,0,0,33,0,0,0,11 April 19:45,0,0,59,0,Forward,0,0
0,52,Vuckic,1,0,LIV(A) 1-3,Newcastle,49619,Haris,0,64,-2,19,0,0,0,30 Dec. 19:45,0,0,44,2,Midfielder,0,0
0,-9,Vuckic,0,0,NOR(H) 1-0,Newcastle,49629,Haris,0,0,0,29,0,0,0,18 March 16:00,0,0,44,0,Midfielder,0,0
0,0,Lansbury,0,0,EVE(A) 1-0,Arsenal,52829,Henri,0,0,0,29,0,0,0,21 March 20:00,0,0,55,0,Midfielder,0,0
0,-4,Kane,0,0,STO(H) 1-1,Tottenham,60329,Harry,0,0,0,29,0,0,0,21 March 19:45,0,0,50,0,Forward,0,0
0,0,Lansbury,0,0,SUN(H) 0-0,Arsenal,221,Henri,0,0,0,1,0,0,0,18 Aug 15:00,0,0,50,0,Midfielder,0,0
0,-134,Lansbury,0,0,STK(A) 0-0,Arsenal,222,Henri,0,0,0,2,0,0,0,26 Aug 13:30,0,0,50,0,Midfielder,0,0
0,-247,Lansbury,0,0,LIV(A) 2-0,Arsenal,223,Henri,0,0,0,3,0,0,0,02 Sep 13:30,0,0,49,0,Midfielder,0,0
0,-206,Lansbury,0,0,SOU(H) 6-1,Arsenal,224,Henri,0,0,0,4,0,0,0,15 Sep 15:00,0,0,49,0,Midfielder,0,0
0,-57,Lansbury,0,0,MCI(A) 1-1,Arsenal,225,Henri,0,0,0,5,0,0,0,23 Sep 16:00,0,0,49,0,Midfielder,0,0
0,-30,Lansbury,0,0,CHE(H) 1-2,Arsenal,226,Henri,0,0,0,6,0,0,0,29 Sep 12:45,0,0,49,0,Midfielder,0,0
0,-20,Lansbury,0,0,WHU(A) 3-1,Arsenal,227,Henri,0,0,0,7,0,0,0,06 Oct 17:30,0,0,49,0,Midfielder,0,0
0,-22,Lansbury,0,0,NOR(A) 0-1,Arsenal,228,Henri,0,0,0,8,0,0,0,20 Oct 17:30,0,0,49,0,Midfielder,0,0
0,-16,Lansbury,0,0,QPR(H) 1-0,Arsenal,229,Henri,0,0,0,9,0,0,0,27 Oct 15:00,0,0,49,0,Midfielder,0,0
0,-9,Lansbury,0,0,MUN(A) 1-2,Arsenal,2210,Henri,0,0,0,10,0,0,0,03 Nov 12:45,0,0,49,0,Midfielder,0,0
0,-10,Lansbury,0,0,NEW(H) 7-3,Arsenal,2220,Henri,0,0,0,20,0,0,0,29 Dec 17:30,0,0,49,0,Midfielder,0,0
0,-1,Lansbury,0,0,SWA(A) 2-0,Arsenal,2230,Henri,0,0,0,30,0,0,0,16 Mar 15:00,0,0,49,0,Midfielder,0,0
0,0,Hilario,0,0,RDG(H) 4-2,Chelsea,641,Henrique,0,0,0,1,0,0,0,22 Aug 19:45,0,0,45,0,Goalkeeper,0,0
0,-187,Hilario,0,0,NEW(H) 2-0,Chelsea,642,Henrique,0,0,0,2,0,0,0,25 Aug 17:30,0,0,45,0,Goalkeeper,0,0
0,-80,Hilario,0,0,QPR(A) 0-0,Chelsea,644,Henrique,0,0,0,4,0,0,0,15 Sep 15:00,0,0,44,0,Goalkeeper,0,0
