yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-4,Miller,0,0,MCI(A) 0-4,West Brom,43133,Ishmael,0,0,0,33,0,0,0,11 April 19:45,0,0,45,0,Forward,0,0
1,42628,Klasnic,3,0,LIV(A) 1-3,Bolton,883,Ivan,0,90,14,3,0,0,0,27 Aug. 17:30,0,0,60,5,Forward,0,1
0,-1346,Klasnic,1,0,BLA(A) 2-1,Bolton,8817,Ivan,0,80,13,17,0,0,0,20 Dec. 20:00,0,0,59,2,Forward,0,0
0,-14,Pablo,0,0,CHE(H) 1-0,West Brom,41127,Ibanez,0,0,0,27,0,0,0,03 March 15:00,0,0,40,0,Defender,0,0
0,-2,Pablo,0,0,MCI(A) 0-4,West Brom,41133,Ibanez,0,0,0,33,0,0,0,11 April 19:45,0,0,40,0,Defender,0,0
0,-2,Miquel,0,0,LIV(A) 2-1,Arsenal,52927,Ignasi,0,0,0,27,0,0,0,03 March 12:45,0,0,54,0,Defender,0,0
0,0,Miquel,0,0,SUN(H) 0-0,Arsenal,101,Ignasi,0,0,0,1,0,0,0,18 Aug 15:00,0,0,45,0,Defender,0,0
0,-159,Miquel,0,0,STK(A) 0-0,Arsenal,102,Ignasi,0,0,0,2,0,0,0,26 Aug 13:30,0,0,45,0,Defender,0,0
0,-190,Miquel,0,0,LIV(A) 2-0,Arsenal,103,Ignasi,0,0,0,3,0,0,0,02 Sep 13:30,0,0,45,0,Defender,0,0
0,-155,Miquel,0,0,SOU(H) 6-1,Arsenal,104,Ignasi,0,0,0,4,0,0,0,15 Sep 15:00,0,0,44,0,Defender,0,0
0,-86,Miquel,0,0,MCI(A) 1-1,Arsenal,105,Ignasi,0,0,0,5,0,0,0,23 Sep 16:00,0,0,44,0,Defender,0,0
0,-51,Miquel,0,0,CHE(H) 1-2,Arsenal,106,Ignasi,0,0,0,6,0,0,0,29 Sep 12:45,0,0,44,0,Defender,0,0
0,-41,Miquel,0,0,WHU(A) 3-1,Arsenal,107,Ignasi,0,0,0,7,0,0,0,06 Oct 17:30,0,0,44,0,Defender,0,0
0,-40,Miquel,0,0,NOR(A) 0-1,Arsenal,108,Ignasi,0,0,0,8,0,0,0,20 Oct 17:30,0,0,43,0,Defender,0,0
0,-33,Miquel,0,0,QPR(H) 1-0,Arsenal,109,Ignasi,0,0,0,9,0,0,0,27 Oct 15:00,0,0,43,0,Defender,0,0
0,-25,Miquel,0,0,MUN(A) 1-2,Arsenal,1010,Ignasi,0,0,0,10,0,0,0,03 Nov 12:45,0,0,43,0,Defender,0,0
0,-27,Miquel,0,0,NEW(H) 7-3,Arsenal,1020,Ignasi,0,0,0,20,0,0,0,29 Dec 17:30,0,0,42,0,Defender,0,0
0,-7,Miquel,0,0,SWA(A) 2-0,Arsenal,1030,Ignasi,0,0,0,30,0,0,0,16 Mar 15:00,0,0,42,0,Defender,0,0
0,0,Harte,4,0,CHE(A) 2-4,Reading,3131,Ian,0,90,-2,1,0,0,0,22 Aug 19:45,0,0,45,0,Defender,0,0
0,-4404,Harte,3,0,TOT(H) 1-3,Reading,3134,Ian,0,90,4,4,0,0,0,16 Sep 16:00,0,0,44,1,Defender,0,0
0,-3034,Harte,0,0,WBA(A) 0-1,Reading,3135,Ian,0,0,0,5,0,0,0,22 Sep 15:00,0,0,44,0,Defender,0,0
0,-4989,Harte,0,0,NEW(H) 2-2,Reading,3136,Ian,0,0,0,6,0,0,0,29 Sep 15:00,0,0,43,0,Defender,0,0
0,-4329,Harte,0,0,SWA(A) 2-2,Reading,3137,Ian,0,0,0,7,0,0,0,06 Oct 15:00,0,0,43,0,Defender,0,0
0,-4088,Harte,0,0,LIV(A) 0-1,Reading,3138,Ian,0,0,0,8,0,0,0,20 Oct 15:00,0,0,42,0,Defender,0,0
0,-2990,Harte,0,0,FUL(H) 3-3,Reading,3139,Ian,0,0,0,9,0,0,0,27 Oct 15:00,0,0,41,0,Defender,0,0
0,-2658,Harte,0,0,QPR(A) 1-1,Reading,31310,Ian,0,0,0,10,0,0,0,04 Nov 13:30,0,0,40,0,Defender,0,0
0,-1821,Harte,0,0,NOR(H) 0-0,Reading,31311,Ian,0,0,0,11,0,0,0,10 Nov 15:00,0,0,40,0,Defender,0,0
0,-1603,Harte,0,0,EVE(H) 2-1,Reading,31312,Ian,0,0,0,12,0,0,0,17 Nov 15:00,0,0,40,0,Defender,0,0
0,-1203,Harte,0,0,WIG(A) 2-3,Reading,31313,Ian,0,0,0,13,0,0,0,24 Nov 15:00,0,0,39,0,Defender,0,0
0,-759,Harte,0,0,AVL(A) 0-1,Reading,31314,Ian,0,0,0,14,0,0,0,27 Nov 20:00,0,0,39,0,Defender,0,0
0,-966,Harte,0,0,MUN(H) 3-4,Reading,31315,Ian,0,0,0,15,0,0,0,01 Dec 17:30,0,0,39,0,Defender,0,0
0,-693,Harte,0,0,SUN(A) 0-3,Reading,31316,Ian,0,0,0,16,0,0,0,11 Dec 19:45,0,0,38,0,Defender,0,0
0,-255,Harte,0,0,ARS(H) 2-5,Reading,31317,Ian,0,0,0,17,0,0,0,17 Dec 20:00,0,0,38,0,Defender,0,0
0,94,Harte,0,0,MCI(A) 0-1,Reading,31318,Ian,0,85,5,18,0,1,0,22 Dec 15:00,0,0,38,6,Defender,0,0
0,1219,Harte,0,0,SWA(H) 0-0,Reading,31319,Ian,0,90,8,19,0,1,0,26 Dec 15:00,0,0,38,6,Defender,0,0
1,6357,Harte,0,0,WHU(H) 1-0,Reading,31320,Ian,0,90,17,20,0,1,0,29 Dec 15:00,0,0,38,5,Defender,0,0
0,4046,Harte,3,0,TOT(A) 1-3,Reading,31321,Ian,0,90,5,21,0,0,1,01 Jan 15:00,0,0,38,4,Defender,0,0
0,59316,Harte,2,0,WBA(H) 3-2,Reading,31322,Ian,0,90,17,22,0,0,0,12 Jan 15:00,0,0,38,1,Defender,0,0
0,12784,Harte,1,0,NEW(A) 2-1,Reading,31323,Ian,0,90,19,23,0,0,0,19 Jan 15:00,0,0,38,2,Defender,0,0
0,12037,Harte,2,0,CHE(H) 2-2,Reading,31324,Ian,0,90,13,24,0,0,0,30 Jan 20:00,0,0,38,1,Defender,0,0
0,8622,Harte,1,0,SUN(H) 2-1,Reading,31325,Ian,0,90,23,25,2,0,1,02 Feb 15:00,0,0,38,7,Defender,0,0
0,8824,Harte,2,0,STK(A) 1-2,Reading,31326,Ian,0,90,4,26,0,0,1,09 Feb 15:00,0,0,39,4,Defender,0,0
0,24242,Harte,3,0,WIG(H) 0-3,Reading,31327,Ian,0,90,6,27,0,0,0,23 Feb 15:00,0,0,39,1,Defender,0,0
0,1988,Harte,3,0,EVE(A) 1-3,Reading,31328,Ian,0,90,17,28,0,0,1,02 Mar 15:00,0,0,40,4,Defender,0,0
0,10631,Harte,2,0,AVL(H) 1-2,Reading,31329,Ian,0,90,9,29,0,0,0,09 Mar 15:00,0,0,40,1,Defender,0,0
0,-2766,Harte,0,0,MUN(A) 0-1,Reading,31330,Ian,0,0,0,30,0,0,0,16 Mar 17:30,0,0,40,0,Defender,0,0
0,-6016,Harte,0,0,ARS(A) 1-4,Reading,31331,Ian,0,0,0,31,0,0,0,30 Mar 15:00,0,0,40,0,Defender,0,0
0,-8122,Harte,0,0,SOU(H) 0-2,Reading,31332,Ian,0,0,0,32,0,0,0,06 Apr 12:45,0,0,40,0,Defender,0,0
0,-14676,Harte,0,0,LIV(H) 0-0,Reading,31333,Ian,0,0,0,33,0,0,0,13 Apr 15:00,0,0,39,0,Defender,0,0
0,-3737,Harte,0,0,NOR(A) 1-2,Reading,31334,Ian,0,0,0,34,0,0,0,20 Apr 15:00,0,0,38,0,Defender,0,0
0,-3178,Harte,0,0,QPR(H) 0-0,Reading,31335,Ian,0,15,1,35,0,0,0,28 Apr 13:30,0,0,38,1,Defender,0,0
0,-3809,Harte,0,0,FUL(A) 4-2,Reading,31336,Ian,0,0,0,36,0,0,0,04 May 15:00,0,0,38,0,Defender,0,0
0,1037,Harte,0,0,MCI(H) 0-2,Reading,31337,Ian,0,0,0,37,0,0,0,14 May 20:00,0,0,37,0,Defender,0,0
0,2840,Harte,0,0,WHU(A) 2-4,Reading,31338,Ian,0,0,0,38,0,0,0,19 May 16:00,0,0,37,0,Defender,0,0
0,0,Ramis,2,0,CHE(H) 0-2,Wigan,5451,Ivan,0,90,5,1,0,0,0,19 Aug 13:30,0,0,45,1,Defender,0,0
0,-178,Ramis,0,0,SOU(A) 2-0,Wigan,5452,Ivan,0,90,19,2,0,1,0,25 Aug 15:00,0,0,45,6,Defender,0,0
0,590,Ramis,2,0,STK(H) 2-2,Wigan,5453,Ivan,0,90,9,3,0,0,0,01 Sep 15:00,0,0,45,1,Defender,0,0
0,-155,Ramis,4,0,MUN(A) 0-4,Wigan,5454,Ivan,0,90,2,4,0,0,0,15 Sep 15:00,0,0,45,0,Defender,0,0
0,-192,Ramis,2,0,FUL(H) 1-2,Wigan,5455,Ivan,0,90,10,5,0,0,0,22 Sep 15:00,0,0,45,1,Defender,0,0
0,-229,Ramis,1,0,SUN(A) 0-1,Wigan,5456,Ivan,0,90,4,6,0,0,0,29 Sep 15:00,0,0,45,2,Defender,0,0
0,-90,Ramis,2,0,EVE(H) 2-2,Wigan,5457,Ivan,0,90,11,7,0,0,0,06 Oct 15:00,0,0,45,1,Defender,0,0
0,-122,Ramis,2,0,SWA(A) 1-2,Wigan,5458,Ivan,0,90,4,8,0,0,0,20 Oct 15:00,0,0,45,1,Defender,0,0
1,-117,Ramis,1,0,WHU(H) 2-1,Wigan,5459,Ivan,0,90,26,9,1,0,0,27 Oct 15:00,0,0,45,8,Defender,0,1
0,586,Ramis,0,0,TOT(A) 1-0,Wigan,54510,Ivan,0,90,15,10,0,1,0,03 Nov 15:00,0,0,45,6,Defender,0,0
0,3331,Ramis,2,0,WBA(H) 1-2,Wigan,54511,Ivan,0,90,5,11,0,0,0,10 Nov 15:00,0,0,45,1,Defender,0,0
0,166,Ramis,3,0,LIV(A) 0-3,Wigan,54512,Ivan,0,90,-1,12,0,0,0,17 Nov 15:00,0,0,45,1,Defender,0,0
0,1118,Ramis,1,0,RDG(H) 3-2,Wigan,54513,Ivan,0,48,12,13,0,0,0,24 Nov 15:00,0,0,45,1,Defender,0,0
0,-1520,Ramis,0,0,MCI(H) 0-2,Wigan,54514,Ivan,0,0,0,14,0,0,0,28 Nov 20:00,0,0,45,0,Defender,0,0
0,-1405,Ramis,0,0,NEW(A) 0-3,Wigan,54515,Ivan,0,0,0,15,0,0,0,03 Dec 20:00,0,0,45,0,Defender,0,0
0,-1177,Ramis,0,0,QPR(H) 2-2,Wigan,54516,Ivan,0,0,0,16,0,0,0,08 Dec 15:00,0,0,45,0,Defender,0,0
0,-776,Ramis,0,0,NOR(A) 1-2,Wigan,54517,Ivan,0,0,0,17,0,0,0,15 Dec 15:00,0,0,45,0,Defender,0,0
0,-427,Ramis,0,0,ARS(H) 0-1,Wigan,54518,Ivan,0,0,0,18,0,0,0,22 Dec 12:45,0,0,44,0,Defender,0,0
0,-281,Ramis,0,0,EVE(A) 1-2,Wigan,54519,Ivan,0,0,0,19,0,0,0,26 Dec 15:00,0,0,44,0,Defender,0,0
0,-103,Ramis,0,0,AVL(A) 3-0,Wigan,54520,Ivan,0,90,40,20,3,1,0,29 Dec 15:00,0,0,44,15,Defender,0,1
0,1262,Ramis,4,0,MUN(H) 0-4,Wigan,54521,Ivan,0,90,11,21,0,0,0,01 Jan 15:00,0,0,44,0,Defender,0,0
0,2005,Ramis,1,0,FUL(A) 1-1,Wigan,54522,Ivan,0,90,15,22,0,0,0,12 Jan 15:00,0,0,44,2,Defender,0,0
0,-1884,Ramis,0,0,SUN(H) 2-3,Wigan,54523,Ivan,0,0,0,23,0,0,0,19 Jan 15:00,0,0,44,0,Defender,0,0
0,-1177,Ramis,0,0,STK(A) 2-2,Wigan,54524,Ivan,0,0,0,24,0,0,0,29 Jan 19:45,0,0,44,0,Defender,0,0
0,-529,Ramis,0,0,SOU(H) 2-2,Wigan,54525,Ivan,0,0,0,25,0,0,0,02 Feb 15:00,0,0,44,0,Defender,0,0
0,-339,Ramis,0,0,CHE(A) 1-4,Wigan,54526,Ivan,0,0,0,26,0,0,0,09 Feb 15:00,0,0,43,0,Defender,0,0
0,-323,Ramis,0,0,RDG(A) 3-0,Wigan,54527,Ivan,0,0,0,27,0,0,0,23 Feb 15:00,0,0,43,0,Defender,0,0
0,-146,Ramis,0,0,LIV(H) 0-4,Wigan,54528,Ivan,0,0,0,28,0,0,0,02 Mar 17:30,0,0,43,0,Defender,0,0
0,-62,Ramis,0,0,NEW(H) 2-1,Wigan,54530,Ivan,0,0,0,30,0,0,0,17 Mar 16:00,0,0,43,0,Defender,0,0
0,-84,Ramis,0,0,NOR(H) 1-0,Wigan,54531,Ivan,0,0,0,31,0,0,0,30 Mar 15:00,0,0,42,0,Defender,0,0
0,-51,Ramis,0,0,QPR(A) 1-1,Wigan,54532,Ivan,0,0,0,32,0,0,0,07 Apr 16:10,0,0,42,0,Defender,0,0
0,-45,Ramis,0,0,MCI(A) 0-1,Wigan,54533,Ivan,0,0,0,33,0,0,0,17 Apr 19:45,0,0,42,0,Defender,0,0
0,-37,Ramis,0,0,WHU(A) 0-2,Wigan,54534,Ivan,0,0,0,34,0,0,0,20 Apr 15:00,0,0,42,0,Defender,0,0
0,-23,Ramis,0,0,TOT(H) 2-2,Wigan,54535,Ivan,0,0,0,35,0,0,0,27 Apr 15:00,0,0,42,0,Defender,0,0
0,-24,Ramis,0,0,SWA(H) 2-3,Wigan,54536,Ivan,0,0,0,36,0,0,0,07 May 19:45,0,0,42,0,Defender,0,0
0,-13,Ramis,0,0,ARS(A) 1-4,Wigan,54537,Ivan,0,0,0,37,0,0,0,14 May 19:45,0,0,42,0,Defender,0,0
0,-2,Ramis,0,0,AVL(H) 2-2,Wigan,54538,Ivan,0,0,0,38,0,0,0,19 May 16:00,0,0,42,0,Defender,0,0
