yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-54,Moreira,0,0,QPR(A) 0-3,Swansea,48833,Jose,0,0,0,33,0,0,0,11 April 20:00,0,0,39,0,Goalkeeper,0,0
0,-960,Roberts,0,0,EVE(H) 0-1,Blackburn,673,Jason,0,71,7,3,0,1,0,27 Aug. 15:00,0,0,60,2,Forward,0,0
0,-29,Roberts,0,0,BOL(H) 1-2,Blackburn,6717,Jason,0,0,0,17,0,0,0,20 Dec. 20:00,0,0,54,0,Forward,0,0
0,-6,Roberts,0,0,SUN(H) 2-0,Blackburn,6729,Jason,0,0,0,29,0,0,0,20 March 20:00,0,0,53,0,Forward,0,0
0,-2704,Jaaskelainen,3,3,LIV(A) 1-3,Bolton,693,Jussi,0,90,7,3,0,0,0,27 Aug. 17:30,0,0,50,2,Goalkeeper,0,0
0,-660,Jaaskelainen,1,1,BLA(A) 2-1,Bolton,6917,Jussi,0,90,16,17,0,0,0,20 Dec. 20:00,0,0,48,2,Goalkeeper,0,0
0,2017,Terry,0,0,MCI(A) 1-2,Chelsea,9429,John,0,0,0,29,0,0,0,21 March 19:45,0,0,74,0,Defender,0,0
0,-4233,Bosingwa,2,0,MCI(A) 1-2,Chelsea,9929,Jose,0,70,2,29,0,0,0,21 March 19:45,0,0,55,1,Defender,0,0
0,-158,McEachran,0,0,FUL(A) 3-0,Swansea,10129,Josh,0,0,0,29,0,0,0,17 March 15:00,0,0,45,0,Midfielder,0,0
0,252,Mucha,0,0,ARS(H) 0-1,Everton,11329,Jan,0,0,0,29,0,0,0,21 March 20:00,0,0,39,0,Goalkeeper,0,0
0,-253,Heitinga,1,0,ARS(H) 0-1,Everton,11529,Johnny,0,90,16,29,0,0,0,21 March 20:00,0,0,52,2,Defender,0,0
0,75,Rodwell,0,0,ARS(H) 0-1,Everton,12129,Jack,0,0,0,29,0,0,0,21 March 20:00,0,0,51,0,Midfielder,0,0
0,-10,Beckford,0,0,ARS(H) 0-1,Everton,13129,Jermaine,0,0,0,29,0,0,0,21 March 20:00,0,0,64,0,Forward,0,0
0,-20,Baxter,0,0,SUN(H) 4-0,Everton,13233,Jose,0,0,0,33,0,0,0,09 April 15:00,0,0,42,0,Forward,0,0
0,4078,Riise,0,0,WOL(H) 5-0,Fulham,14527,John Arne,0,90,18,27,0,1,0,04 March 14:05,0,0,57,6,Defender,0,0
0,0,Greening,0,0,WOL(H) 5-0,Fulham,14627,Jonathan,0,0,0,27,0,0,0,04 March 14:05,0,0,50,0,Midfielder,0,0
0,233,Reina,2,5,ARS(H) 1-2,Liverpool,15727,Jose,0,90,6,27,0,0,0,03 March 12:45,0,0,64,2,Goalkeeper,0,0
0,294,Robinson,0,0,QPR(A) 2-3,Liverpool,16029,Jack,0,0,0,29,0,0,0,21 March 20:00,0,0,38,0,Defender,0,0
0,-22,Flanagan,0,0,ARS(H) 1-2,Liverpool,16127,Jon,0,0,0,27,0,0,0,03 March 12:45,0,0,44,0,Defender,0,0
0,56,Carragher,2,0,ARS(H) 1-2,Liverpool,16427,Jamie,0,90,3,27,0,0,0,03 March 12:45,0,0,57,1,Defender,0,0
0,-849,Shelvey,0,0,NEW(H) 3-1,Liverpool,16819,Jonjo,0,0,0,19,0,0,0,30 Dec. 19:45,0,0,48,0,Midfielder,0,0
0,-22,Shelvey,0,0,QPR(A) 2-3,Liverpool,16829,Jonjo,0,0,0,29,0,0,0,21 March 20:00,0,0,48,0,Midfielder,0,0
0,64,Spearing,2,0,ARS(H) 1-2,Liverpool,16927,Jay,0,90,8,27,0,0,0,03 March 12:45,0,0,52,2,Midfielder,0,0
0,-2,Cole,0,0,QPR(A) 2-3,Liverpool,17229,Joe,0,0,0,29,0,0,0,21 March 20:00,0,0,59,0,Midfielder,0,0
0,-7448,Henderson,3,0,QPR(A) 2-3,Liverpool,17829,Jordan,0,45,2,29,0,0,0,21 March 20:00,0,0,61,1,Midfielder,0,0
0,537,Hart,1,1,CHE(H) 2-1,Man City,18429,Joe,0,90,13,29,0,0,0,21 March 19:45,0,0,68,2,Goalkeeper,0,0
