yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-989,Baines,1,0,ARS(H) 0-1,Everton,11829,Leighton,0,90,4,29,0,0,0,21 March 20:00,0,0,78,2,Defender,0,0
0,1917,Saha,0,0,STO(H) 1-1,Tottenham,13329,Louis,0,72,6,29,0,1,0,21 March 19:45,0,0,69,2,Forward,0,0
0,-183,Lucas,0,0,QPR(A) 2-3,Liverpool,17529,Leiva,0,0,0,29,0,0,0,21 March 20:00,0,0,47,0,Midfielder,0,0
0,-13621,Suarez,1,0,QPR(A) 2-3,Liverpool,17929,Luis,0,81,2,29,0,0,0,21 March 20:00,0,0,95,2,Forward,0,0
0,-23854,Nani,0,0,WOL(A) 5-0,Man Utd,22029,Luis,0,0,0,29,0,0,0,18 March 13:30,0,0,100,0,Midfielder,0,0
1,-54,Cattermole,2,0,QPR(A) 3-2,Sunderland,34217,Lee,0,90,17,17,0,0,0,21 Dec. 20:00,0,0,47,1,Midfielder,0,0
0,0,King,0,0,MUN(A) 0-3,Tottenham,3862,Ledley,0,0,0,2,0,0,0,22 Aug. 20:00,0,0,50,0,Defender,0,0
0,0,Modric,0,0,MUN(A) 0-3,Tottenham,3962,Luka,0,0,0,2,0,0,0,22 Aug. 20:00,0,0,80,0,Midfielder,0,0
0,-811,Lita,0,0,TOT(H) 1-1,Swansea,50519,Leroy,0,0,0,19,0,0,0,31 Dec. 15:00,0,0,43,0,Forward,0,0
0,-49,Lita,0,0,FUL(A) 3-0,Swansea,50529,Leroy,0,0,0,29,0,0,0,17 March 15:00,0,0,42,0,Forward,0,0
0,-4,Laing,0,0,QPR(A) 3-2,Sunderland,52117,Louis,0,0,0,17,0,0,0,21 Dec. 20:00,0,0,40,0,Defender,0,0
0,7,Laing,0,0,BLA(A) 0-2,Sunderland,52129,Louis,0,0,0,29,0,0,0,20 March 20:00,0,0,40,0,Defender,0,0
0,-3286,Donovan,0,0,QPR(A) 1-1,Everton,61327,Landon,0,0,0,27,0,0,0,03 March 15:00,0,0,67,0,Midfielder,0,0
0,0,Cole,0,0,BLA(H) 2-3,Man Utd,61719,Larnell,0,0,0,19,0,0,0,31 Dec. 12:45,0,0,55,0,Midfielder,0,0
0,-1,Cole,0,0,WOL(A) 5-0,Man Utd,61729,Larnell,0,0,0,29,0,0,0,18 March 13:30,0,0,55,0,Midfielder,0,0
0,1548,Ridgewell,1,0,WIG(A) 1-1,West Brom,65229,Liam,0,90,6,29,0,0,0,17 March 15:00,0,0,45,2,Defender,0,0
0,27,Nicholls,0,0,SWA(H) 0-2,Wigan,65627,Lee,0,0,0,27,0,0,0,03 March 15:00,0,0,45,0,Goalkeeper,0,0
0,1,Nicholls,0,0,MUN(H) 1-0,Wigan,65633,Lee,0,0,0,33,0,0,0,11 April 19:45,0,0,45,0,Goalkeeper,0,0
0,0,Fabianski,0,0,SUN(H) 0-0,Arsenal,11,Lukasz,0,0,0,1,0,0,0,18 Aug 15:00,0,0,45,0,Goalkeeper,0,0
0,-242,Fabianski,0,0,STK(A) 0-0,Arsenal,12,Lukasz,0,0,0,2,0,0,0,26 Aug 13:30,0,0,45,0,Goalkeeper,0,0
0,-725,Fabianski,0,0,LIV(A) 2-0,Arsenal,13,Lukasz,0,0,0,3,0,0,0,02 Sep 13:30,0,0,45,0,Goalkeeper,0,0
0,-919,Fabianski,0,0,SOU(H) 6-1,Arsenal,14,Lukasz,0,0,0,4,0,0,0,15 Sep 15:00,0,0,45,0,Goalkeeper,0,0
0,-942,Fabianski,0,0,MCI(A) 1-1,Arsenal,15,Lukasz,0,0,0,5,0,0,0,23 Sep 16:00,0,0,45,0,Goalkeeper,0,0
0,-578,Fabianski,0,0,CHE(H) 1-2,Arsenal,16,Lukasz,0,0,0,6,0,0,0,29 Sep 12:45,0,0,45,0,Goalkeeper,0,0
0,-330,Fabianski,0,0,WHU(A) 3-1,Arsenal,17,Lukasz,0,0,0,7,0,0,0,06 Oct 17:30,0,0,44,0,Goalkeeper,0,0
0,-348,Fabianski,0,0,NOR(A) 0-1,Arsenal,18,Lukasz,0,0,0,8,0,0,0,20 Oct 17:30,0,0,44,0,Goalkeeper,0,0
0,-212,Fabianski,0,0,QPR(H) 1-0,Arsenal,19,Lukasz,0,0,0,9,0,0,0,27 Oct 15:00,0,0,44,0,Goalkeeper,0,0
0,-193,Fabianski,0,0,MUN(A) 1-2,Arsenal,110,Lukasz,0,0,0,10,0,0,0,03 Nov 12:45,0,0,44,0,Goalkeeper,0,0
0,-47,Fabianski,0,0,NEW(H) 7-3,Arsenal,120,Lukasz,0,0,0,20,0,0,0,29 Dec 17:30,0,0,43,0,Goalkeeper,0,0
0,825,Fabianski,0,0,SWA(A) 2-0,Arsenal,130,Lukasz,0,90,15,30,0,1,0,16 Mar 15:00,0,0,43,6,Goalkeeper,0,0
0,0,Koscielny,0,0,SUN(H) 0-0,Arsenal,41,Laurent,0,0,0,1,0,0,0,18 Aug 15:00,0,0,55,0,Defender,0,0
0,-18403,Koscielny,0,0,STK(A) 0-0,Arsenal,42,Laurent,0,0,0,2,0,0,0,26 Aug 13:30,0,0,55,0,Defender,0,0
0,-12047,Koscielny,0,0,LIV(A) 2-0,Arsenal,43,Laurent,0,1,0,3,0,0,0,02 Sep 13:30,0,0,54,1,Defender,0,0
0,-3040,Koscielny,0,0,SOU(H) 6-1,Arsenal,44,Laurent,0,0,0,4,0,0,0,15 Sep 15:00,0,0,54,0,Defender,0,0
0,-6175,Koscielny,1,0,MCI(A) 1-1,Arsenal,45,Laurent,0,90,24,5,1,0,0,23 Sep 16:00,0,0,54,9,Defender,0,1
0,1802,Koscielny,2,0,CHE(H) 1-2,Arsenal,46,Laurent,0,90,7,6,0,0,0,29 Sep 12:45,0,0,54,1,Defender,0,0
0,761,Koscielny,0,0,WHU(A) 3-1,Arsenal,47,Laurent,0,6,1,7,0,0,0,06 Oct 17:30,0,0,54,1,Defender,0,0
0,-4395,Koscielny,0,0,NOR(A) 0-1,Arsenal,48,Laurent,0,0,0,8,0,0,0,20 Oct 17:30,0,0,54,0,Defender,0,0
