yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-7,Gamst Pedersen,2,0,BOL(H) 1-2,Blackburn,6317,Morten Gamst,0,90,12,17,0,0,0,20 Dec. 20:00,0,0,62,2,Midfielder,0,0
0,1083,Gamst Pedersen,0,0,SUN(H) 2-0,Blackburn,6329,Morten Gamst,0,90,24,29,2,1,1,20 March 20:00,0,0,62,8,Midfielder,0,0
0,213,Alonso,0,0,BLA(A) 2-1,Bolton,7117,Marcos,0,56,9,17,0,0,0,20 Dec. 20:00,0,0,39,1,Defender,0,0
0,20669,Petrov,3,0,LIV(A) 1-3,Bolton,783,Martin,0,90,11,3,0,0,1,27 Aug. 17:30,0,0,55,5,Midfielder,0,0
0,-5796,Petrov,1,0,BLA(A) 2-1,Bolton,7817,Martin,0,90,27,17,1,0,1,20 Dec. 20:00,0,0,52,6,Midfielder,0,0
0,0,Taylor,0,0,BLA(A) 2-1,Bolton,8317,Matthew,0,0,0,17,0,0,0,20 Dec. 20:00,0,0,55,0,Midfielder,0,0
0,-159,Davies M,2,0,LIV(A) 1-3,Bolton,843,Mark,0,65,9,3,0,0,0,27 Aug. 17:30,0,0,50,2,Midfielder,0,0
0,43,Davies M,1,0,BLA(A) 2-1,Bolton,8417,Mark,0,90,34,17,3,0,0,20 Dec. 20:00,0,0,48,10,Midfielder,0,1
0,-368,Essien,2,0,MCI(A) 1-2,Chelsea,10429,Michael,0,33,8,29,0,0,0,21 March 19:45,0,0,69,1,Midfielder,0,0
0,140,Mikel,2,0,MCI(A) 1-2,Chelsea,10729,,0,90,8,29,0,0,0,21 March 19:45,0,0,44,2,Midfielder,0,0
0,-1734,Fellaini,1,0,ARS(H) 0-1,Everton,12429,Marouane,0,90,6,29,0,0,0,21 March 20:00,0,0,61,2,Midfielder,0,0
0,287,Arteta,0,0,EVE(A) 1-0,Arsenal,12729,Mikel,0,90,19,29,1,1,0,21 March 20:00,0,0,79,4,Midfielder,0,0
0,3,Gueye,0,0,ARS(H) 0-1,Everton,13029,Magaye,0,13,0,29,0,0,0,21 March 20:00,0,0,46,1,Forward,0,0
0,997,Schwarzer,3,2,SWA(H) 0-3,Fulham,13629,Mark,0,90,6,29,0,0,0,17 March 15:00,0,0,48,1,Goalkeeper,0,0
0,4,Briggs,0,0,SWA(H) 0-3,Fulham,13729,Matthew,0,0,0,29,0,0,0,17 March 15:00,0,0,39,0,Defender,0,0
0,1151,Dembele,0,0,WOL(H) 5-0,Fulham,15527,Moussa,0,90,15,27,0,1,0,04 March 14:05,0,0,52,2,Forward,0,0
0,-33,Kelly,2,0,ARS(H) 1-2,Liverpool,16227,Martin,0,90,-2,27,0,0,0,03 March 12:45,0,0,52,1,Defender,0,0
0,4626,Skrtel,2,0,ARS(H) 1-2,Liverpool,16527,Martin,0,90,-2,27,0,0,0,03 March 12:45,0,0,62,1,Defender,0,0
0,0,Jovanovic,0,0,QPR(A) 2-3,Liverpool,18229,Milan,0,0,0,29,0,0,0,21 March 20:00,0,0,60,0,Forward,0,0
0,-1690,Richards,1,0,CHE(H) 2-1,Man City,18729,Micah,0,90,13,29,0,0,0,21 March 19:45,0,0,62,2,Defender,0,0
0,1491,Balotelli,0,0,CHE(H) 2-1,Man City,20229,Mario,0,45,11,29,0,0,0,21 March 19:45,0,0,81,1,Forward,0,0
0,825,Carrick,0,0,WOL(A) 5-0,Man Utd,22329,Michael,0,57,8,29,0,0,1,18 March 13:30,0,0,62,4,Midfielder,0,0
0,0,Tonge,0,0,NOR(A) 1-1,Stoke City,3192,Michael,0,0,0,2,0,0,0,21 Aug. 13:30,0,0,45,0,Midfielder,0,0
0,-2,Tonge,0,0,WBA(A) 1-0,Stoke City,3193,Michael,0,0,0,3,0,0,0,28 Aug. 15:00,0,0,45,0,Midfielder,0,0
0,0,Etherington,1,0,NOR(A) 1-1,Stoke City,3242,Matthew,0,90,19,2,2,0,0,21 Aug. 13:30,0,0,65,4,Midfielder,0,0
0,-443,Etherington,0,0,WBA(A) 1-0,Stoke City,3243,Matthew,0,66,15,3,0,1,0,28 Aug. 15:00,0,0,65,3,Midfielder,0,0
0,0,Sidibe,0,0,NOR(A) 1-1,Stoke City,3302,Mamady,0,0,0,2,0,0,0,21 Aug. 13:30,0,0,50,0,Forward,0,0
0,-51,Sidibe,0,0,WBA(A) 1-0,Stoke City,3303,Mamady,0,0,0,3,0,0,0,28 Aug. 15:00,0,0,50,0,Forward,0,0
0,12,Angeleri,0,0,QPR(A) 3-2,Sunderland,33617,Marcos,0,0,0,17,0,0,0,21 Dec. 20:00,0,0,39,0,Defender,0,0
0,-1509,Turner,0,0,QPR(A) 3-2,Sunderland,33717,Michael,0,0,0,17,0,0,0,21 Dec. 20:00,0,0,43,0,Defender,0,0
1,0,Dawson,3,0,MUN(A) 0-3,Tottenham,3872,Michael,0,90,4,2,0,0,0,22 Aug. 20:00,0,0,55,0,Defender,0,0
0,-19,Cech,0,0,CHE(H) 1-0,West Brom,41327,Marek,0,0,0,27,0,0,0,03 March 15:00,0,0,40,0,Defender,0,0
0,-8,Cech,0,0,MCI(A) 0-4,West Brom,41333,Marek,0,0,0,33,0,0,0,11 April 19:45,0,0,40,0,Defender,0,0
0,45,Fortune,0,0,MCI(A) 0-4,West Brom,43233,Marc-Antoine,0,23,-2,33,0,0,0,11 April 19:45,0,0,52,1,Forward,0,0
0,-148,Figueroa,0,0,MUN(H) 1-0,Wigan,43833,Maynor,0,90,13,33,0,1,0,11 April 19:45,0,0,43,6,Defender,0,0
0,53,Diame,0,0,MUN(H) 1-0,Wigan,45033,Mohamed,0,21,3,33,0,0,0,11 April 19:45,0,0,48,1,Midfielder,0,0
1,91,Kightly,3,0,ARS(H) 0-3,Wolves,47033,Michael,0,90,-3,33,0,0,0,11 April 19:45,0,0,54,1,Midfielder,0,0
0,-413,Jarvis,3,0,ARS(H) 0-3,Wolves,47133,Matthew,0,90,-1,33,0,0,0,11 April 19:45,0,0,57,2,Midfielder,0,0
0,6,Gecov,0,0,CHE(H) 1-1,Fulham,48233,Marcel,0,0,0,33,0,0,0,09 April 20:00,0,0,43,0,Midfielder,0,0
0,-1401,Formica,2,0,MUN(A) 3-2,Blackburn,49319,Mauro,0,84,8,19,0,0,0,31 Dec. 12:45,0,0,50,2,Midfielder,0,0
0,103,Formica,0,0,SUN(H) 2-0,Blackburn,49329,Mauro,0,78,16,29,0,1,0,20 March 20:00,0,0,49,3,Midfielder,0,0
0,-153,Upson,0,0,TOT(A) 1-1,Stoke City,51129,Matthew,0,0,0,29,0,0,0,21 March 19:45,0,0,42,0,Defender,0,0
0,-47,Fulop,0,0,WIG(A) 1-1,West Brom,51229,Marton,0,0,0,29,0,0,0,17 March 15:00,0,0,40,0,Goalkeeper,0,0
0,1405,Vorm,0,5,FUL(A) 3-0,Swansea,51429,Michel,0,90,21,29,0,1,0,17 March 15:00,0,0,53,7,Goalkeeper,0,0
0,0,Anderson,0,0,SUN(H) 2-0,Blackburn,51729,Myles,0,0,0,29,0,0,0,20 March 20:00,0,0,40,0,Defender,0,0
0,1,Pollitt,0,0,WBA(H) 1-1,Wigan,52629,Michael,0,0,0,29,0,0,0,17 March 15:00,0,0,45,0,Goalkeeper,0,0
0,3,Doherty,0,0,NOR(H) 2-2,Wolves,58517,Matt,0,0,0,17,0,0,0,20 Dec. 19:45,0,0,40,0,Defender,0,0
0,-2,Abeid,0,0,BOL(H) 2-0,Newcastle,60833,Mehdi,0,0,0,33,0,0,0,09 April 15:00,0,0,45,0,Midfielder,0,0
0,11,Trotta,0,0,SWA(H) 0-3,Fulham,64629,Marcello,0,0,0,29,0,0,0,17 March 15:00,0,0,50,0,Forward,0,0
0,-2,Marcus Olsson,3,0,LIV(H) 2-3,Blackburn,64833,Marcus,0,90,-1,33,0,0,0,10 April 20:00,0,0,50,2,Midfielder,0,0
0,11,Luongo,0,0,STO(H) 1-1,Tottenham,65529,Massimo,0,0,0,29,0,0,0,21 March 19:45,0,0,50,0,Midfielder,0,0
0,0,Arteta,0,0,SUN(H) 0-0,Arsenal,201,Mikel,0,90,9,1,0,1,0,18 Aug 15:00,0,0,80,3,Midfielder,0,0
0,-8229,Arteta,0,0,STK(A) 0-0,Arsenal,202,Mikel,0,90,4,2,0,1,0,26 Aug 13:30,0,0,80,3,Midfielder,0,0
1,-13064,Arteta,0,0,LIV(A) 2-0,Arsenal,203,Mikel,0,90,17,3,0,1,0,02 Sep 13:30,0,0,79,2,Midfielder,0,0
0,-11170,Arteta,1,0,SOU(H) 6-1,Arsenal,204,Mikel,0,90,21,4,0,0,1,15 Sep 15:00,0,0,79,5,Midfielder,0,0
