yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-239,Kalinic,0,0,EVE(H) 0-1,Blackburn,663,Nikola,0,0,0,3,0,0,0,27 Aug. 15:00,0,0,55,0,Forward,0,0
0,-7,Kalinic,0,0,BOL(H) 1-2,Blackburn,6617,Nikola,0,0,0,17,0,0,0,20 Dec. 20:00,0,0,55,0,Forward,0,0
0,-1,Kalinic,0,0,SUN(H) 2-0,Blackburn,6629,Nikola,0,0,0,29,0,0,0,20 March 20:00,0,0,55,0,Forward,0,0
0,-67,Anelka,0,0,MCI(A) 1-2,Chelsea,11129,Nicolas,0,0,0,29,0,0,0,21 March 19:45,0,0,80,0,Forward,0,0
0,-262,Onuoha,2,0,LIV(H) 3-2,QPR,19329,Nedum,0,90,17,29,0,0,0,21 March 20:00,0,0,46,1,Defender,0,0
0,52,De Jong,1,0,CHE(H) 2-1,Man City,19629,Nigel,0,65,11,29,0,0,0,21 March 19:45,0,0,46,2,Midfielder,0,0
0,-207,Vidic,0,0,WOL(A) 5-0,Man Utd,21129,Nemanja,0,0,0,29,0,0,0,18 March 13:30,0,0,77,0,Defender,0,0
0,0,Kranjcar,1,0,MUN(A) 0-3,Tottenham,3992,Niko,0,73,9,2,0,0,0,22 Aug. 20:00,0,0,60,2,Midfielder,0,0
0,-438,Shorey,0,0,CHE(H) 1-0,West Brom,41727,Nicky,0,0,0,27,0,0,0,03 March 15:00,0,0,44,0,Defender,0,0
0,-142,Shorey,4,0,MCI(A) 0-4,West Brom,41733,Nicky,0,90,3,33,0,0,0,11 April 19:45,0,0,43,0,Defender,0,0
0,-10,Milijas,1,0,ARS(H) 0-3,Wolves,47333,Nenad,0,38,-2,33,0,0,0,11 April 19:45,0,0,52,1,Midfielder,0,0
0,8219,Reo-Coker,1,0,WOL(H) 1-1,Bolton,49119,Nigel,0,90,9,19,0,0,0,31 Dec. 15:00,0,0,44,2,Midfielder,0,0
0,-4,Blackman,0,0,SUN(H) 2-0,Blackburn,51529,Nick,0,0,0,29,0,0,0,20 March 20:00,0,0,49,0,Forward,0,0
0,-2,Etheridge,0,0,SWA(H) 0-3,Fulham,52029,Neil,0,0,0,29,0,0,0,17 March 15:00,0,0,45,0,Goalkeeper,0,0
0,4,Chalobah,0,0,MCI(A) 1-2,Chelsea,61929,Nathaniel,0,0,0,29,0,0,0,21 March 19:45,0,0,45,0,Defender,0,0
0,10,Yennaris,0,0,EVE(A) 1-0,Arsenal,63029,Nico,0,0,0,29,0,0,0,21 March 20:00,0,0,49,0,Midfielder,0,0
0,0,Bendtner,0,0,SUN(H) 0-0,Arsenal,311,Nicklas,0,0,0,1,0,0,0,18 Aug 15:00,0,0,65,0,Forward,0,0
0,-5147,Bendtner,0,0,STK(A) 0-0,Arsenal,312,Nicklas,0,0,0,2,0,0,0,26 Aug 13:30,0,0,64,0,Forward,0,0
0,-5037,Bendtner,0,0,LIV(A) 2-0,Arsenal,313,Nicklas,0,0,0,3,0,0,0,02 Sep 13:30,0,0,62,0,Forward,0,0
0,-4124,Bendtner,0,0,SOU(H) 6-1,Arsenal,314,Nicklas,0,0,0,4,0,0,0,15 Sep 15:00,0,0,62,0,Forward,0,0
0,-900,Bendtner,0,0,MCI(A) 1-1,Arsenal,315,Nicklas,0,0,0,5,0,0,0,23 Sep 16:00,0,0,62,0,Forward,0,0
0,-514,Bendtner,0,0,CHE(H) 1-2,Arsenal,316,Nicklas,0,0,0,6,0,0,0,29 Sep 12:45,0,0,62,0,Forward,0,0
0,-290,Bendtner,0,0,WHU(A) 3-1,Arsenal,317,Nicklas,0,0,0,7,0,0,0,06 Oct 17:30,0,0,62,0,Forward,0,0
0,-197,Bendtner,0,0,NOR(A) 0-1,Arsenal,318,Nicklas,0,0,0,8,0,0,0,20 Oct 17:30,0,0,62,0,Forward,0,0
0,-111,Bendtner,0,0,QPR(H) 1-0,Arsenal,319,Nicklas,0,0,0,9,0,0,0,27 Oct 15:00,0,0,62,0,Forward,0,0
0,-72,Bendtner,0,0,MUN(A) 1-2,Arsenal,3110,Nicklas,0,0,0,10,0,0,0,03 Nov 12:45,0,0,62,0,Forward,0,0
