yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-351,Anderson,0,0,WOL(A) 5-0,Man Utd,22129,Oliveira,0,0,0,29,0,0,0,18 March 13:30,0,0,57,0,Midfielder,0,0
0,1759,Romeu,1,0,AVL(H) 1-3,Chelsea,50119,Oriol,0,56,6,19,0,0,0,31 Dec. 15:00,0,0,46,1,Midfielder,0,0
0,-456,Romeu,0,0,MCI(A) 1-2,Chelsea,50129,Oriol,0,0,0,29,0,0,0,21 March 19:45,0,0,46,0,Midfielder,0,0
0,5,Ozyakup,0,0,QPR(H) 1-0,Arsenal,54619,Oguzhan,0,0,0,19,0,0,0,31 Dec. 15:00,0,0,55,0,Midfielder,0,0
0,-1,Ozyakup,0,0,EVE(A) 1-0,Arsenal,54629,Oguzhan,0,0,0,29,0,0,0,21 March 20:00,0,0,55,0,Midfielder,0,0
0,0,Giroud,0,0,SUN(H) 0-0,Arsenal,321,Olivier,0,27,-6,1,0,0,0,18 Aug 15:00,0,0,90,1,Forward,0,0
0,-3552,Giroud,0,0,STK(A) 0-0,Arsenal,322,Olivier,0,90,1,2,0,1,0,26 Aug 13:30,0,0,90,2,Forward,0,0
0,-5519,Giroud,0,0,LIV(A) 2-0,Arsenal,323,Olivier,0,90,4,3,0,1,0,02 Sep 13:30,0,0,89,2,Forward,0,0
0,-3372,Giroud,0,0,SOU(H) 6-1,Arsenal,324,Olivier,0,17,2,4,0,0,0,15 Sep 15:00,0,0,88,1,Forward,0,0
0,-8505,Giroud,0,0,MCI(A) 1-1,Arsenal,325,Olivier,0,20,2,5,0,0,0,23 Sep 16:00,0,0,86,1,Forward,0,0
0,-3210,Giroud,0,0,CHE(H) 1-2,Arsenal,326,Olivier,0,24,0,6,0,0,0,29 Sep 12:45,0,0,85,1,Forward,0,0
0,-2021,Giroud,1,0,WHU(A) 3-1,Arsenal,327,Olivier,0,90,41,7,3,0,1,06 Oct 17:30,0,0,84,12,Forward,0,1
0,12818,Giroud,1,0,NOR(A) 0-1,Arsenal,328,Olivier,0,90,6,8,0,0,0,20 Oct 17:30,0,0,84,2,Forward,0,0
1,-531,Giroud,0,0,QPR(H) 1-0,Arsenal,329,Olivier,0,90,16,9,0,1,0,27 Oct 15:00,0,0,84,1,Forward,0,0
0,-5328,Giroud,2,0,MUN(A) 1-2,Arsenal,3210,Olivier,0,90,-6,10,0,0,0,03 Nov 12:45,0,0,84,2,Forward,0,0
0,9367,Giroud,2,0,TOT(H) 5-2,Arsenal,3212,Olivier,0,85,33,12,0,0,0,17 Nov 12:45,0,0,84,6,Forward,0,1
0,22055,Giroud,0,0,AVL(A) 0-0,Arsenal,3213,Olivier,0,85,11,13,0,1,0,24 Nov 17:30,0,0,84,2,Forward,0,0
0,-1879,Giroud,0,0,NEW(H) 7-3,Arsenal,3220,Olivier,0,17,33,20,0,0,0,29 Dec 17:30,0,0,78,9,Forward,0,2
0,-5281,Giroud,0,0,MCI(H) 0-2,Arsenal,3222,Olivier,0,34,1,22,0,0,0,13 Jan 16:00,0,0,78,1,Forward,0,0
0,13458,Giroud,1,0,WHU(H) 5-1,Arsenal,3223,Olivier,0,72,45,23,3,0,0,23 Jan 19:45,0,0,78,13,Forward,0,2
0,-3840,Giroud,0,0,SWA(A) 2-0,Arsenal,3230,Olivier,0,90,17,30,0,1,1,16 Mar 15:00,0,0,75,5,Forward,0,0
0,9855,Giroud,1,0,WBA(A) 2-1,Arsenal,3232,Olivier,0,90,5,32,0,0,0,06 Apr 15:00,0,0,76,2,Forward,0,0
0,43935,Giroud,0,0,EVE(H) 0-0,Arsenal,3233,Olivier,0,90,-5,33,0,1,0,16 Apr 19:45,0,0,77,2,Forward,0,0
0,0,Romeu,0,0,RDG(H) 4-2,Chelsea,821,Oriol,0,0,0,1,0,0,0,22 Aug 19:45,0,0,45,0,Midfielder,0,0
0,-828,Romeu,0,0,NEW(H) 2-0,Chelsea,822,Oriol,0,0,0,2,0,0,0,25 Aug 17:30,0,0,45,0,Midfielder,0,0
0,-59,Romeu,0,0,QPR(A) 0-0,Chelsea,824,Oriol,0,0,0,4,0,0,0,15 Sep 15:00,0,0,43,0,Midfielder,0,0
0,6,Romeu,0,0,STK(H) 1-0,Chelsea,825,Oriol,0,0,0,5,0,0,0,22 Sep 15:00,0,0,43,0,Midfielder,0,0
0,-36,Romeu,0,0,ARS(A) 2-1,Chelsea,826,Oriol,0,0,0,6,0,0,0,29 Sep 12:45,0,0,43,0,Midfielder,0,0
0,-67,Romeu,0,0,NOR(H) 4-1,Chelsea,827,Oriol,0,9,-8,7,0,0,0,06 Oct 15:00,0,0,43,1,Midfielder,0,0
0,-66,Romeu,0,0,TOT(A) 4-2,Chelsea,828,Oriol,0,0,0,8,0,0,0,20 Oct 12:45,0,0,43,0,Midfielder,0,0
0,-150,Romeu,0,0,MUN(H) 2-3,Chelsea,829,Oriol,0,0,0,9,0,0,0,28 Oct 16:00,0,0,43,0,Midfielder,0,0
0,-79,Romeu,0,0,SWA(A) 1-1,Chelsea,8210,Oriol,0,45,4,10,0,0,0,03 Nov 15:00,0,0,43,1,Midfielder,0,0
