yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,115,Robinson,3,0,LIV(A) 1-3,Bolton,743,Paul,0,90,5,3,0,0,0,27 Aug. 17:30,0,0,45,1,Defender,0,0
0,-365,Robinson,1,0,BLA(A) 2-1,Bolton,7417,Paul,0,34,6,17,0,0,0,20 Dec. 20:00,0,0,43,1,Defender,0,0
0,-25892,Cech,0,0,NOR(H) 3-1,Chelsea,893,Petr,0,0,0,3,0,0,0,27 Aug. 15:00,0,0,70,0,Goalkeeper,0,0
0,-1117,Cech,1,3,TOT(A) 1-1,Chelsea,8917,Petr,0,90,8,17,0,0,0,22 Dec. 20:00,0,0,68,3,Goalkeeper,0,0
0,-469,Cech,2,6,MCI(A) 1-2,Chelsea,8929,Petr,0,90,11,29,0,0,0,21 March 19:45,0,0,68,3,Goalkeeper,0,0
0,-18,Ferreira,0,0,MCI(A) 1-2,Chelsea,9629,Paulo,0,0,0,29,0,0,0,21 March 19:45,0,0,46,0,Defender,0,0
0,-195,Jagielka,0,0,ARS(H) 0-1,Everton,11629,Phil,0,0,0,29,0,0,0,21 March 20:00,0,0,53,0,Defender,0,0
0,-470,Neville,0,0,ARS(H) 0-1,Everton,12529,Phil,0,0,0,29,0,0,0,21 March 20:00,0,0,47,0,Midfielder,0,0
0,-1735,Senderos,0,0,CHE(H) 1-1,Fulham,13933,Philippe,0,0,0,33,0,0,0,09 April 20:00,0,0,42,0,Defender,0,0
0,0,Gulacsi,0,0,ARS(H) 1-2,Liverpool,15627,Peter,0,0,0,27,0,0,0,03 March 12:45,0,0,45,0,Goalkeeper,0,0
0,0,Zabaleta,0,0,BOL(A) 3-2,Man City,1882,Pablo,0,3,0,2,0,0,0,21 Aug. 16:00,0,0,60,1,Defender,0,0
0,2275,Jones,0,0,WOL(A) 5-0,Man Utd,20929,Phil,0,0,0,29,0,0,0,18 March 13:30,0,0,62,0,Defender,0,0
0,17904,Evra,0,0,WOL(A) 5-0,Man Utd,21329,Patrice,0,62,9,29,0,1,0,18 March 13:30,0,0,73,6,Defender,0,0
0,-84,Bardsley,2,0,QPR(A) 3-2,Sunderland,33817,Phillip,0,90,14,17,0,0,0,21 Dec. 20:00,0,0,48,1,Defender,0,0
0,3659,Crouch,0,0,NOR(H) 1-0,Stoke City,40527,Peter,0,68,8,27,0,1,0,03 March 15:00,0,0,64,2,Forward,0,0
0,45,Crouch,0,0,AVL(A) 1-1,Stoke City,40533,Peter,0,29,2,33,0,0,0,09 April 17:30,0,0,63,1,Forward,0,0
0,-238,Scharner,0,0,CHE(H) 1-0,West Brom,42127,Paul,0,0,0,27,0,0,0,03 March 15:00,0,0,51,0,Midfielder,0,0
0,-31,Scharner,4,0,MCI(A) 0-4,West Brom,42133,Paul,0,90,-1,33,0,0,0,11 April 19:45,0,0,51,2,Midfielder,0,0
0,16466,Odemwingie,0,0,CHE(H) 1-0,West Brom,43027,Peter,0,90,12,27,0,1,0,03 March 15:00,0,0,72,2,Forward,0,0
0,-3021,Odemwingie,0,0,MCI(A) 0-4,West Brom,43033,Peter,0,0,0,33,0,0,0,11 April 19:45,0,0,73,0,Forward,0,0
0,-4,Kasami,0,0,CHE(H) 1-1,Fulham,48333,Pajtim,0,0,0,33,0,0,0,09 April 20:00,0,0,47,0,Midfielder,0,0
1,112,Mertesacker,1,0,AVL(A) 2-1,Arsenal,56017,Per,0,90,18,17,0,0,0,21 Dec. 19:45,0,0,57,1,Defender,0,0
0,-8,Van Aanholt,0,0,WBA(H) 1-1,Wigan,56629,Patrick,0,0,0,29,0,0,0,17 March 15:00,0,0,43,0,Defender,0,0
0,7773,Scholes,0,0,WOL(A) 5-0,Man Utd,62429,Paul,0,90,20,29,0,1,0,18 March 13:30,0,0,54,3,Midfielder,0,0
0,6063,Cisse,1,0,SUN(H) 1-1,Newcastle,63527,Papiss,0,71,8,27,0,0,0,04 March 12:00,0,0,70,2,Forward,0,0
0,0,Mertesacker,0,0,SUN(H) 0-0,Arsenal,111,Per,0,90,9,1,0,1,0,18 Aug 15:00,0,0,50,6,Defender,0,0
0,17928,Mertesacker,0,0,STK(A) 0-0,Arsenal,112,Per,0,90,12,2,0,1,0,26 Aug 13:30,0,0,50,6,Defender,0,0
1,17816,Mertesacker,0,0,LIV(A) 2-0,Arsenal,113,Per,0,90,14,3,0,1,0,02 Sep 13:30,0,0,50,5,Defender,0,0
0,40154,Mertesacker,1,0,SOU(H) 6-1,Arsenal,114,Per,0,90,14,4,0,0,0,15 Sep 15:00,0,0,51,2,Defender,0,0
0,4293,Mertesacker,1,0,MCI(A) 1-1,Arsenal,115,Per,0,90,6,5,0,0,0,23 Sep 16:00,0,0,51,2,Defender,0,0
0,5629,Mertesacker,0,0,CHE(H) 1-2,Arsenal,116,Per,0,0,0,6,0,0,0,29 Sep 12:45,0,0,51,0,Defender,0,0
0,-16391,Mertesacker,1,0,WHU(A) 3-1,Arsenal,117,Per,0,90,6,7,0,0,0,06 Oct 17:30,0,0,51,2,Defender,0,0
0,6809,Mertesacker,1,0,NOR(A) 0-1,Arsenal,118,Per,0,90,3,8,0,0,0,20 Oct 17:30,0,0,51,2,Defender,0,0
0,4257,Mertesacker,0,0,QPR(H) 1-0,Arsenal,119,Per,0,90,19,9,0,1,0,27 Oct 15:00,0,0,51,6,Defender,0,0
0,7175,Mertesacker,2,0,MUN(A) 1-2,Arsenal,1110,Per,0,90,5,10,0,0,0,03 Nov 12:45,0,0,51,1,Defender,0,0
0,13421,Mertesacker,0,0,NEW(H) 7-3,Arsenal,1120,Per,0,0,0,20,0,0,0,29 Dec 17:30,0,0,54,0,Defender,0,0
0,4048,Mertesacker,0,0,SWA(A) 2-0,Arsenal,1130,Per,0,90,15,30,0,1,0,16 Mar 15:00,0,0,53,6,Defender,0,0
0,0,Cech,2,2,RDG(H) 4-2,Chelsea,631,Petr,0,90,16,1,0,0,0,22 Aug 19:45,0,0,65,1,Goalkeeper,0,0
0,-6144,Cech,0,3,NEW(H) 2-0,Chelsea,632,Petr,0,90,18,2,0,1,0,25 Aug 17:30,0,0,65,7,Goalkeeper,0,0
0,8094,Cech,0,3,QPR(A) 0-0,Chelsea,634,Petr,0,90,11,4,0,1,0,15 Sep 15:00,0,0,65,7,Goalkeeper,0,0
0,23660,Cech,0,3,STK(H) 1-0,Chelsea,635,Petr,0,90,18,5,0,1,0,22 Sep 15:00,0,0,65,7,Goalkeeper,0,0
0,18439,Cech,1,3,ARS(A) 2-1,Chelsea,636,Petr,0,90,14,6,0,0,0,29 Sep 12:45,0,0,65,3,Goalkeeper,0,0
0,24435,Cech,1,2,NOR(H) 4-1,Chelsea,637,Petr,0,90,13,7,0,0,0,06 Oct 15:00,0,0,66,2,Goalkeeper,0,0
0,3417,Cech,2,8,TOT(A) 4-2,Chelsea,638,Petr,0,90,18,8,0,0,0,20 Oct 12:45,0,0,66,3,Goalkeeper,0,0
0,-2494,Cech,3,3,MUN(H) 2-3,Chelsea,639,Petr,0,90,6,9,0,0,0,28 Oct 16:00,0,0,66,2,Goalkeeper,0,0
0,1113,Cech,1,2,SWA(A) 1-1,Chelsea,6310,Petr,0,90,7,10,0,0,0,03 Nov 15:00,0,0,66,2,Goalkeeper,0,0
0,-7627,Cech,1,2,LIV(H) 1-1,Chelsea,6311,Petr,0,90,9,11,0,0,0,11 Nov 16:00,0,0,66,2,Goalkeeper,0,0
0,-9802,Cech,2,3,WBA(A) 1-2,Chelsea,6312,Petr,0,90,4,12,0,0,0,17 Nov 15:00,0,0,66,2,Goalkeeper,0,0
0,-16687,Cech,0,5,MCI(H) 0-0,Chelsea,6313,Petr,0,90,13,13,0,1,0,25 Nov 16:00,0,0,66,7,Goalkeeper,0,0
0,-1516,Cech,0,5,FUL(H) 0-0,Chelsea,6314,Petr,0,90,13,14,0,1,0,28 Nov 19:45,0,0,66,7,Goalkeeper,0,0
1,1954,Cech,3,5,WHU(A) 1-3,Chelsea,6315,Petr,0,90,11,15,0,0,0,01 Dec 12:45,0,0,66,1,Goalkeeper,0,0
0,-9165,Cech,1,4,SUN(A) 3-1,Chelsea,6316,Petr,0,90,20,16,0,0,0,08 Dec 15:00,0,0,66,3,Goalkeeper,0,0
0,-4130,Cech,0,3,AVL(H) 8-0,Chelsea,6318,Petr,0,90,19,18,0,1,0,23 Dec 16:00,0,0,65,7,Goalkeeper,0,0
0,-1942,Cech,0,1,NOR(A) 1-0,Chelsea,6319,Petr,0,90,16,19,0,1,0,26 Dec 15:00,0,0,65,6,Goalkeeper,0,0
0,-2156,Cech,1,2,EVE(A) 2-1,Chelsea,6320,Petr,0,45,10,20,0,0,0,30 Dec 13:30,0,0,65,1,Goalkeeper,0,0
0,-18394,Cech,0,0,QPR(H) 0-1,Chelsea,6321,Petr,0,0,0,21,0,0,0,02 Jan 19:45,0,0,65,0,Goalkeeper,0,0
