yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-112,Rochina,0,0,EVE(H) 0-1,Blackburn,683,Ruben,0,0,0,3,0,0,0,27 Aug. 15:00,0,0,50,0,Forward,0,0
0,-186,Rochina,0,0,BOL(H) 1-2,Blackburn,6817,Ruben,0,26,-8,17,0,0,0,20 Dec. 20:00,0,0,49,1,Forward,0,0
0,-68,Rochina,0,0,SUN(H) 2-0,Blackburn,6829,Ruben,0,0,0,29,0,0,0,20 March 20:00,0,0,47,0,Forward,0,0
0,44,Gardner,0,0,BLA(A) 2-1,Bolton,8117,Ricardo,0,0,0,17,0,0,0,20 Dec. 20:00,0,0,43,0,Midfielder,0,0
0,411,Blake,0,0,WOL(H) 1-1,Bolton,8619,Robbie,0,0,0,19,0,0,0,31 Dec. 15:00,0,0,42,0,Forward,0,0
0,1,Turnbull,0,0,FUL(A) 1-1,Chelsea,9133,Ross,0,0,0,33,0,0,0,09 April 20:00,0,0,41,0,Goalkeeper,0,0
0,-6,Bertrand,0,0,MCI(A) 1-2,Chelsea,9329,Ryan,0,0,0,29,0,0,0,21 March 19:45,0,0,44,0,Defender,0,0
0,937,Ramires,2,0,MCI(A) 1-2,Chelsea,10029,,0,90,-1,29,0,0,0,21 March 19:45,0,0,69,2,Midfielder,0,0
0,17,Halliche,0,0,WOL(H) 5-0,Fulham,14427,Rafik,0,0,0,27,0,0,0,04 March 14:05,0,0,40,0,Defender,0,0
0,-579,Meireles,0,0,MCI(A) 1-2,Chelsea,17129,Raul,0,57,-2,29,0,0,0,21 March 19:45,0,0,71,1,Midfielder,0,0
0,-392,Maxi Rodriguez,0,0,QPR(A) 2-3,Liverpool,17429,Rodriguez,0,0,0,29,0,0,0,21 March 20:00,0,0,70,0,Midfielder,0,0
0,-356,Rafael,0,0,WOL(A) 5-0,Man Utd,21029,Rafael,0,90,25,29,0,1,1,18 March 13:30,0,0,54,9,Defender,0,0
0,2150,Ferdinand,0,0,WOL(A) 5-0,Man Utd,21229,Rio,0,90,16,29,0,1,0,18 March 13:30,0,0,64,6,Defender,0,0
0,-393,Giggs,0,0,WOL(A) 5-0,Man Utd,22229,Ryan,0,0,0,29,0,0,0,18 March 13:30,0,0,68,0,Midfielder,0,0
1,0,Shawcross,1,0,NOR(A) 1-1,Stoke City,3152,Ryan,0,90,9,2,0,0,0,21 Aug. 13:30,0,0,50,1,Defender,0,0
0,-10580,Shawcross,0,0,WBA(A) 1-0,Stoke City,3153,Ryan,0,90,24,3,3,1,0,28 Aug. 15:00,0,0,50,9,Defender,0,0
0,0,Huth,1,0,NOR(A) 1-1,Stoke City,3162,Robert,0,90,12,2,0,0,0,21 Aug. 13:30,0,0,60,2,Defender,0,0
0,-10995,Huth,0,0,WBA(A) 1-0,Stoke City,3163,Robert,0,90,19,3,0,1,0,28 Aug. 15:00,0,0,60,6,Defender,0,0
0,0,Delap,0,0,NOR(A) 1-1,Stoke City,3282,Rory,0,0,0,2,0,0,0,21 Aug. 13:30,0,0,50,0,Midfielder,0,0
0,-3282,Delap,0,0,WBA(A) 1-0,Stoke City,3283,Rory,0,0,0,3,0,0,0,28 Aug. 15:00,0,0,50,0,Midfielder,0,0
0,-60,Noble,0,0,QPR(A) 3-2,Sunderland,35417,Ryan,0,0,0,17,0,0,0,21 Dec. 20:00,0,0,43,0,Forward,0,0
0,41,Sandro,0,0,STO(H) 1-1,Tottenham,39229,Raniere,0,0,0,29,0,0,0,21 March 19:45,0,0,49,0,Midfielder,0,0
0,0,Pavlyuchenko,2,0,MUN(A) 0-3,Tottenham,4042,Roman,0,17,1,2,0,0,0,22 Aug. 20:00,0,0,70,1,Forward,0,0
0,-26294,Keane,0,0,BLA(A) 1-1,Aston Villa,40627,Robbie,0,0,0,27,0,0,0,03 March 15:00,0,0,48,0,Forward,0,0
0,-169,Keane,0,0,STO(H) 1-1,Aston Villa,40633,Robbie,0,0,0,33,0,0,0,09 April 17:30,0,0,48,0,Forward,0,0
