yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-3,Ricketts,0,0,BLA(A) 2-1,Bolton,7317,Samuel,0,0,0,17,0,0,0,20 Dec. 20:00,0,0,44,0,Defender,0,0
0,-365,Holden,0,0,LIV(A) 1-3,Bolton,803,Stuart,0,0,0,3,0,0,0,27 Aug. 17:30,0,0,55,0,Midfielder,0,0
0,-9,Holden,0,0,BLA(A) 2-1,Bolton,8017,Stuart,0,0,0,17,0,0,0,20 Dec. 20:00,0,0,53,0,Midfielder,0,0
0,16,Kalou,0,0,MCI(A) 1-2,Chelsea,10529,Salomon,0,0,0,29,0,0,0,21 March 19:45,0,0,67,0,Midfielder,0,0
0,142,Distin,1,0,ARS(H) 0-1,Everton,11929,Sylvain,0,90,10,29,0,0,0,21 March 20:00,0,0,51,2,Defender,0,0
0,0,Coleman,0,0,ARS(H) 0-1,Everton,12829,Seamus,0,0,0,29,0,0,0,21 March 20:00,0,0,70,0,Midfielder,0,0
0,1146,Kelly,3,0,SWA(H) 0-3,Fulham,14029,Stephen,0,90,5,29,0,0,0,17 March 15:00,0,0,40,1,Defender,0,0
0,-74,Sidwell,0,0,WOL(H) 5-0,Fulham,14727,Steve,0,0,0,27,0,0,0,04 March 14:05,0,0,52,0,Midfielder,0,0
0,-13,Davies,0,0,WOL(H) 5-0,Fulham,15227,Simon,0,11,3,27,0,0,0,04 March 14:05,0,0,53,1,Midfielder,0,0
0,-34,Kyrgiakos,0,0,NEW(A) 1-1,Sunderland,16727,Sotirios,0,0,0,27,0,0,0,04 March 12:00,0,0,49,0,Defender,0,0
0,24157,Gerrard,3,0,QPR(A) 2-3,Liverpool,17329,Steven,0,90,-1,29,0,0,0,21 March 20:00,0,0,98,2,Midfielder,0,0
0,-424,Wright-Phillips,0,0,LIV(H) 3-2,QPR,19729,Shaun,0,0,0,29,0,0,0,21 March 20:00,0,0,59,0,Midfielder,0,0
0,0,Diao,0,0,NOR(A) 1-1,Stoke City,3272,Salif,0,0,0,2,0,0,0,21 Aug. 13:30,0,0,45,0,Midfielder,0,0
0,-219,Diao,0,0,WBA(A) 1-0,Stoke City,3273,Salif,0,0,0,3,0,0,0,28 Aug. 15:00,0,0,45,0,Midfielder,0,0
0,-917,Mignolet,0,0,QPR(A) 3-2,Sunderland,33317,Simon,0,0,0,17,0,0,0,21 Dec. 20:00,0,0,43,0,Goalkeeper,0,0
1,-2340,Sessegnon,2,0,QPR(A) 3-2,Sunderland,34317,Stephane,0,90,40,17,3,0,0,21 Dec. 20:00,0,0,62,9,Midfielder,0,1
0,-6,Malbranque,0,0,QPR(A) 3-2,Sunderland,34717,Steed,0,0,0,17,0,0,0,21 Dec. 20:00,0,0,55,0,Midfielder,0,0
0,29584,Larsson,2,0,QPR(A) 3-2,Sunderland,35017,Sebastian,0,74,7,17,0,0,0,21 Dec. 20:00,0,0,69,2,Midfielder,0,0
0,0,Bassong,0,0,MUN(A) 0-3,Wolves,3842,Sebastien,0,0,0,2,0,0,0,22 Aug. 20:00,0,0,45,0,Defender,0,0
0,0,Pienaar,0,0,MUN(A) 0-3,Everton,3942,Steven,0,0,0,2,0,0,0,22 Aug. 20:00,0,0,70,0,Midfielder,0,0
