yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-498,Howard,1,3,ARS(H) 0-1,Everton,11429,Tim,0,90,4,29,0,0,0,21 March 20:00,0,0,54,3,Goalkeeper,0,0
0,-1711,Hibbert,1,0,ARS(H) 0-1,Everton,11729,Tony,0,90,8,29,0,0,0,21 March 20:00,0,0,46,2,Defender,0,0
1,-1928,Cahill,1,0,ARS(H) 0-1,Everton,12329,Tim,0,86,5,29,0,0,0,21 March 20:00,0,0,85,1,Midfielder,0,0
0,-10,Kuszczak,0,0,WIG(A) 0-1,Man Utd,20533,Tomasz,0,0,0,33,0,0,0,11 April 19:45,0,0,47,0,Goalkeeper,0,0
0,0,Smith,0,0,EVE(A) 1-0,QPR,3072,Tommy,0,65,27,2,3,1,0,20 Aug. 15:00,0,0,50,9,Forward,0,1
0,12630,Smith,2,0,WIG(A) 0-2,QPR,3073,Tommy,0,79,4,3,0,0,0,27 Aug. 12:30,0,0,50,2,Forward,0,0
0,0,Sorensen,0,0,NOR(A) 1-1,Stoke City,3102,Thomas,0,0,0,2,0,0,0,21 Aug. 13:30,0,0,45,0,Goalkeeper,0,0
0,-1712,Sorensen,0,0,WBA(A) 1-0,Stoke City,3103,Thomas,0,0,0,3,0,0,0,28 Aug. 15:00,0,0,45,0,Goalkeeper,0,0
0,677,Bramble,2,0,QPR(A) 3-2,Sunderland,33517,Titus,0,90,13,17,0,0,0,21 Dec. 20:00,0,0,42,1,Defender,0,0
0,-6,Mears,0,0,WOL(H) 1-1,Bolton,48919,Tyrone,0,0,0,19,0,0,0,31 Dec. 15:00,0,0,44,0,Defender,0,0
0,-5,Hewitt,0,0,LIV(H) 3-2,QPR,54029,Troy,0,0,0,29,0,0,0,21 March 20:00,0,0,45,0,Forward,0,0
0,3,Carson,0,0,BLA(A) 0-2,Sunderland,59629,Trevor,0,0,0,29,0,0,0,20 March 20:00,0,0,45,0,Goalkeeper,0,0
0,-424,Henry,0,0,EVE(A) 1-0,Arsenal,62529,Thierry,0,0,0,29,0,0,0,21 March 20:00,0,0,62,0,Forward,0,0
0,0,Vermaelen,0,0,SUN(H) 0-0,Arsenal,51,Thomas,0,90,12,1,2,1,0,18 Aug 15:00,0,0,70,8,Defender,0,0
0,15468,Vermaelen,0,0,STK(A) 0-0,Arsenal,52,Thomas,0,90,13,2,2,1,0,26 Aug 13:30,0,0,70,8,Defender,0,0
0,12374,Vermaelen,0,0,LIV(A) 2-0,Arsenal,53,Thomas,0,89,20,3,0,1,0,02 Sep 13:30,0,0,70,6,Defender,0,0
0,26497,Vermaelen,1,0,SOU(H) 6-1,Arsenal,54,Thomas,0,90,23,4,0,0,0,15 Sep 15:00,0,0,70,2,Defender,0,0
0,-2805,Vermaelen,0,0,MCI(A) 1-1,Arsenal,55,Thomas,0,0,0,5,0,0,0,23 Sep 16:00,0,0,71,0,Defender,0,0
1,-28191,Vermaelen,2,0,CHE(H) 1-2,Arsenal,56,Thomas,0,90,-2,6,0,0,0,29 Sep 12:45,0,0,71,0,Defender,0,0
0,-14751,Vermaelen,1,0,WHU(A) 3-1,Arsenal,57,Thomas,0,90,13,7,0,0,0,06 Oct 17:30,0,0,71,2,Defender,0,0
0,-8107,Vermaelen,1,0,NOR(A) 0-1,Arsenal,58,Thomas,0,90,0,8,0,0,0,20 Oct 17:30,0,0,71,2,Defender,0,0
0,-5875,Vermaelen,0,0,QPR(H) 1-0,Arsenal,59,Thomas,0,90,20,9,0,1,0,27 Oct 15:00,0,0,71,6,Defender,0,0
0,-8759,Vermaelen,2,0,MUN(A) 1-2,Arsenal,510,Thomas,0,90,3,10,0,0,0,03 Nov 12:45,0,0,71,1,Defender,0,0
0,-2272,Vermaelen,3,0,NEW(H) 7-3,Arsenal,520,Thomas,0,90,13,20,0,0,0,29 Dec 17:30,0,0,67,1,Defender,0,0
0,-858,Vermaelen,0,0,SWA(A) 2-0,Arsenal,530,Thomas,0,0,0,30,0,0,0,16 Mar 15:00,0,0,67,0,Defender,0,0
0,0,Walcott,0,0,SUN(H) 0-0,Arsenal,151,Theo,0,76,-3,1,0,1,0,18 Aug 15:00,0,0,90,3,Midfielder,0,0
0,-2680,Walcott,0,0,STK(A) 0-0,Arsenal,152,Theo,0,19,2,2,0,0,0,26 Aug 13:30,0,0,90,1,Midfielder,0,0
0,-8687,Walcott,0,0,LIV(A) 2-0,Arsenal,153,Theo,0,0,0,3,0,0,0,02 Sep 13:30,0,0,89,0,Midfielder,0,0
0,-10600,Walcott,0,0,SOU(H) 6-1,Arsenal,154,Theo,0,17,20,4,0,0,0,15 Sep 15:00,0,0,88,6,Midfielder,0,1
0,-1666,Walcott,0,0,MCI(A) 1-1,Arsenal,155,Theo,0,19,3,5,0,0,0,23 Sep 16:00,0,0,88,1,Midfielder,0,0
0,-1719,Walcott,0,0,CHE(H) 1-2,Arsenal,156,Theo,0,25,1,6,0,0,0,29 Sep 12:45,0,0,88,1,Midfielder,0,0
1,-2419,Walcott,0,0,WHU(A) 3-1,Arsenal,157,Theo,0,30,27,7,2,0,1,06 Oct 17:30,0,0,87,10,Midfielder,0,1
0,-1143,Walcott,0,0,NOR(A) 0-1,Arsenal,158,Theo,0,0,0,8,0,0,0,20 Oct 17:30,0,0,87,0,Midfielder,0,0
0,-2682,Walcott,0,0,QPR(H) 1-0,Arsenal,159,Theo,0,24,3,9,0,0,0,27 Oct 15:00,0,0,87,1,Midfielder,0,0
0,2549,Walcott,1,0,MUN(A) 1-2,Arsenal,1510,Theo,0,39,-2,10,0,0,0,03 Nov 12:45,0,0,87,1,Midfielder,0,0
0,26931,Walcott,3,0,NEW(H) 7-3,Arsenal,1520,Theo,0,90,76,20,3,0,2,29 Dec 17:30,0,0,86,26,Midfielder,0,3
0,-13623,Walcott,0,0,SWA(A) 2-0,Arsenal,1530,Theo,0,84,2,30,0,1,0,16 Mar 15:00,0,0,90,3,Midfielder,0,0
0,0,Rosicky,0,0,SUN(H) 0-0,Arsenal,191,Tomas,0,0,0,1,0,0,0,18 Aug 15:00,0,0,65,0,Midfielder,0,0
0,-191,Rosicky,0,0,STK(A) 0-0,Arsenal,192,Tomas,0,0,0,2,0,0,0,26 Aug 13:30,0,0,65,0,Midfielder,0,0
0,-137,Rosicky,0,0,LIV(A) 2-0,Arsenal,193,Tomas,0,0,0,3,0,0,0,02 Sep 13:30,0,0,65,0,Midfielder,0,0
0,-89,Rosicky,0,0,SOU(H) 6-1,Arsenal,194,Tomas,0,0,0,4,0,0,0,15 Sep 15:00,0,0,64,0,Midfielder,0,0
0,-43,Rosicky,0,0,MCI(A) 1-1,Arsenal,195,Tomas,0,0,0,5,0,0,0,23 Sep 16:00,0,0,64,0,Midfielder,0,0
0,-41,Rosicky,0,0,CHE(H) 1-2,Arsenal,196,Tomas,0,0,0,6,0,0,0,29 Sep 12:45,0,0,64,0,Midfielder,0,0
0,-18,Rosicky,0,0,WHU(A) 3-1,Arsenal,197,Tomas,0,0,0,7,0,0,0,06 Oct 17:30,0,0,64,0,Midfielder,0,0
0,-24,Rosicky,0,0,NOR(A) 0-1,Arsenal,198,Tomas,0,0,0,8,0,0,0,20 Oct 17:30,0,0,64,0,Midfielder,0,0
0,-13,Rosicky,0,0,QPR(H) 1-0,Arsenal,199,Tomas,0,0,0,9,0,0,0,27 Oct 15:00,0,0,64,0,Midfielder,0,0
0,-18,Rosicky,0,0,MUN(A) 1-2,Arsenal,1910,Tomas,0,0,0,10,0,0,0,03 Nov 12:45,0,0,64,0,Midfielder,0,0
0,-14,Rosicky,0,0,NEW(H) 7-3,Arsenal,1920,Tomas,0,0,0,20,0,0,0,29 Dec 17:30,0,0,62,0,Midfielder,0,0
0,147,Rosicky,0,0,SWA(A) 2-0,Arsenal,1930,Tomas,0,0,0,30,0,0,0,16 Mar 15:00,0,0,61,0,Midfielder,0,0
0,0,Howard,0,4,MUN(H) 1-0,Everton,931,Tim,0,90,19,1,0,1,0,20 Aug 20:00,0,0,55,7,Goalkeeper,0,0
0,11272,Howard,1,1,AVL(A) 3-1,Everton,932,Tim,0,90,13,2,0,0,0,25 Aug 15:00,0,0,55,2,Goalkeeper,0,0
