yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,1107,Emanuelson,1,0,MUN(H) 0-1,Fulham,67225,Urby,0,23,-3,25,0,0,0,02 Feb 17:30,0,0,55,1,Midfielder,0,0
0,113,Emanuelson,0,0,NOR(A) 0-0,Fulham,67226,Urby,0,27,-1,26,0,0,0,09 Feb 15:00,0,0,55,1,Midfielder,0,0
0,-119,Emanuelson,0,0,STK(H) 1-0,Fulham,67227,Urby,0,5,5,27,0,0,0,23 Feb 12:45,0,0,55,1,Midfielder,0,0
0,-288,Emanuelson,0,0,SUN(A) 2-2,Fulham,67228,Urby,0,11,1,28,0,0,0,02 Mar 15:00,0,0,52,1,Midfielder,0,0
0,-59,Emanuelson,0,0,TOT(A) 1-0,Fulham,67230,Urby,0,1,0,30,0,0,0,17 Mar 15:00,0,0,47,1,Midfielder,0,0
0,-19,Emanuelson,2,0,QPR(H) 3-2,Fulham,67231,Urby,0,42,8,31,0,0,0,01 Apr 20:00,0,0,47,1,Midfielder,0,0
0,-12,Emanuelson,0,0,NEW(A) 0-1,Fulham,67232,Urby,0,0,0,32,0,0,0,07 Apr 15:00,0,0,46,0,Midfielder,0,0
0,6,Emanuelson,3,0,CHE(H) 0-3,Fulham,67233,Urby,0,90,10,33,0,0,0,17 Apr 20:00,0,0,46,2,Midfielder,0,0
0,29,Emanuelson,1,0,ARS(H) 0-1,Fulham,67234,Urby,0,86,8,34,0,0,0,20 Apr 15:00,0,0,46,2,Midfielder,0,0
1,87,Emanuelson,1,0,EVE(A) 0-1,Fulham,67235,Urby,0,90,-6,35,0,0,0,27 Apr 15:00,0,0,46,1,Midfielder,0,0
0,30,Emanuelson,4,0,RDG(H) 2-4,Fulham,67236,Urby,0,90,9,36,0,0,0,04 May 15:00,0,0,46,2,Midfielder,0,0
0,0,Emanuelson,3,0,LIV(H) 1-3,Fulham,67237,Urby,0,76,6,37,0,0,0,12 May 15:00,0,0,46,2,Midfielder,0,0
0,-29,Emanuelson,0,0,SWA(A) 3-0,Fulham,67238,Urby,0,18,20,38,0,0,0,19 May 16:00,0,0,46,6,Midfielder,0,1
