yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-284,Anichebe,0,0,ARS(H) 0-1,Everton,13429,Victor,0,13,-5,29,0,0,0,21 March 20:00,0,0,49,1,Forward,0,0
0,-59809,Kompany,0,0,CHE(H) 2-1,Man City,19129,Vincent,0,0,0,29,0,0,0,21 March 19:45,0,0,67,0,Defender,0,0
0,0,Corluka,3,0,MUN(A) 0-3,Tottenham,3852,Vedran,0,45,6,2,0,0,0,22 Aug. 20:00,0,0,55,0,Defender,0,0
0,2,Moras,0,0,WIG(A) 2-0,Swansea,59227,Vangelis,0,0,0,27,0,0,0,03 March 15:00,0,0,40,0,Defender,0,0
0,2,Moras,0,0,QPR(A) 0-3,Swansea,59233,Vangelis,0,0,0,33,0,0,0,11 April 20:00,0,0,40,0,Defender,0,0
0,0,Diaby,0,0,SUN(H) 0-0,Arsenal,171,Vassiriki,0,68,12,1,2,1,0,18 Aug 15:00,0,0,65,5,Midfielder,0,0
0,3331,Diaby,0,0,STK(A) 0-0,Arsenal,172,Vassiriki,0,90,6,2,0,1,0,26 Aug 13:30,0,0,65,3,Midfielder,0,0
0,459,Diaby,0,0,LIV(A) 2-0,Arsenal,173,Vassiriki,0,90,19,3,0,1,0,02 Sep 13:30,0,0,65,3,Midfielder,0,0
0,5426,Diaby,0,0,SOU(H) 6-1,Arsenal,174,Vassiriki,0,0,0,4,0,0,0,15 Sep 15:00,0,0,65,0,Midfielder,0,0
0,-2200,Diaby,1,0,MCI(A) 1-1,Arsenal,175,Vassiriki,0,70,4,5,0,0,0,23 Sep 16:00,0,0,65,2,Midfielder,0,0
0,-441,Diaby,0,0,CHE(H) 1-2,Arsenal,176,Vassiriki,0,16,6,6,0,0,0,29 Sep 12:45,0,0,65,1,Midfielder,0,0
0,-6475,Diaby,0,0,WHU(A) 3-1,Arsenal,177,Vassiriki,0,0,0,7,0,0,0,06 Oct 17:30,0,0,64,0,Midfielder,0,0
0,-2994,Diaby,0,0,NOR(A) 0-1,Arsenal,178,Vassiriki,0,0,0,8,0,0,0,20 Oct 17:30,0,0,64,0,Midfielder,0,0
0,-1364,Diaby,0,0,QPR(H) 1-0,Arsenal,179,Vassiriki,0,0,0,9,0,0,0,27 Oct 15:00,0,0,63,0,Midfielder,0,0
0,-893,Diaby,0,0,MUN(A) 1-2,Arsenal,1710,Vassiriki,0,0,0,10,0,0,0,03 Nov 12:45,0,0,63,0,Midfielder,0,0
0,-64,Diaby,0,0,NEW(H) 7-3,Arsenal,1720,Vassiriki,0,0,0,20,0,0,0,29 Dec 17:30,0,0,62,0,Midfielder,0,0
0,-20,Diaby,0,0,SWA(A) 2-0,Arsenal,1730,Vassiriki,0,70,10,30,0,1,0,16 Mar 15:00,0,0,61,3,Midfielder,0,0
0,0,Anichebe,0,0,MUN(H) 1-0,Everton,1131,Victor,0,0,0,1,0,0,0,20 Aug 20:00,0,0,55,0,Forward,0,0
0,-248,Anichebe,0,0,AVL(A) 3-1,Everton,1132,Victor,0,0,0,2,0,0,0,25 Aug 15:00,0,0,55,0,Forward,0,0
0,-375,Anichebe,1,0,WBA(A) 0-2,Everton,1133,Victor,0,18,-4,3,0,0,0,01 Sep 15:00,0,0,54,1,Forward,0,0
0,-175,Anichebe,2,0,NEW(H) 2-2,Everton,1134,Victor,0,47,24,4,1,0,0,17 Sep 20:00,0,0,53,6,Forward,0,1
0,551,Anichebe,0,0,SWA(A) 3-0,Everton,1135,Victor,0,90,31,5,3,1,0,22 Sep 12:45,0,0,53,9,Forward,0,1
0,18043,Anichebe,0,0,SOU(H) 3-1,Everton,1136,Victor,0,15,3,6,0,0,0,29 Sep 15:00,0,0,53,1,Forward,0,0
1,-2516,Anichebe,0,0,WIG(A) 2-2,Everton,1137,Victor,0,10,0,7,0,0,0,06 Oct 15:00,0,0,52,0,Forward,0,0
0,-3517,Anichebe,1,0,QPR(A) 1-1,Everton,1138,Victor,0,51,4,8,0,0,0,21 Oct 16:00,0,0,51,1,Forward,0,0
0,-1920,Anichebe,0,0,LIV(H) 2-2,Everton,1139,Victor,0,0,0,9,0,0,0,28 Oct 13:30,0,0,49,0,Forward,0,0
0,-1851,Anichebe,0,0,FUL(A) 2-2,Everton,11310,Victor,0,0,0,10,0,0,0,03 Nov 15:00,0,0,48,0,Forward,0,0
0,-1529,Anichebe,0,0,SUN(H) 2-1,Everton,11311,Victor,0,0,0,11,0,0,0,10 Nov 15:00,0,0,47,0,Forward,0,0
0,-2037,Anichebe,0,0,RDG(A) 1-2,Everton,11312,Victor,0,0,0,12,0,0,0,17 Nov 15:00,0,0,46,0,Forward,0,0
0,-1026,Anichebe,0,0,NOR(H) 1-1,Everton,11313,Victor,0,0,0,13,0,0,0,24 Nov 15:00,0,0,45,0,Forward,0,0
0,-425,Anichebe,0,0,ARS(H) 1-1,Everton,11314,Victor,0,0,0,14,0,0,0,28 Nov 19:45,0,0,45,0,Forward,0,0
0,-399,Anichebe,0,0,MCI(A) 1-1,Everton,11315,Victor,0,0,0,15,0,0,0,01 Dec 15:00,0,0,44,0,Forward,0,0
0,-602,Anichebe,0,0,TOT(H) 2-1,Everton,11316,Victor,0,0,0,16,0,0,0,09 Dec 15:00,0,0,44,0,Forward,0,0
0,150,Anichebe,0,0,STK(A) 1-1,Everton,11317,Victor,0,0,0,17,0,0,0,15 Dec 15:00,0,0,43,0,Forward,0,0
0,-108,Anichebe,1,0,WHU(A) 2-1,Everton,11318,Victor,0,90,22,18,2,0,0,22 Dec 15:00,0,0,43,8,Forward,0,1
0,7082,Anichebe,0,0,WIG(H) 2-1,Everton,11319,Victor,0,69,0,19,0,1,1,26 Dec 15:00,0,0,43,5,Forward,0,0
0,6045,Anichebe,2,0,CHE(H) 1-2,Everton,11320,Victor,0,90,5,20,0,0,1,30 Dec 13:30,0,0,43,5,Forward,0,0
0,3799,Anichebe,0,0,NEW(A) 2-1,Everton,11321,Victor,0,33,23,21,2,0,0,02 Jan 20:00,0,0,43,7,Forward,0,1
