yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-3951,Brown,2,0,QPR(A) 3-2,Sunderland,34117,Wes,0,90,39,17,2,0,0,21 Dec. 20:00,0,0,45,9,Defender,0,1
0,0,Gallas,0,0,MUN(A) 0-3,Tottenham,3902,William,0,0,0,2,0,0,0,22 Aug. 20:00,0,0,50,0,Defender,0,0
0,0,Palacios,0,0,MUN(A) 0-3,Stoke City,3952,Wilson,0,0,0,2,0,0,0,22 Aug. 20:00,0,0,50,0,Midfielder,0,0
0,-618,Hennessey,3,3,ARS(H) 0-3,Wolves,45433,Wayne,0,90,3,33,0,0,0,11 April 19:45,0,0,46,2,Goalkeeper,0,0
0,0,Keane,0,0,BLA(H) 2-3,Man Utd,61619,Will,0,6,2,19,0,0,0,31 Dec. 12:45,0,0,55,1,Forward,0,0
0,3,Keane,0,0,WOL(A) 5-0,Man Utd,61629,Will,0,0,0,29,0,0,0,18 March 13:30,0,0,55,0,Forward,0,0
0,0,Szczesny,0,2,SUN(H) 0-0,Arsenal,21,Wojciech,0,90,10,1,0,1,0,18 Aug 15:00,0,0,55,6,Goalkeeper,0,0
0,-3588,Szczesny,0,0,STK(A) 0-0,Arsenal,22,Wojciech,0,0,0,2,0,0,0,26 Aug 13:30,0,0,55,0,Goalkeeper,0,0
0,-34538,Szczesny,0,0,LIV(A) 2-0,Arsenal,23,Wojciech,0,0,0,3,0,0,0,02 Sep 13:30,0,0,55,0,Goalkeeper,0,0
0,-14487,Szczesny,1,2,SOU(H) 6-1,Arsenal,24,Wojciech,0,90,13,4,0,0,0,15 Sep 15:00,0,0,55,2,Goalkeeper,0,0
0,-27778,Szczesny,0,0,MCI(A) 1-1,Arsenal,25,Wojciech,0,0,0,5,0,0,0,23 Sep 16:00,0,0,55,0,Goalkeeper,0,0
0,-26204,Szczesny,0,0,CHE(H) 1-2,Arsenal,26,Wojciech,0,0,0,6,0,0,0,29 Sep 12:45,0,0,55,0,Goalkeeper,0,0
0,-16557,Szczesny,0,0,WHU(A) 3-1,Arsenal,27,Wojciech,0,0,0,7,0,0,0,06 Oct 17:30,0,0,54,0,Goalkeeper,0,0
0,-12045,Szczesny,0,0,NOR(A) 0-1,Arsenal,28,Wojciech,0,0,0,8,0,0,0,20 Oct 17:30,0,0,54,0,Goalkeeper,0,0
0,-6468,Szczesny,0,0,QPR(H) 1-0,Arsenal,29,Wojciech,0,0,0,9,0,0,0,27 Oct 15:00,0,0,54,0,Goalkeeper,0,0
0,-5730,Szczesny,0,0,MUN(A) 1-2,Arsenal,210,Wojciech,0,0,0,10,0,0,0,03 Nov 12:45,0,0,53,0,Goalkeeper,0,0
0,349,Szczesny,3,4,NEW(H) 7-3,Arsenal,220,Wojciech,0,90,18,20,0,0,0,29 Dec 17:30,0,0,53,2,Goalkeeper,0,0
0,-1355,Szczesny,0,0,SWA(A) 2-0,Arsenal,230,Wojciech,0,0,0,30,0,0,0,16 Mar 15:00,0,0,53,0,Goalkeeper,0,0
0,0,Rooney,1,0,EVE(A) 0-1,Man Utd,2211,Wayne,0,90,14,1,0,0,0,20 Aug 20:00,0,0,120,2,Forward,0,0
0,30317,Rooney,0,0,FUL(H) 3-2,Man Utd,2212,Wayne,0,23,-7,2,0,0,0,25 Aug 15:00,0,0,120,1,Forward,0,0
0,-395459,Rooney,0,0,SOU(A) 3-2,Man Utd,2213,Wayne,0,0,0,3,0,0,0,02 Sep 16:00,0,0,118,0,Forward,0,0
0,-59279,Rooney,0,0,WIG(H) 4-0,Man Utd,2214,Wayne,0,0,0,4,0,0,0,15 Sep 15:00,0,0,117,0,Forward,0,0
