yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-54,Benayoun,0,0,EVE(A) 1-0,Arsenal,10329,Yossi,0,0,0,29,0,0,0,21 March 20:00,0,0,69,0,Midfielder,0,0
0,0,Zhirkov,0,0,MCI(A) 1-2,Chelsea,10829,Yury,0,0,0,29,0,0,0,21 March 19:45,0,0,65,0,Midfielder,0,0
0,0,Kaboul,3,0,MUN(A) 0-3,Tottenham,3892,Younes,0,90,10,2,0,0,0,22 Aug. 20:00,0,0,55,1,Defender,0,0
0,78,Mulumbu,0,0,CHE(H) 1-0,West Brom,42827,Youssouf,0,90,13,27,0,1,0,03 March 15:00,0,0,59,3,Midfielder,0,0
0,-30,Mulumbu,4,0,MCI(A) 0-4,West Brom,42833,Youssouf,0,67,3,33,0,0,0,11 April 19:45,0,0,59,2,Midfielder,0,0
0,-79,Gervinho,0,0,WOL(A) 3-0,Arsenal,48033,Yao,0,0,0,33,0,0,0,11 April 19:45,0,0,89,0,Forward,0,0
0,0,Gervinho,0,0,SUN(H) 0-0,Arsenal,241,Yao,0,90,7,1,0,1,0,18 Aug 15:00,0,0,75,3,Midfielder,0,0
0,670,Gervinho,0,0,STK(A) 0-0,Arsenal,242,Yao,0,71,4,2,0,1,0,26 Aug 13:30,0,0,75,3,Midfielder,0,0
0,-4690,Gervinho,0,0,LIV(A) 2-0,Arsenal,243,Yao,0,0,0,3,0,0,0,02 Sep 13:30,0,0,75,0,Midfielder,0,0
0,-6704,Gervinho,1,0,SOU(H) 6-1,Arsenal,244,Yao,0,73,40,4,3,0,0,15 Sep 15:00,0,0,73,15,Midfielder,0,2
0,20006,Gervinho,1,0,MCI(A) 1-1,Arsenal,245,Yao,0,90,-4,5,0,0,0,23 Sep 16:00,0,0,73,2,Midfielder,0,0
0,9967,Gervinho,2,0,CHE(H) 1-2,Arsenal,246,Yao,0,90,20,6,1,0,0,29 Sep 12:45,0,0,73,8,Midfielder,0,1
1,86662,Gervinho,1,0,WHU(A) 3-1,Arsenal,247,Yao,0,60,9,7,0,0,0,06 Oct 17:30,0,0,75,1,Midfielder,0,0
0,34057,Gervinho,1,0,NOR(A) 0-1,Arsenal,248,Yao,0,90,4,8,0,0,0,20 Oct 17:30,0,0,75,2,Midfielder,0,0
0,3600,Gervinho,0,0,QPR(H) 1-0,Arsenal,249,Yao,0,10,-2,9,0,0,0,27 Oct 15:00,0,0,76,1,Midfielder,0,0
0,-102224,Gervinho,0,0,MUN(A) 1-2,Arsenal,2410,Yao,0,0,0,10,0,0,0,03 Nov 12:45,0,0,74,0,Midfielder,0,0
0,-792,Gervinho,0,0,NEW(H) 7-3,Arsenal,2420,Yao,0,0,0,20,0,0,0,29 Dec 17:30,0,0,68,0,Midfielder,0,0
0,-16,Gervinho,0,0,SWA(A) 2-0,Arsenal,2430,Yao,0,20,25,30,1,0,0,16 Mar 15:00,0,0,68,7,Midfielder,0,1
0,0,Benayoun,0,0,RDG(H) 4-2,Chelsea,861,Yossi,0,0,0,1,0,0,0,22 Aug 19:45,0,0,65,0,Midfielder,0,0
0,-751,Benayoun,0,0,NEW(H) 2-0,Chelsea,862,Yossi,0,0,0,2,0,0,0,25 Aug 17:30,0,0,64,0,Midfielder,0,0
0,-475,Benayoun,0,0,FUL(H) 3-0,Chelsea,863,Yossi,0,0,0,3,0,0,0,01 Sep 12:45,0,0,63,0,Midfielder,0,0
0,74,Benayoun,0,0,NOR(A) 0-0,Chelsea,864,Yossi,0,5,1,4,0,0,0,15 Sep 12:45,0,0,63,1,Midfielder,0,0
0,-130,Benayoun,0,0,SUN(H) 1-1,Chelsea,865,Yossi,0,34,3,5,0,0,0,22 Sep 15:00,0,0,63,1,Midfielder,0,0
0,-174,Benayoun,0,0,QPR(A) 2-1,Chelsea,866,Yossi,0,0,0,6,0,0,0,01 Oct 20:00,0,0,62,0,Midfielder,0,0
0,-178,Benayoun,0,0,ARS(H) 1-3,Chelsea,867,Yossi,0,0,0,7,0,0,0,06 Oct 17:30,0,0,62,0,Midfielder,0,0
0,-140,Benayoun,1,0,SOU(H) 4-1,Chelsea,868,Yossi,0,90,21,8,0,0,1,20 Oct 15:00,0,0,62,5,Midfielder,0,0
0,206,Benayoun,1,0,WIG(A) 1-2,Chelsea,869,Yossi,0,45,2,9,0,0,0,27 Oct 15:00,0,0,61,1,Midfielder,0,0
1,-65,Benayoun,0,0,MCI(H) 0-0,Chelsea,8610,Yossi,0,90,7,10,0,1,0,03 Nov 17:30,0,0,61,2,Midfielder,0,0
0,49,Benayoun,0,0,NEW(A) 1-0,Chelsea,8611,Yossi,0,51,3,11,0,0,0,11 Nov 15:00,0,0,61,1,Midfielder,0,0
0,-32,Benayoun,0,0,STK(H) 1-1,Chelsea,8612,Yossi,0,0,0,12,0,0,0,19 Nov 20:00,0,0,61,0,Midfielder,0,0
0,-201,Benayoun,0,0,TOT(A) 1-3,Chelsea,8613,Yossi,0,0,0,13,0,0,0,25 Nov 16:00,0,0,61,0,Midfielder,0,0
0,-124,Benayoun,0,0,MUN(A) 0-1,Chelsea,8614,Yossi,0,0,0,14,0,0,0,28 Nov 20:00,0,0,61,0,Midfielder,0,0
0,-107,Benayoun,0,0,CHE(H) 3-1,Chelsea,8615,Yossi,0,0,0,15,0,0,0,01 Dec 12:45,0,0,61,0,Midfielder,0,0
0,-50,Benayoun,0,0,LIV(H) 2-3,Chelsea,8616,Yossi,0,0,0,16,0,0,0,09 Dec 16:00,0,0,61,0,Midfielder,0,0
0,-63,Benayoun,0,0,WBA(A) 0-0,Chelsea,8617,Yossi,0,0,0,17,0,0,0,16 Dec 16:00,0,0,61,0,Midfielder,0,0
0,-64,Benayoun,0,0,EVE(H) 1-2,Chelsea,8618,Yossi,0,0,0,18,0,0,0,22 Dec 15:00,0,0,61,0,Midfielder,0,0
0,-29,Benayoun,0,0,RDG(A) 0-1,Chelsea,8620,Yossi,0,0,0,20,0,0,0,29 Dec 15:00,0,0,61,0,Midfielder,0,0
0,-35,Benayoun,0,0,NOR(H) 2-1,Chelsea,8621,Yossi,0,0,0,21,0,0,0,01 Jan 15:00,0,0,61,0,Midfielder,0,0
0,-88,Benayoun,0,0,SOU(H) 2-2,Chelsea,8622,Yossi,0,0,0,22,0,0,0,16 Jan 19:45,0,0,61,0,Midfielder,0,0
0,-50,Benayoun,0,0,ARS(H) 2-1,Chelsea,8623,Yossi,0,0,0,23,0,0,0,20 Jan 13:30,0,0,61,0,Midfielder,0,0
0,-39,Benayoun,2,0,RDG(A) 2-2,Chelsea,8624,Yossi,0,14,2,24,0,0,0,30 Jan 20:00,0,0,61,1,Midfielder,0,0
0,-1,Benayoun,0,0,NEW(A) 2-3,Chelsea,8625,Yossi,0,0,0,25,0,0,0,02 Feb 15:00,0,0,61,0,Midfielder,0,0
0,-7,Benayoun,0,0,WIG(H) 4-1,Chelsea,8626,Yossi,0,3,1,26,0,0,0,09 Feb 15:00,0,0,61,1,Midfielder,0,0
0,-3,Benayoun,0,0,MCI(A) 0-2,Chelsea,8627,Yossi,0,0,0,27,0,0,0,24 Feb 13:30,0,0,61,0,Midfielder,0,0
0,-5,Benayoun,0,0,WBA(H) 1-0,Chelsea,8628,Yossi,0,0,0,28,0,0,0,02 Mar 15:00,0,0,61,0,Midfielder,0,0
0,0,Benayoun,0,0,WHU(H) 2-0,Chelsea,8630,Yossi,0,0,0,30,0,0,0,17 Mar 16:00,0,0,61,0,Midfielder,0,0
0,-6,Benayoun,0,0,SOU(A) 1-2,Chelsea,8631,Yossi,0,15,1,31,0,0,0,30 Mar 15:00,0,0,61,1,Midfielder,0,0
0,2,Benayoun,0,0,SUN(H) 2-1,Chelsea,8632,Yossi,0,7,1,32,0,0,0,07 Apr 15:00,0,0,61,1,Midfielder,0,0
0,1,Benayoun,0,0,FUL(A) 3-0,Chelsea,8633,Yossi,0,0,0,33,0,0,0,17 Apr 20:00,0,0,61,0,Midfielder,0,0
0,-5,Benayoun,1,0,LIV(A) 2-2,Chelsea,8634,Yossi,0,13,1,34,0,0,0,21 Apr 16:00,0,0,61,1,Midfielder,0,0
0,0,Benayoun,0,0,SWA(H) 2-0,Chelsea,8635,Yossi,0,0,0,35,0,0,0,28 Apr 15:00,0,0,61,0,Midfielder,0,0
0,3,Benayoun,0,0,TOT(H) 2-2,Chelsea,8636,Yossi,0,7,1,36,0,0,0,08 May 19:45,0,0,61,1,Midfielder,0,0
0,-2,Benayoun,0,0,AVL(A) 2-1,Chelsea,8637,Yossi,0,0,0,37,0,0,0,11 May 12:45,0,0,61,0,Midfielder,0,0
0,13,Benayoun,0,0,EVE(H) 2-1,Chelsea,8638,Yossi,0,0,0,38,0,0,0,19 May 16:00,0,0,61,0,Midfielder,0,0
0,0,Yaya Toure,2,0,SOU(H) 3-2,Man City,1841,Yaya,0,90,35,1,2,0,1,19 Aug 16:00,0,0,80,7,Midfielder,0,0
0,49,Yaya Toure,2,0,LIV(A) 2-2,Man City,1842,Yaya,0,90,27,2,2,0,0,26 Aug 16:00,0,0,80,9,Midfielder,0,1
0,63708,Yaya Toure,1,0,QPR(H) 3-1,Man City,1843,Yaya,0,90,31,3,2,0,0,01 Sep 17:30,0,0,81,9,Midfielder,0,1
0,76326,Yaya Toure,1,0,STK(A) 1-1,Man City,1844,Yaya,0,90,14,4,0,0,0,15 Sep 15:00,0,0,82,2,Midfielder,0,0
