yellow_cards,net_transfers,last_name,goals_conceded,saves,result,team_name_1,index,first_name,own_goals,minutes_played,EA_Spots_PPI,week,bonus,clean_sheets,assists,date,penalties_saved,penalties missed,value,points,position,red_cards,goals_scored
0,-1294,Knight,3,0,LIV(A) 1-3,Bolton,773,Zat,0,90,2,3,0,0,0,27 Aug. 17:30,0,0,45,1,Defender,0,0
0,-307,Knight,1,0,BLA(A) 2-1,Bolton,7717,Zat,0,90,27,17,1,0,0,20 Dec. 20:00,0,0,42,3,Defender,0,0
0,-17,Gera,0,0,EVE(H) 0-1,West Brom,50619,Zoltan,0,0,0,19,0,0,0,01 Jan. 12:30,0,0,54,0,Midfielder,0,0
0,-6,Gera,0,0,WIG(A) 1-1,West Brom,50629,Zoltan,0,0,0,29,0,0,0,17 March 15:00,0,0,54,0,Midfielder,0,0
0,0,Gera,0,0,LIV(H) 3-0,West Brom,4801,Zoltan,0,67,28,1,2,1,0,18 Aug 15:00,0,0,50,10,Midfielder,0,1
0,16245,Gera,0,0,TOT(A) 1-1,West Brom,4802,Zoltan,0,0,0,2,0,0,0,25 Aug 15:00,0,0,50,0,Midfielder,0,0
0,1555,Gera,0,0,EVE(H) 2-0,West Brom,4803,Zoltan,0,0,0,3,0,0,0,01 Sep 15:00,0,0,50,0,Midfielder,0,0
0,-3839,Gera,0,0,FUL(A) 0-3,West Brom,4804,Zoltan,0,0,0,4,0,0,0,15 Sep 15:00,0,0,50,0,Midfielder,0,0
0,-2950,Gera,0,0,RDG(H) 1-0,West Brom,4805,Zoltan,0,69,7,5,0,1,0,22 Sep 15:00,0,0,50,3,Midfielder,0,0
0,-1582,Gera,1,0,AVL(A) 1-1,West Brom,4806,Zoltan,0,90,10,6,0,0,0,30 Sep 16:00,0,0,50,2,Midfielder,0,0
0,-618,Gera,2,0,QPR(H) 3-2,West Brom,4807,Zoltan,0,90,41,7,3,0,0,06 Oct 15:00,0,0,50,10,Midfielder,0,1
0,4528,Gera,2,0,MCI(H) 1-2,West Brom,4808,Zoltan,0,19,6,8,0,0,0,20 Oct 15:00,0,0,50,1,Midfielder,0,0
0,-38,Gera,1,0,NEW(A) 1-2,West Brom,4809,Zoltan,0,87,8,9,0,0,1,28 Oct 15:00,0,0,50,5,Midfielder,0,0
0,11352,Gera,0,0,SOU(H) 2-0,West Brom,48010,Zoltan,0,90,13,10,0,1,0,05 Nov 20:00,0,0,50,3,Midfielder,0,0
1,3247,Gera,0,0,WIG(A) 2-1,West Brom,48011,Zoltan,0,23,3,11,0,0,0,10 Nov 15:00,0,0,50,0,Midfielder,0,0
0,-2512,Gera,1,0,CHE(H) 2-1,West Brom,48012,Zoltan,0,69,7,12,0,0,0,17 Nov 15:00,0,0,50,2,Midfielder,0,0
0,-736,Gera,2,0,SUN(A) 4-2,West Brom,48013,Zoltan,0,90,34,13,2,0,0,24 Nov 12:45,0,0,50,9,Midfielder,0,1
0,19747,Gera,0,0,SWA(A) 1-3,West Brom,48014,Zoltan,0,0,0,14,0,0,0,28 Nov 19:45,0,0,51,0,Midfielder,0,0
0,1718,Gera,0,0,STK(H) 0-1,West Brom,48015,Zoltan,0,63,2,15,0,1,0,01 Dec 15:00,0,0,51,3,Midfielder,0,0
0,-2908,Gera,2,0,ARS(A) 0-2,West Brom,48016,Zoltan,0,74,-1,16,0,0,0,08 Dec 15:00,0,0,51,2,Midfielder,0,0
0,-1582,Gera,0,0,WHU(H) 0-0,West Brom,48017,Zoltan,0,74,8,17,0,1,0,16 Dec 16:00,0,0,51,3,Midfielder,0,0
0,1377,Gera,1,0,NOR(H) 2-1,West Brom,48018,Zoltan,0,61,28,18,0,0,0,22 Dec 15:00,0,0,51,7,Midfielder,0,1
0,6203,Gera,1,0,QPR(A) 2-1,West Brom,48019,Zoltan,0,90,11,19,0,0,0,26 Dec 15:00,0,0,51,2,Midfielder,0,0
0,174,Gera,0,0,MUN(A) 0-2,West Brom,48020,Zoltan,0,0,0,20,0,0,0,29 Dec 15:00,0,0,51,0,Midfielder,0,0
0,-610,Gera,2,0,FUL(H) 1-2,West Brom,48021,Zoltan,0,64,3,21,0,0,0,01 Jan 12:45,0,0,51,2,Midfielder,0,0
0,-23704,Gera,0,0,RDG(A) 2-3,West Brom,48022,Zoltan,0,0,0,22,0,0,0,12 Jan 15:00,0,0,51,0,Midfielder,0,0
0,-11717,Gera,0,0,AVL(H) 2-2,West Brom,48023,Zoltan,0,0,0,23,0,0,0,19 Jan 17:30,0,0,50,0,Midfielder,0,0
0,-5822,Gera,0,0,EVE(A) 1-2,West Brom,48024,Zoltan,0,0,0,24,0,0,0,30 Jan 19:45,0,0,49,0,Midfielder,0,0
0,-2394,Gera,0,0,TOT(H) 0-1,West Brom,48025,Zoltan,0,0,0,25,0,0,0,03 Feb 13:30,0,0,49,0,Midfielder,0,0
0,-1931,Gera,0,0,LIV(A) 2-0,West Brom,48026,Zoltan,0,0,0,26,0,0,0,11 Feb 20:00,0,0,48,0,Midfielder,0,0
0,-1553,Gera,0,0,SUN(H) 2-1,West Brom,48027,Zoltan,0,0,0,27,0,0,0,23 Feb 15:00,0,0,48,0,Midfielder,0,0
0,-687,Gera,0,0,CHE(A) 0-1,West Brom,48028,Zoltan,0,0,0,28,0,0,0,02 Mar 15:00,0,0,48,0,Midfielder,0,0
0,-579,Gera,0,0,SWA(H) 2-1,West Brom,48029,Zoltan,0,0,0,29,0,0,0,09 Mar 15:00,0,0,48,0,Midfielder,0,0
0,-339,Gera,0,0,STK(A) 0-0,West Brom,48030,Zoltan,0,0,0,30,0,0,0,16 Mar 15:00,0,0,48,0,Midfielder,0,0
0,-366,Gera,0,0,WHU(A) 1-3,West Brom,48031,Zoltan,0,0,0,31,0,0,0,30 Mar 15:00,0,0,48,0,Midfielder,0,0
0,-246,Gera,0,0,ARS(H) 1-2,West Brom,48032,Zoltan,0,0,0,32,0,0,0,06 Apr 15:00,0,0,48,0,Midfielder,0,0
