canonical_playerId,canonical_name,canonical_minutes,morph_name,slot_id,match_method,clubs,rows,weeks,minutes_sum,minutes_delta,assists_sum,goals_sum,bonus_sum,points_sum,clean_sheets_sum,yellow_sum,fixtures
34285,Maynor Figueroa,2812,Maynor Figueroa,513,EXACT,Wigan,37,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,2812,0,1,1,5,65,5,6,GW1:CHE(H) 0-2:19 Aug 13:30 | GW2:SOU(A) 2-0:25 Aug 15:00 | GW3:STK(H) 2-2:01 Sep 15:00 | GW4:MUN(A) 0-4:15 Sep 15:00 | GW5:FUL(H) 1-2:22 Sep 15:00 | GW6:SUN(A) 0-1:29 Sep 15:00 | GW7:EVE(H) 2-2:06 Oct 15:00 | GW8:SWA(A) 1-2:20 Oct 15:00 | GW9:WHU(H) 2-1:27 Oct 15:00 | GW10:TOT(A) 1-0:03 Nov 15:00 | GW11:WBA(H) 1-2:10 Nov 15:00 | GW12:LIV(A) 0-3:17 Nov 15:00 | GW13:RDG(H) 3-2:24 Nov 15:00 | GW14:MCI(H) 0-2:28 Nov 20:00 | GW15:NEW(A) 0-3:03 Dec 20:00 | GW16:QPR(H) 2-2:08 Dec 15:00 | GW17:NOR(A) 1-2:15 Dec 15:00 | GW18:ARS(H) 0-1:22 Dec 12:45 | GW19:EVE(A) 1-2:26 Dec 15:00 | GW20:AVL(A) 3-0:29 Dec 15:00 | GW21:MUN(H) 0-4:01 Jan 15:00 | GW22:FUL(A) 1-1:12 Jan 15:00 | GW23:SUN(H) 2-3:19 Jan 15:00 | GW24:STK(A) 2-2:29 Jan 19:45 | GW25:SOU(H) 2-2:02 Feb 15:00 | GW26:CHE(A) 1-4:09 Feb 15:00 | GW27:RDG(A) 3-0:23 Feb 15:00 | GW28:LIV(H) 0-4:02 Mar 17:30 | GW30:NEW(H) 2-1:17 Mar 16:00 | GW31:NOR(H) 1-0:30 Mar 15:00 | GW32:QPR(A) 1-1:07 Apr 16:10 | GW33:MCI(A) 0-1:17 Apr 19:45 | GW34:WHU(A) 0-2:20 Apr 15:00 | GW35:TOT(H) 2-2:27 Apr 15:00 | GW36:SWA(H) 2-3:07 May 19:45 | GW37:ARS(A) 1-4:14 May 19:45 | GW38:AVL(H) 2-2:19 May 16:00
49413,James Tomkins,1582,James Tomkins,495,EXACT,West Ham,36,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,1582,0,1,1,1,46,3,4,GW1:AVL(H) 1-0:18 Aug 15:00 | GW2:SWA(A) 0-3:25 Aug 12:45 | GW3:FUL(H) 3-0:01 Sep 12:45 | GW4:NOR(A) 0-0:15 Sep 12:45 | GW5:SUN(H) 1-1:22 Sep 15:00 | GW6:QPR(A) 2-1:01 Oct 20:00 | GW7:ARS(H) 1-3:06 Oct 17:30 | GW8:SOU(H) 4-1:20 Oct 15:00 | GW9:WIG(A) 1-2:27 Oct 15:00 | GW10:MCI(H) 0-0:03 Nov 17:30 | GW11:NEW(A) 1-0:11 Nov 15:00 | GW12:STK(H) 1-1:19 Nov 20:00 | GW13:TOT(A) 1-3:25 Nov 16:00 | GW14:MUN(A) 0-1:28 Nov 20:00 | GW15:CHE(H) 3-1:01 Dec 12:45 | GW16:LIV(H) 2-3:09 Dec 16:00 | GW17:WBA(A) 0-0:16 Dec 16:00 | GW18:EVE(H) 1-2:22 Dec 15:00 | GW20:RDG(A) 0-1:29 Dec 15:00 | GW21:NOR(H) 2-1:01 Jan 15:00 | GW22:SUN(A) 0-3:12 Jan 15:00 | GW23:ARS(A) 1-5:23 Jan 19:45 | GW24:FUL(A) 1-3:30 Jan 20:00 | GW25:SWA(H) 1-0:02 Feb 15:00 | GW26:AVL(A) 1-2:10 Feb 13:30 | GW27:TOT(H) 2-3:25 Feb 20:00 | GW28:STK(A) 1-0:02 Mar 15:00 | GW30:CHE(A) 0-2:17 Mar 16:00 | GW31:WBA(H) 3-1:30 Mar 15:00 | GW32:LIV(A) 0-0:07 Apr 13:30 | GW33:MUN(H) 2-2:17 Apr 19:45 | GW34:WIG(H) 2-0:20 Apr 15:00 | GW35:MCI(A) 1-2:27 Apr 12:45 | GW36:NEW(H) 0-0:04 May 15:00 | GW37:EVE(A) 0-2:12 May 15:00 | GW38:RDG(H) 4-2:19 May 16:00
61538,Callum McManaman,12,Callum McManaman,627,EXACT,Wigan,1,29,11,-1,0,0,0,0,0,1,GW29:WBA(H) 1-1:17 March 15:00
93666,Abdul Razak,1,Abdul Razak,576,EXACT,Man City,2,19 29,0,-1,0,0,0,0,0,0,GW19:SUN(A) 0-1:01 Jan. 15:00 | GW29:CHE(H) 2-1:21 March 19:45
59013,Barry Bannan,636,Barry Bannan,45,EXACT,Aston Villa,12,1 2 3 4 5 6 7 8 9 10 20 30,638,2,2,0,4,27,2,2,GW1:WHU(A) 0-1:18 Aug 15:00 | GW2:EVE(H) 1-3:25 Aug 15:00 | GW3:NEW(A) 1-1:02 Sep 16:00 | GW4:SWA(H) 2-0:15 Sep 15:00 | GW5:SOU(A) 1-4:22 Sep 15:00 | GW6:WBA(H) 1-1:30 Sep 16:00 | GW7:TOT(A) 0-2:07 Oct 15:00 | GW8:FUL(A) 0-1:20 Oct 15:00 | GW9:NOR(H) 1-1:27 Oct 12:45 | GW10:SUN(A) 1-0:03 Nov 15:00 | GW20:WIG(H) 0-3:29 Dec 15:00 | GW30:QPR(H) 3-2:16 Mar 15:00
97580,Louis Laing,2,Louis Laing,387,EXACT,Sunderland,37,1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,0,-2,0,0,0,0,0,0,GW1:ARS(A) 0-0:18 Aug 15:00 | GW3:SWA(A) 2-2:01 Sep 15:00 | GW4:LIV(H) 1-1:15 Sep 17:30 | GW5:WHU(A) 1-1:22 Sep 15:00 | GW6:WIG(H) 1-0:29 Sep 15:00 | GW7:MCI(A) 0-3:06 Oct 12:45 | GW8:NEW(H) 1-1:21 Oct 13:30 | GW9:STK(A) 0-0:27 Oct 15:00 | GW10:AVL(H) 0-1:03 Nov 15:00 | GW11:EVE(A) 1-2:10 Nov 15:00 | GW12:FUL(A) 3-1:18 Nov 16:00 | GW13:WBA(H) 2-4:24 Nov 12:45 | GW14:QPR(H) 0-0:27 Nov 19:45 | GW15:NOR(A) 1-2:02 Dec 16:00 | GW16:RDG(H) 3-0:11 Dec 19:45 | GW17:MUN(A) 1-3:15 Dec 15:00 | GW18:SOU(A) 1-0:22 Dec 15:00 | GW19:MCI(H) 1-0:26 Dec 15:00 | GW20:TOT(H) 1-2:29 Dec 12:45 | GW21:LIV(A) 0-3:02 Jan 19:45 | GW22:WHU(H) 3-0:12 Jan 15:00 | GW23:WIG(A) 3-2:19 Jan 15:00 | GW24:SWA(H) 0-0:29 Jan 19:45 | GW25:RDG(A) 1-2:02 Feb 15:00 | GW26:ARS(H) 0-1:09 Feb 15:00 | GW27:WBA(A) 1-2:23 Feb 15:00 | GW28:FUL(H) 2-2:02 Mar 15:00 | GW29:QPR(A) 1-3:09 Mar 15:00 | GW30:NOR(H) 1-1:17 Mar 13:30 | GW31:MUN(H) 0-1:30 Mar 12:45 | GW32:CHE(A) 1-2:07 Apr 15:00 | GW33:NEW(A) 3-0:14 Apr 12:00 | GW34:EVE(H) 1-0:20 Apr 15:00 | GW35:AVL(A) 1-6:29 Apr 20:00 | GW36:STK(H) 1-1:06 May 20:00 | GW37:SOU(H) 1-1:12 May 15:00 | GW38:TOT(A) 0-1:19 May 16:00
97580,Louis Laing,2,Louis Laing,521,EXACT,Sunderland,2,17 29,0,-2,0,0,0,0,0,0,GW17:QPR(A) 3-2:21 Dec. 20:00 | GW29:BLA(A) 0-2:20 March 20:00
80979,Andreas Weimann,3,Andreas Weimann,588,EXACT,Aston Villa,1,17,0,-3,0,0,0,0,0,0,GW17:ARS(H) 1-2:21 Dec. 19:45
93666,Abdul Razak,1,Abdul Razak,189,EXACT,Man City,37,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,4,3,0,0,0,3,0,0,GW1:SOU(H) 3-2:19 Aug 16:00 | GW2:LIV(A) 2-2:26 Aug 16:00 | GW3:QPR(H) 3-1:01 Sep 17:30 | GW4:STK(A) 1-1:15 Sep 15:00 | GW5:ARS(H) 1-1:23 Sep 16:00 | GW6:FUL(A) 2-1:29 Sep 15:00 | GW7:SUN(H) 3-0:06 Oct 12:45 | GW8:WBA(A) 2-1:20 Oct 15:00 | GW9:SWA(H) 1-0:27 Oct 17:30 | GW10:WHU(A) 0-0:03 Nov 17:30 | GW11:TOT(H) 2-1:11 Nov 13:30 | GW12:AVL(H) 5-0:17 Nov 15:00 | GW13:CHE(A) 0-0:25 Nov 16:00 | GW14:WIG(A) 2-0:28 Nov 20:00 | GW15:EVE(H) 1-1:01 Dec 15:00 | GW16:MUN(H) 2-3:09 Dec 13:30 | GW17:NEW(A) 3-1:15 Dec 12:45 | GW18:RDG(H) 1-0:22 Dec 15:00 | GW19:SUN(A) 0-1:26 Dec 15:00 | GW20:NOR(A) 4-3:29 Dec 15:00 | GW21:STK(H) 3-0:01 Jan 15:00 | GW22:ARS(A) 2-0:13 Jan 16:00 | GW23:FUL(H) 2-0:19 Jan 15:00 | GW24:QPR(A) 0-0:29 Jan 19:45 | GW25:LIV(H) 2-2:03 Feb 16:00 | GW26:SOU(A) 1-3:09 Feb 17:30 | GW27:CHE(H) 2-0:24 Feb 13:30 | GW28:AVL(A) 1-0:04 Mar 20:00 | GW30:EVE(A) 0-2:16 Mar 12:45 | GW31:NEW(H) 4-0:30 Mar 15:00 | GW32:MUN(A) 2-1:08 Apr 20:00 | GW33:WIG(H) 1-0:17 Apr 19:45 | GW34:TOT(A) 1-3:21 Apr 13:30 | GW35:WHU(H) 2-1:27 Apr 12:45 | GW36:WBA(H) 1-0:07 May 19:45 | GW37:RDG(A) 2-0:14 May 20:00 | GW38:NOR(H) 2-3:19 May 16:00
55658,Marcos Angeleri,5,Marcos Angeleri,336,EXACT,Sunderland,1,17,0,-5,0,0,0,0,0,0,GW17:QPR(A) 3-2:21 Dec. 20:00
